"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","1hghfvwu",2018-10-10 09:01:47,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings; Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Talking in person; Text messaging on the phone; Chatting on Whatsapp or other chat app; Interacting on Facebook; Interacting on Instagram]"
"2","1hghfvwu",2018-10-10 12:26:56,0,0,1,0,1,"2","0","0","0"
"3","1hghfvwu",2018-10-10 15:10:44,0,1,1,0,2,"6","4","7","4"
"4","1hghfvwu",2018-10-10 18:04:25,0,1,1,0,1,"2","0","9","0"
"5","1hghfvwu",2018-10-11 09:17:55,0,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"6","1hghfvwu",2018-10-11 12:09:02,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"7","1hghfvwu",2018-10-11 15:30:06,0,1,1,0,2,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands; Eating; drinking; Talking; texting; socializing]","[Family]"
"8","1hghfvwu",2018-10-11 18:49:54,0,0,1,0,2,"[Vehicle]","[Family]","[Commuting; traveling; Talking; texting; socializing]","[Family]"
"9","1hghfvwu",2018-10-12 10:12:58,0,0,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
"10","1hghfvwu",2018-10-12 16:26:45,0,2,0,0,2,"[Vehicle]","[Co-workers]","[Commuting; traveling]","[Co-workers]"
"11","1hghfvwu",2018-10-13 11:04:43,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"12","1hghfvwu",2018-10-13 12:30:23,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing; Watching TV; movies]","[Family]"
"13","1hghfvwu",2018-10-13 16:00:42,0,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking; Watching TV; movies]","[Family]"
"14","1hghfvwu",2018-10-13 18:41:27,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"15","1hghfvwu",2018-10-14 09:01:45,0,2,1,0,1,"[Home (dorm; apartment); Vehicle]","[Strangers; None of the above; Other]","[Browsing the Internet; using social media; Commuting; traveling; Eating; drinking]","[Not applicable; was not interacting with anyone]"
"16","1hghfvwu",2018-10-14 15:23:23,0,2,0,0,1,"[None of the above; other]","[Strangers]","[Working at job]","[Strangers]"
"17","1hghfvwu",2018-10-14 18:08:37,0,2,0,0,2,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Family]"
"18","1hghfvwu",2018-10-15 09:40:51,0,1,1,0,2,"[Campus; Library]","[Strangers]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"19","1hghfvwu",2018-10-15 12:02:20,0,1,1,0,1,"[Campus; Library]","[Strangers]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Strangers]"
"20","1hghfvwu",2018-10-15 15:10:25,0,1,1,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"21","1hghfvwu",2018-10-15 20:04:21,0,1,2,0,2,"[Campus; Gym]","[Classmates; students; Friends]","[Exercising; physical activity; sports]","[Classmates; students; Friends]"
"22","1hghfvwu",2018-10-16 09:28:00,0,2,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"23","1hghfvwu",2018-10-16 12:09:15,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings; Talking; texting; socializing]","[No one; alone]"
"24","1hghfvwu",2018-10-16 15:04:06,0,1,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"25","1hghfvwu",2018-10-16 18:58:38,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Family]"
"26","1hghfvwu",2018-10-17 14:41:19,0,2,1,0,1,"[Campus; Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"27","1hghfvwu",2018-10-17 15:33:50,0,2,1,0,2,"[Campus]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"28","1hghfvwu",2018-10-17 18:02:14,0,1,1,0,2,"[Vehicle]","[Family]","[Browsing the Internet; using social media; Commuting; traveling]","[Family]"
"29","1hghfvwu",2018-10-18 10:23:48,1,1,1,1,2,"[Campus; Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"30","1hghfvwu",2018-10-18 12:31:36,0,1,1,0,2,"[Campus; Library]","[Strangers]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Strangers]"
"31","1hghfvwu",2018-10-18 15:04:52,2,3,0,1,1,"[Campus; Library]","[Strangers]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Strangers]"
"32","1hghfvwu",2018-10-18 20:52:14,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"33","1hghfvwu",2018-10-19 11:54:39,0,2,1,0,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"34","1hghfvwu",2018-10-19 15:28:29,0,2,0,0,1,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"35","1hghfvwu",2018-10-19 21:15:23,0,2,0,0,2,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"36","1hghfvwu",2018-10-20 09:03:02,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"37","1hghfvwu",2018-10-20 13:41:19,0,0,1,0,1,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Watching TV; movies]","[Family]"
"38","1hghfvwu",2018-10-20 20:53:37,0,1,1,0,1,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Family]"
"39","1hghfvwu",2018-10-21 19:03:33,0,1,2,0,2,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"40","1hghfvwu",2018-10-22 10:16:39,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"41","1hghfvwu",2018-10-22 15:56:40,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"42","1hghfvwu",2018-10-22 18:08:26,0,1,1,0,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"43","1hghfvwu",2018-10-23 09:54:46,0,3,1,0,2,"[Campus]","[Strangers]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"44","1hghfvwu",2018-10-23 12:00:52,0,2,1,0,2,"[Campus; Library]","[Strangers]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Strangers]"
"45","1hghfvwu",2018-10-23 15:57:01,0,1,1,0,2,"[Campus; Library]","[Strangers]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Strangers]"
"46","1hghfvwu",2018-10-23 18:00:38,0,2,1,0,1,"[Campus; Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"47","1hghfvwu",2018-10-24 09:01:47,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"48","1hghfvwu",2018-10-24 12:20:15,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"49","1hghfvwu",2018-10-24 16:48:46,2,2,0,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"50","1hghfvwu",2018-10-24 18:07:24,2,2,0,0,1,"[Campus; Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"51","1hghfvwu",2018-10-25 10:21:04,0,1,1,0,1,"[Vehicle]","[None of the above; Other]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"52","1hghfvwu",2018-10-25 12:14:10,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings; Browsing the Internet; using social media]","[No one; alone]"
"53","1hghfvwu",2018-10-25 15:13:27,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"54","1hghfvwu",2018-10-25 19:04:22,0,1,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"55","1hghfvwu",2018-10-26 12:54:23,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"56","1hghfvwu",2018-10-26 15:29:16,0,2,0,0,2,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"57","1hghfvwu",2018-10-26 20:46:30,0,2,0,0,1,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"58","1hghfvwu",2018-10-27 14:15:07,0,1,1,0,2,"[Work]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"59","1hghfvwu",2018-10-27 18:08:10,0,2,1,0,2,"[Work; Vehicle]","[Co-workers]","[Commuting; traveling; Working at job]","[Co-workers]"
"60","1hghfvwu",2018-10-28 10:06:00,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"61","1hghfvwu",2018-10-28 17:24:17,0,0,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam; Watching TV; movies]","[No one; alone]"
"62","1hghfvwu",2018-10-28 18:53:53,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Family]"
"63","1hghfvwu",2018-10-29 09:03:32,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings; Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"64","1hghfvwu",2018-10-29 12:08:38,0,1,1,0,2,"[Vehicle]","[Strangers]","[Browsing the Internet; using social media; Watching TV; movies]","[Strangers]"
"65","1hghfvwu",2018-10-29 15:17:37,0,1,1,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; None of the above; Other]","[Family]"
