"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","1kmsum3b",2018-10-10 09:55:50,0,1,3,1,3,"[Campus; Home (dorm; apartment)]","[Classmates; students; Friends; Roommates]","[Attending classes; meetings; Browsing the Internet; using social media; Commuting; traveling; Talking; texting; socializing]","[Talking in person; Interacting on Instagram]"
"2","1kmsum3b",2018-10-10 12:04:12,0,1,3,1,2,"5","4","0","4"
"3","1kmsum3b",2018-10-10 15:12:50,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"4","1kmsum3b",2018-10-10 19:28:51,0,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"5","1kmsum3b",2018-10-11 09:21:19,0,1,2,0,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Talking in person; Interacting on Instagram; Interacting on Snapchat; Interacting on Twitter]"
"6","1kmsum3b",2018-10-11 12:16:42,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","1kmsum3b",2018-10-11 15:31:12,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Roommates]"
"8","1kmsum3b",2018-10-11 19:24:15,0,1,2,0,3,"[Cafe; Restaurant]","[Classmates; students; Friends; Roommates]","[Eating; drinking]","[Classmates; students; Friends; Roommates]"
"9","1kmsum3b",2018-10-12 09:01:49,0,0,2,0,2,"[Campus; Home (dorm; apartment)]","[Classmates; students; Roommates]","[Attending classes; meetings; Commuting; traveling]","[Talking in person; Text messaging on the phone]"
"10","1kmsum3b",2018-10-12 13:10:41,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"11","1kmsum3b",2018-10-12 15:17:39,0,0,3,0,2,"[Cafe; Restaurant]","[Roommates]","[Eating; drinking; Talking; texting; socializing]","[Roommates]"
"12","1kmsum3b",2018-10-12 18:05:53,0,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"13","1kmsum3b",2018-10-13 11:56:54,0,1,2,1,1,"[Home (dorm; apartment)]","[Significant other]","[Talking; texting; socializing]","[Text messaging on the phone]"
"14","1kmsum3b",2018-10-13 15:03:13,1,1,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Roommates]"
"15","1kmsum3b",2018-10-13 18:34:07,0,1,3,0,2,"[Home (dorm; apartment)]","[Roommates; Significant other]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Roommates; Significant other]"
"16","1kmsum3b",2018-10-14 09:58:15,0,0,2,0,1,"[Cafe; restaurant; Religious facility]","[Friends; Roommates]","[Commuting; traveling; Eating; drinking]","[Talking in person; Text messaging on the phone]"
"17","1kmsum3b",2018-10-14 15:09:09,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"18","1kmsum3b",2018-10-14 18:42:04,0,0,3,0,2,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"19","1kmsum3b",2018-10-15 09:01:41,0,1,2,0,1,"[Campus; Home (dorm; apartment)]","[Friends; Roommates]","[Attending classes; meetings; Commuting; traveling]","[Talking in person; Interacting on Instagram]"
"20","1kmsum3b",2018-10-15 12:05:27,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"21","1kmsum3b",2018-10-15 15:57:43,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"22","1kmsum3b",2018-10-15 18:04:47,0,0,2,1,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"23","1kmsum3b",2018-10-16 09:06:44,0,0,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media; Eating; drinking]","[Talking in person; Interacting on Instagram; Interacting on Snapchat]"
"24","1kmsum3b",2018-10-16 12:11:07,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"25","1kmsum3b",2018-10-16 15:06:39,0,0,2,0,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Roommates]"
"26","1kmsum3b",2018-10-16 18:01:14,0,0,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings; Commuting; traveling]","[Classmates; students]"
"27","1kmsum3b",2018-10-17 10:04:23,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"28","1kmsum3b",2018-10-17 12:31:24,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"29","1kmsum3b",2018-10-17 15:09:37,0,0,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media; Eating; drinking]","[Roommates]"
"30","1kmsum3b",2018-10-17 18:33:42,0,0,3,0,2,"[Cafe; Restaurant]","[Friends; Roommates]","[Eating; drinking; Talking; texting; socializing]","[Friends; Roommates]"
"31","1kmsum3b",2018-10-18 09:07:35,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Eating; drinking]","[Not applicable; was not interacting with anyone]"
"32","1kmsum3b",2018-10-18 12:29:28,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
