"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","1l873zgb",2018-10-10 09:02:06,0,1,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","1l873zgb",2018-10-10 12:52:12,0,1,3,0,3,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","1l873zgb",2018-10-10 15:01:03,0,1,3,0,3,"Home (dorm; apartment)","No one; alone","Watching TV; movies","No one; alone"
"4","1l873zgb",2018-10-10 18:01:44,0,0,3,0,4,"[Gym]","[Other]","[Exercising; physical activity; sports]","[Other]"
"5","1l873zgb",2018-10-11 10:28:54,0,0,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"6","1l873zgb",2018-10-11 12:00:53,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"7","1l873zgb",2018-10-11 15:55:00,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"8","1l873zgb",2018-10-11 18:00:53,0,2,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"9","1l873zgb",2018-10-12 09:01:07,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Talking on the phone]"
"10","1l873zgb",2018-10-12 13:49:47,0,0,3,0,4,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"11","1l873zgb",2018-10-12 17:14:00,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"12","1l873zgb",2018-10-12 18:00:50,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"13","1l873zgb",2018-10-13 09:01:54,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
