"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","1nykax6i",2018-10-10 09:05:56,0,2,1,1,0,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"2","1nykax6i",2018-10-10 12:31:53,0,0,2,0,2,"2","4","7","4"
"3","1nykax6i",2018-10-10 15:40:57,0,3,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"4","1nykax6i",2018-10-10 18:02:28,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"5","1nykax6i",2018-10-11 09:02:31,0,1,2,0,2,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"6","1nykax6i",2018-10-11 12:30:03,0,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","1nykax6i",2018-10-11 16:49:04,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings; Browsing the Internet; using social media]","[Roommates]"
"8","1nykax6i",2018-10-11 19:41:12,0,2,2,0,2,"[Cafe; Restaurant]","[Classmates; students; Friends]","[Eating; drinking]","[Classmates; students; Friends]"
"9","1nykax6i",2018-10-12 09:03:26,0,2,2,0,1,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"10","1nykax6i",2018-10-12 15:19:30,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"11","1nykax6i",2018-10-12 19:32:46,0,1,3,0,1,"[Vehicle]","[Roommates]","[Commuting; traveling]","[Roommates]"
"12","1nykax6i",2018-10-13 12:07:15,0,2,2,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking; Resting; napping; doing nothing]","[Family]"
"13","1nykax6i",2018-10-13 17:00:22,0,2,2,0,2,"[Store / Mall]","[Friends]","[Talking; texting; socializing]","[Friends]"
"14","1nykax6i",2018-10-13 20:33:58,0,2,3,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Family]"
"15","1nykax6i",2018-10-14 10:50:21,0,2,3,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"16","1nykax6i",2018-10-14 12:35:00,1,2,3,0,3,"[Home (dorm; apartment)]","[Family]","[Eating; drinking; Watching TV; movies]","[Family]"
"17","1nykax6i",2018-10-14 18:40:14,0,2,3,0,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"18","1nykax6i",2018-10-15 09:23:01,0,1,2,0,2,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
