"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","3l5stkdh",2018-10-10 11:14:47,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone]"
"2","3l5stkdh",2018-10-10 12:01:32,0,0,2,0,3,"Campus","Friends","Commuting; traveling","Friends"
"3","3l5stkdh",2018-10-10 15:00:56,0,0,3,0,3,"Campus","No one; alone","Talking; texting; socializing","No one; alone"
"4","3l5stkdh",2018-10-10 18:36:42,0,0,2,0,2,"Home (dorm; apartment)","No one; alone","Talking; texting; socializing","No one; alone"
"5","3l5stkdh",2018-10-11 09:30:54,0,0,3,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"6","3l5stkdh",2018-10-11 12:01:55,0,0,3,0,2,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"7","3l5stkdh",2018-10-11 15:00:50,0,0,3,0,3,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"8","3l5stkdh",2018-10-11 19:31:57,0,0,3,0,3,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"9","3l5stkdh",2018-10-12 09:33:04,0,0,2,0,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Talking; texting; socializing]","[Talking on the phone]"
"10","3l5stkdh",2018-10-12 12:52:32,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"11","3l5stkdh",2018-10-12 15:00:44,0,0,3,0,3,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"12","3l5stkdh",2018-10-12 18:02:12,0,0,3,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"13","3l5stkdh",2018-10-13 12:12:53,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"14","3l5stkdh",2018-10-13 15:07:47,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"15","3l5stkdh",2018-10-13 19:05:00,0,0,3,0,3,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[No one; alone]"
"16","3l5stkdh",2018-10-14 14:05:52,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"17","3l5stkdh",2018-10-14 15:09:41,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"18","3l5stkdh",2018-10-14 18:04:19,0,0,2,0,3,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"19","3l5stkdh",2018-10-15 11:21:03,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"20","3l5stkdh",2018-10-15 12:53:42,0,0,2,0,3,"[Cafe; Restaurant;Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"21","3l5stkdh",2018-10-15 15:00:56,1,0,2,0,2,"[Campus]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"22","3l5stkdh",2018-10-15 18:00:40,1,0,2,0,3,"[Cafe; Restaurant;Campus]","[No one; alone]","[Eating; drinking;Watching TV; movies]","[No one; alone]"
"23","3l5stkdh",2018-10-16 09:08:40,1,0,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"24","3l5stkdh",2018-10-16 15:50:40,0,0,2,0,3,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"25","3l5stkdh",2018-10-16 18:00:48,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone]"
"26","3l5stkdh",2018-10-17 14:59:25,0,0,2,0,3,"[Cafe; Restaurant;Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"27","3l5stkdh",2018-10-17 18:41:33,0,1,2,0,3,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"28","3l5stkdh",2018-10-17 19:47:09,0,0,3,0,3,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[Chatting on Whatsapp or other chat app]"
"29","3l5stkdh",2018-10-18 12:44:02,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"30","3l5stkdh",2018-10-18 15:01:17,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"31","3l5stkdh",2018-10-18 19:01:59,0,0,3,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Commuting; traveling]","[No one; alone]"
"32","3l5stkdh",2018-10-19 15:03:08,0,0,2,0,3,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"33","3l5stkdh",2018-10-19 18:01:13,0,0,2,0,3,"[None of the above; other]","[Strangers]","[None of the above; Other]","[Strangers]"
"34","3l5stkdh",2018-10-20 19:43:21,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"35","3l5stkdh",2018-10-21 14:04:20,0,0,3,0,3,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"36","3l5stkdh",2018-10-21 15:03:35,0,0,3,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"37","3l5stkdh",2018-10-21 19:45:55,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"38","3l5stkdh",2018-10-22 10:04:27,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Chatting on Whatsapp or other chat app]"
"39","3l5stkdh",2018-10-22 12:01:50,0,0,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"40","3l5stkdh",2018-10-22 15:02:42,0,0,2,0,2,"[Campus]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"41","3l5stkdh",2018-10-23 10:41:46,0,0,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Chatting on Whatsapp or other chat app]"
"42","3l5stkdh",2018-10-23 15:51:22,0,0,3,0,3,"[Cafe; Restaurant;Campus]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"43","3l5stkdh",2018-10-23 18:24:39,0,0,2,0,2,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"44","3l5stkdh",2018-10-24 15:23:32,1,0,2,0,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Commuting; traveling]","[No one; alone]"
"45","3l5stkdh",2018-10-24 16:02:54,1,0,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"46","3l5stkdh",2018-10-24 18:50:05,1,0,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Friends]"
"47","3l5stkdh",2018-10-25 15:02:23,0,0,2,0,3,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[No one; alone]"
"48","3l5stkdh",2018-10-25 15:25:07,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"49","3l5stkdh",2018-10-25 18:00:35,0,0,2,0,2,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"50","3l5stkdh",2018-10-27 18:50:41,1,0,2,0,1,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking;Studying; reading; preparing for an exam]","[Friends]"
"51","3l5stkdh",2018-10-28 13:13:20,0,0,2,0,3,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Talking in person;Chatting on Whatsapp or other chat app]"
"52","3l5stkdh",2018-10-28 18:00:33,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
