"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","3r2m84sh",2018-10-10 09:01:11,0,1,2,0,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"2","3r2m84sh",2018-10-10 12:01:04,0,1,1,0,2,"Library","No one; alone","Watching TV; movies","No one; alone"
"3","3r2m84sh",2018-10-10 15:01:09,0,0,1,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"4","3r2m84sh",2018-10-10 18:02:02,1,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Family]"
"5","3r2m84sh",2018-10-11 09:01:23,0,1,1,0,1,"[Library]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"6","3r2m84sh",2018-10-11 15:01:46,0,1,1,1,2,"[Library]","[No one; alone;Strangers]","[Studying; reading; preparing for an exam]","[No one; alone;Strangers]"
"7","3r2m84sh",2018-10-11 18:01:35,1,1,1,1,1,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"8","3r2m84sh",2018-10-12 09:00:54,1,1,1,1,1,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"9","3r2m84sh",2018-10-12 12:01:00,0,1,1,0,1,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[No one; alone]"
"10","3r2m84sh",2018-10-12 15:03:42,0,1,1,1,2,"[Cafe; Restaurant]","[No one; alone;Strangers]","[Watching TV; movies]","[No one; alone;Strangers]"
"11","3r2m84sh",2018-10-12 18:27:09,0,1,1,0,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Family]"
"12","3r2m84sh",2018-10-13 11:13:33,0,2,1,0,2,"[Cafe; restaurant]","[Co-workers]","[Working at job]","[Talking in person]"
"13","3r2m84sh",2018-10-13 12:01:48,0,2,1,0,2,"[Cafe; Restaurant]","[Co-workers;Strangers]","[Working at job]","[Co-workers;Strangers]"
"14","3r2m84sh",2018-10-13 15:27:05,0,1,1,0,1,"[Cafe; Restaurant;Work]","[Co-workers]","[Working at job]","[Co-workers]"
"15","3r2m84sh",2018-10-13 18:35:58,0,1,1,0,1,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Family]"
"16","3r2m84sh",2018-10-14 09:56:28,0,2,1,0,1,"[Cafe; restaurant;Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"17","3r2m84sh",2018-10-14 12:23:49,0,2,1,0,1,"[Cafe; Restaurant;Work]","[Co-workers;Strangers]","[Working at job]","[Co-workers;Strangers]"
"18","3r2m84sh",2018-10-14 16:13:18,0,1,1,0,1,"[Cafe; Restaurant;Work]","[Co-workers;Friends]","[Working at job]","[Co-workers;Friends]"
"19","3r2m84sh",2018-10-14 18:00:43,0,1,1,0,2,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Family]"
"20","3r2m84sh",2018-10-15 09:55:42,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"21","3r2m84sh",2018-10-15 12:05:38,0,1,1,0,2,"[Campus;Library]","[No one; alone;Strangers]","[Eating; drinking;Talking; texting; socializing]","[No one; alone;Strangers]"
"22","3r2m84sh",2018-10-15 15:01:25,0,1,1,0,2,"[Campus;Library]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"23","3r2m84sh",2018-10-15 18:22:24,0,1,1,0,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"24","3r2m84sh",2018-10-16 09:01:55,0,1,1,0,2,"[Campus;Vehicle]","[Family]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"25","3r2m84sh",2018-10-16 12:16:19,0,1,1,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings]","[Classmates; students;Strangers]"
"26","3r2m84sh",2018-10-16 15:03:39,0,1,1,0,2,"[Campus;Library]","[Classmates; students;Strangers]","[Studying; reading; preparing for an exam]","[Classmates; students;Strangers]"
"27","3r2m84sh",2018-10-16 18:00:47,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Commuting; traveling]","[Family]"
"28","3r2m84sh",2018-10-17 10:37:28,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"29","3r2m84sh",2018-10-17 12:01:11,0,1,1,0,2,"[Campus;Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"30","3r2m84sh",2018-10-17 15:27:13,0,0,0,0,1,"[Campus;Library]","[Classmates; students;Strangers]","[Attending classes; meetings]","[Classmates; students;Strangers]"
"31","3r2m84sh",2018-10-17 18:17:05,0,1,1,0,2,"[None of the above; other]","[Family;Strangers]","[None of the above; Other]","[Family;Strangers]"
"32","3r2m84sh",2018-10-18 16:30:30,0,1,1,0,2,"[Campus;Library]","[No one; alone;Strangers]","[Attending classes; meetings]","[No one; alone;Strangers]"
"33","3r2m84sh",2018-10-18 19:59:23,0,0,1,0,1,"[Store / Mall]","[Family]","[Eating; drinking]","[Family]"
"34","3r2m84sh",2018-10-19 09:01:06,0,1,1,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"35","3r2m84sh",2018-10-19 12:01:07,0,2,1,0,2,"[Campus]","[Classmates; students;Friends]","[Commuting; traveling]","[Classmates; students;Friends]"
"36","3r2m84sh",2018-10-19 15:25:22,0,0,1,0,2,"[Store / Mall]","[Family]","[None of the above; Other]","[Family]"
"37","3r2m84sh",2018-10-19 18:57:33,0,2,1,0,0,"[None of the above; other]","[Family]","[Resting; napping; doing nothing]","[Family]"
"38","3r2m84sh",2018-10-20 10:31:51,1,2,1,0,0,"[Cafe; restaurant;Work]","[Co-workers;Family;Friends]","[Working at job]","[Talking in person]"
"39","3r2m84sh",2018-10-20 16:06:30,1,1,1,0,1,"[Cafe; Restaurant]","[Co-workers]","[Attending classes; meetings]","[Co-workers]"
"40","3r2m84sh",2018-10-21 11:35:21,0,2,1,0,0,"[Cafe; restaurant;Work]","[Co-workers;Family]","[Working at job]","[Talking in person]"
"41","3r2m84sh",2018-10-21 17:00:55,1,2,0,0,0,"[Cafe; Restaurant;Home (dorm; apartment);Work;Vehicle]","[Co-workers;Family]","[Working at job]","[Co-workers;Family]"
"42","3r2m84sh",2018-10-21 18:00:46,1,2,1,0,0,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Family]"
"43","3r2m84sh",2018-10-22 09:04:04,0,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Skip question]"
"44","3r2m84sh",2018-10-22 12:58:51,0,1,1,1,1,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Family]"
"45","3r2m84sh",2018-10-22 16:27:14,0,0,1,0,1,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies;None of the above; Other]","[Family]"
"46","3r2m84sh",2018-10-22 18:09:56,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Family]"
"47","3r2m84sh",2018-10-23 09:00:56,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Eating; drinking]","[Talking in person]"
"48","3r2m84sh",2018-10-23 13:45:38,0,0,1,0,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"49","3r2m84sh",2018-10-23 15:08:29,0,1,1,0,1,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam;None of the above; Other]","[Family]"
"50","3r2m84sh",2018-10-23 18:08:12,0,1,1,0,1,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Family]"
"51","3r2m84sh",2018-10-24 09:00:45,0,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"52","3r2m84sh",2018-10-24 12:39:02,1,1,1,1,1,"[Campus;Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"53","3r2m84sh",2018-10-24 15:46:13,0,1,1,1,1,"[Library]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"54","3r2m84sh",2018-10-24 18:55:09,1,1,1,1,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"55","3r2m84sh",2018-10-25 09:29:29,0,1,1,0,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"56","3r2m84sh",2018-10-25 12:15:44,0,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"57","3r2m84sh",2018-10-25 15:56:12,0,1,1,0,1,"[Campus;Library]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"58","3r2m84sh",2018-10-25 18:51:07,1,1,1,1,2,"[Home (dorm; apartment);Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"59","3r2m84sh",2018-10-26 09:00:50,0,1,1,0,2,"[Campus]","[No one; alone]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
"60","3r2m84sh",2018-10-26 12:28:35,0,0,1,0,2,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"61","3r2m84sh",2018-10-26 15:17:50,0,1,1,0,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"62","3r2m84sh",2018-10-26 18:13:55,0,0,1,0,1,"[Bar; Party]","[Family;Strangers]","[None of the above; Other]","[Family;Strangers]"
