"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","3r7wfrj9",2018-10-10 09:02:35,1,1,3,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","3r7wfrj9",2018-10-10 12:02:40,1,1,1,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","3r7wfrj9",2018-10-10 15:44:18,0,1,2,0,2,"Store / Mall","Friends","Talking; texting; socializing","Friends"
"4","3r7wfrj9",2018-10-11 16:53:56,1,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"5","3r7wfrj9",2018-10-13 10:04:09,1,2,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Text messaging on the phone]"
"6","3r7wfrj9",2018-10-14 18:45:03,0,0,3,1,3,"[None of the above; other]","[Friends]","[Eating; drinking]","[Friends]"
"7","3r7wfrj9",2018-10-15 09:15:31,0,2,1,1,2,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"8","3r7wfrj9",2018-10-15 12:38:34,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"9","3r7wfrj9",2018-10-15 17:16:05,0,1,2,0,1,"[Library]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"10","3r7wfrj9",2018-10-15 19:37:52,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"11","3r7wfrj9",2018-10-16 10:55:30,1,1,1,0,2,"[Campus]","[Classmates; students;Roommates]","[Commuting; traveling]","[Talking in person;Interacting on Snapchat]"
"12","3r7wfrj9",2018-10-16 14:03:42,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"13","3r7wfrj9",2018-10-16 15:07:02,0,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"14","3r7wfrj9",2018-10-16 18:01:23,1,2,2,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[No one; alone;Roommates]"
"15","3r7wfrj9",2018-10-17 13:08:03,0,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"16","3r7wfrj9",2018-10-18 10:58:16,2,1,1,1,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"17","3r7wfrj9",2018-10-18 12:22:44,1,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"18","3r7wfrj9",2018-10-18 16:28:58,0,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Eating; drinking]","[No one; alone]"
"19","3r7wfrj9",2018-10-20 12:52:23,0,0,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"20","3r7wfrj9",2018-10-20 15:03:44,0,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Doing household chores; running errands;Resting; napping; doing nothing]","[No one; alone;Roommates]"
"21","3r7wfrj9",2018-10-20 22:14:59,0,0,2,0,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
