"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","3ryco9i9",2018-10-10 12:00:53,0,1,3,0,3,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"2","3ryco9i9",2018-10-10 15:57:25,0,2,2,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","3ryco9i9",2018-10-10 18:02:03,0,1,3,0,3,"[Vehicle]","[Family;No one; alone]","[Commuting; traveling]","[Family;No one; alone]"
"4","3ryco9i9",2018-10-11 12:42:41,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends;No one; alone]","[Talking; texting; socializing]","[Friends;No one; alone]"
"5","3ryco9i9",2018-10-11 17:42:42,0,1,2,0,3,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"6","3ryco9i9",2018-10-11 18:10:01,0,1,2,0,3,"[Campus]","[Family;Friends]","[Commuting; traveling;Talking; texting; socializing]","[Family;Friends]"
"7","3ryco9i9",2018-10-12 09:05:06,0,1,1,0,1,"[Home (dorm; apartment)]","[Family;Friends;No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person;Interacting on Snapchat]"
"8","3ryco9i9",2018-10-12 12:00:55,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"9","3ryco9i9",2018-10-12 15:04:36,0,1,2,1,2,"[Campus;Vehicle]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Classmates; students;Friends;No one; alone]"
"10","3ryco9i9",2018-10-13 09:02:28,0,1,1,1,1,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"11","3ryco9i9",2018-10-13 12:05:30,1,2,1,1,1,"[None of the above; other]","[No one; alone;Strangers]","[None of the above; Other]","[No one; alone;Strangers]"
