"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","496x5vbm",2018-10-10 13:45:23,1,1,2,0,3,"Home (dorm; apartment)","Friends","Talking; texting; socializing","Friends"
"2","496x5vbm",2018-10-10 18:30:50,1,1,1,1,2,"Home (dorm; apartment)","Roommates","Watching TV; movies","Roommates"
"3","496x5vbm",2018-10-11 12:18:30,1,1,3,1,3,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"4","496x5vbm",2018-10-11 15:33:39,1,1,2,1,2,"[Campus]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"5","496x5vbm",2018-10-11 18:59:34,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"6","496x5vbm",2018-10-12 09:00:59,1,0,2,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"7","496x5vbm",2018-10-12 12:00:53,1,2,2,2,3,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings]","[Classmates; students;No one; alone]"
"8","496x5vbm",2018-10-12 17:23:06,1,1,2,1,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[No one; alone]"
"9","496x5vbm",2018-10-12 18:24:47,1,1,2,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone;Roommates]"
"10","496x5vbm",2018-10-13 09:47:47,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"11","496x5vbm",2018-10-13 12:02:02,1,1,2,1,2,"[Home (dorm; apartment)]","[Family;No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing;Watching TV; movies]","[Family;No one; alone]"
"12","496x5vbm",2018-10-13 15:26:20,1,1,2,1,2,"[Home (dorm; apartment);Vehicle]","[No one; alone;Strangers]","[Commuting; traveling]","[No one; alone;Strangers]"
"13","496x5vbm",2018-10-13 18:10:52,1,1,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[No one; alone]"
"14","496x5vbm",2018-10-14 12:00:56,2,3,1,1,1,"[Home (dorm; apartment);Store / Mall]","[No one; alone;Roommates;Strangers]","[Browsing the Internet; using social media;None of the above; Other]","[No one; alone;Roommates;Strangers]"
"15","496x5vbm",2018-10-14 15:07:39,1,1,1,1,2,"[Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"16","496x5vbm",2018-10-14 18:06:56,1,1,2,1,2,"[Friend’s house]","[Friends]","[Browsing the Internet; using social media;Talking; texting; socializing;Watching TV; movies]","[Friends]"
"17","496x5vbm",2018-10-15 09:17:18,2,2,1,2,1,"[Campus]","[No one; alone;Strangers]","[Attending classes; meetings]","[Talking in person]"
"18","496x5vbm",2018-10-15 12:01:21,1,3,0,1,1,"[Campus]","[Classmates; students;Friends;No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends;No one; alone]"
"19","496x5vbm",2018-10-15 20:11:31,1,1,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"20","496x5vbm",2018-10-16 09:40:31,1,2,1,1,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;No one; alone]","[Attending classes; meetings;Commuting; traveling;Eating; drinking]","[Talking in person;Interacting on Snapchat;Interacting on Twitter]"
"21","496x5vbm",2018-10-17 13:19:42,0,2,1,0,3,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;No one; alone]"
"22","496x5vbm",2018-10-17 19:21:09,1,1,2,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"23","496x5vbm",2018-10-18 09:16:46,2,2,1,2,1,"[Campus]","[No one; alone]","[Commuting; traveling;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"24","496x5vbm",2018-10-18 12:59:51,1,2,1,1,3,"[Campus]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Classmates; students;Friends;No one; alone]"
"25","496x5vbm",2018-10-18 15:54:07,1,1,2,1,2,"[Campus]","[No one; alone;Strangers]","[Attending classes; meetings;Commuting; traveling]","[No one; alone;Strangers]"
"26","496x5vbm",2018-10-19 15:31:33,0,0,2,0,4,"[Campus;Home (dorm; apartment)]","[Friends;No one; alone;Strangers]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Friends;No one; alone;Strangers]"
"27","496x5vbm",2018-10-19 20:48:39,0,0,2,0,1,"[Work]","[Classmates; students;Co-workers;Strangers]","[Talking; texting; socializing;Working at job]","[Classmates; students;Co-workers;Strangers]"
"28","496x5vbm",2018-10-20 09:48:24,0,0,2,0,1,"[Work]","[Co-workers;Friends;Strangers]","[Talking; texting; socializing;Working at job]","[Talking in person]"
"29","496x5vbm",2018-10-21 12:26:55,0,0,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone]"
"30","496x5vbm",2018-10-22 09:00:59,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"31","496x5vbm",2018-10-22 14:04:55,1,1,0,1,1,"[Campus]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Classmates; students;Friends;No one; alone]"
"32","496x5vbm",2018-10-22 15:01:19,1,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[No one; alone]"
"33","496x5vbm",2018-10-22 18:01:37,1,0,2,1,2,"[Home (dorm; apartment);Vehicle]","[Friends;No one; alone]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing;Watching TV; movies]","[Friends;No one; alone]"
"34","496x5vbm",2018-10-23 12:08:30,0,0,2,0,3,"[Campus]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"35","496x5vbm",2018-10-23 15:33:16,1,1,1,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Doing household chores; running errands;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"36","496x5vbm",2018-10-23 21:37:01,1,0,2,1,3,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone;Roommates]"
"37","496x5vbm",2018-10-24 15:22:08,0,0,2,0,2,"[Campus;Work]","[Co-workers;No one; alone]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing;Working at job]","[Co-workers;No one; alone]"
"38","496x5vbm",2018-10-24 18:32:26,0,0,3,0,3,"[Home (dorm; apartment);Vehicle]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"39","496x5vbm",2018-10-25 12:03:51,0,1,3,0,3,"[Campus;Work]","[Co-workers;No one; alone]","[Working at job]","[Co-workers;No one; alone]"
"40","496x5vbm",2018-10-25 12:33:02,0,1,2,0,2,"[Campus;Work]","[Co-workers;No one; alone]","[Commuting; traveling;Working at job]","[Talking in person]"
"41","496x5vbm",2018-10-25 15:09:37,1,1,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[No one; alone]"
"42","496x5vbm",2018-10-25 18:00:53,0,0,0,0,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"43","496x5vbm",2018-10-26 18:02:25,1,1,1,1,2,"[Fraternity; Sorority House;Friend's house;None of the above; other]","[Friends;No one; alone;Roommates;Strangers]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"44","496x5vbm",2018-10-28 18:09:38,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Doing household chores; running errands;Eating; drinking;Talking; texting; socializing]","[Friends;Roommates]"
"45","496x5vbm",2018-10-29 09:01:24,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Interacting on Twitter]"
"46","496x5vbm",2018-10-29 12:03:42,0,1,2,0,2,"[Campus;Work]","[No one; alone]","[Studying; reading; preparing for an exam;Working at job]","[No one; alone]"
"47","496x5vbm",2018-10-29 16:29:59,1,2,1,0,2,"[Campus]","[No one; alone;Strangers]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[No one; alone;Strangers]"
"48","496x5vbm",2018-10-29 18:01:14,2,1,1,0,2,"[Campus;Library]","[No one; alone;Strangers]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone;Strangers]"
"49","496x5vbm",2018-10-30 09:01:05,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Interacting on Twitter]"
"50","496x5vbm",2018-10-30 12:00:53,0,0,2,0,2,"[Campus;Work]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone]"
"51","496x5vbm",2018-10-30 15:56:35,0,2,0,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media;Doing household chores; running errands]","[No one; alone]"
"52","496x5vbm",2018-10-30 18:13:24,1,3,0,0,2,"[Campus;Home (dorm; apartment)]","[Friends;No one; alone]","[Commuting; traveling]","[Friends;No one; alone]"
"53","496x5vbm",2018-10-31 09:10:12,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"54","496x5vbm",2018-10-31 12:01:45,1,1,2,0,3,"[Campus;Work]","[Co-workers;No one; alone]","[Working at job]","[Co-workers;No one; alone]"
"55","496x5vbm",2018-10-31 19:34:17,3,3,0,0,1,"[Campus;Home (dorm; apartment)]","[Friends;No one; alone;Roommates]","[Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;No one; alone;Roommates]"
"56","496x5vbm",2018-11-01 09:22:04,0,0,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;No one; alone]","[Commuting; traveling]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"57","496x5vbm",2018-11-01 13:03:50,1,1,1,0,2,"[Campus]","[Friends;No one; alone]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Friends;No one; alone]"
