"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","55nzoqpz",2018-10-11 09:58:05,0,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"2","55nzoqpz",2018-10-11 15:15:47,0,1,1,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"3","55nzoqpz",2018-10-11 19:03:50,0,2,1,1,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Friends; Roommates]"
"4","55nzoqpz",2018-10-12 10:28:24,0,2,1,0,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Talking in person]"
"5","55nzoqpz",2018-10-12 12:29:34,1,1,1,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"6","55nzoqpz",2018-10-12 16:10:44,0,1,1,1,2,"[Home (dorm; apartment)]","[Classmates; students; Friends; Roommates]","[Talking; texting; socializing]","[Classmates; students; Friends; Roommates]"
"7","55nzoqpz",2018-10-15 11:39:09,0,2,1,1,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing; Studying; reading; preparing for an exam; Talking; texting; socializing]","[Friends; Roommates]"
"8","55nzoqpz",2018-10-15 13:08:12,0,3,1,1,2,"[Campus]","[Classmates; students; Family; Roommates]","[Attending classes; meetings; Commuting; traveling; Eating; drinking]","[Classmates; students; Family; Roommates]"
"9","55nzoqpz",2018-10-15 15:52:17,0,1,2,1,3,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Classmates; students; Friends]"
"10","55nzoqpz",2018-10-17 14:22:34,1,1,0,1,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Doing household chores; running errands]","[Friends; Roommates]"
"11","55nzoqpz",2018-10-17 17:15:03,1,1,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"12","55nzoqpz",2018-10-18 12:55:01,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"13","55nzoqpz",2018-10-18 17:02:15,0,3,1,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Friends; Roommates]"
"14","55nzoqpz",2018-10-18 20:01:49,0,3,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"15","55nzoqpz",2018-10-22 13:45:58,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings; Browsing the Internet; using social media]","[Classmates; students]"
"16","55nzoqpz",2018-10-22 17:40:41,0,1,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Interacting on Instagram]"
"17","55nzoqpz",2018-10-22 18:06:04,0,1,2,1,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Browsing the Internet; using social media; Talking; texting; socializing]","[Friends; Roommates]"
"18","55nzoqpz",2018-10-23 09:56:06,0,1,1,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"19","55nzoqpz",2018-10-24 14:03:56,3,1,1,1,2,"[Cafe; Restaurant; Home (dorm; apartment)]","[Classmates; students; Friends; Roommates]","[Resting; napping; doing nothing]","[Classmates; students; Friends; Roommates]"
"20","55nzoqpz",2018-10-24 20:03:29,2,2,0,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"21","55nzoqpz",2018-10-27 11:13:50,2,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking; Resting; napping; doing nothing]","[Roommates]"
"22","55nzoqpz",2018-10-27 16:51:10,1,1,1,1,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Browsing the Internet; using social media; Exercising; physical activity; sports; Resting; napping; doing nothing; Talking; texting; socializing]","[Friends; Roommates]"
"23","55nzoqpz",2018-10-28 16:54:00,0,2,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"24","55nzoqpz",2018-10-28 19:02:37,0,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[No one; alone]"
"25","55nzoqpz",2018-10-30 09:37:55,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"26","55nzoqpz",2018-10-30 16:04:41,0,3,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[No one; alone]"
"27","55nzoqpz",2018-10-30 18:52:08,2,3,0,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing; Studying; reading; preparing for an exam; Talking; texting; socializing]","[No one; alone]"
"28","55nzoqpz",2018-10-31 18:19:50,0,3,1,0,1,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
