"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","6ib3ltyw",2018-10-10 11:53:11,0,3,1,0,2,"[Cafe; restaurant]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"2","6ib3ltyw",2018-10-10 13:06:03,0,3,0,0,0,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","6ib3ltyw",2018-10-10 15:01:55,0,3,0,1,3,"Campus","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"4","6ib3ltyw",2018-10-10 18:00:59,1,3,0,0,1,"Campus","Classmates; students","Studying; reading; preparing for an exam","Classmates; students"
"5","6ib3ltyw",2018-10-11 15:04:37,0,2,0,1,1,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"6","6ib3ltyw",2018-10-11 18:01:16,1,3,0,2,1,"Home (dorm; apartment)","Friends","Browsing the Internet; using social media","Friends"
"7","6ib3ltyw",2018-10-12 11:04:41,1,2,1,0,3,"[Cafe; restaurant]","[Friends]","[Eating; drinking]","[Talking in person;Text messaging on the phone]"
"8","6ib3ltyw",2018-10-12 12:40:21,0,2,1,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"9","6ib3ltyw",2018-10-12 15:01:03,0,3,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam;Watching TV; movies]","[No one; alone]"
"10","6ib3ltyw",2018-10-13 15:17:42,3,1,0,0,0,"[Vehicle]","[Significant other]","[Commuting; traveling]","[Significant other]"
"11","6ib3ltyw",2018-10-14 14:47:22,3,1,2,2,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"12","6ib3ltyw",2018-10-16 15:51:06,1,1,3,1,1,"[Home (dorm; apartment)]","[Friends]","[Attending classes; meetings]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"13","6ib3ltyw",2018-10-17 11:49:27,1,1,1,1,4,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"14","6ib3ltyw",2018-10-18 10:08:02,1,1,2,1,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"15","6ib3ltyw",2018-10-18 16:53:19,0,1,0,1,0,"[Home (dorm; apartment)]","[Friends]","[Attending classes; meetings]","[Friends]"
"16","6ib3ltyw",2018-10-18 18:39:50,0,1,0,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"17","6ib3ltyw",2018-10-19 09:04:22,2,1,0,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"18","6ib3ltyw",2018-10-19 21:47:43,2,1,1,0,0,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Family]"
"19","6ib3ltyw",2018-10-20 12:01:52,0,0,3,0,1,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media]","[Text messaging on the phone]"
"20","6ib3ltyw",2018-10-20 18:01:54,1,1,3,0,0,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Family]"
"21","6ib3ltyw",2018-10-21 10:26:19,0,1,2,0,1,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone]"
"22","6ib3ltyw",2018-10-21 15:03:17,1,1,3,0,3,"[Friend’s house]","[Friends]","[Eating; drinking]","[Friends]"
"23","6ib3ltyw",2018-10-22 15:04:35,0,1,1,0,3,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Classmates; students]"
"24","6ib3ltyw",2018-10-22 20:36:26,0,1,1,0,0,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam]","[Friends;Roommates]"
"25","6ib3ltyw",2018-10-23 11:18:33,0,2,3,0,4,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"26","6ib3ltyw",2018-10-23 17:10:49,0,2,2,0,0,"[Campus]","[Friends;Roommates]","[Commuting; traveling]","[Friends;Roommates]"
"27","6ib3ltyw",2018-10-24 10:13:16,0,2,2,1,0,"[Campus]","[Strangers]","[Commuting; traveling]","[Talking in person]"
"28","6ib3ltyw",2018-10-25 01:40:31,0,2,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"29","6ib3ltyw",2018-10-25 10:36:57,0,3,0,1,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"30","6ib3ltyw",2018-10-25 16:28:00,1,2,2,1,0,"[Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings]","[Friends;Roommates]"
"31","6ib3ltyw",2018-10-26 10:26:44,3,3,0,3,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"32","6ib3ltyw",2018-10-26 15:27:00,3,3,0,3,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"33","6ib3ltyw",2018-10-27 12:01:55,0,0,2,1,1,"[Vehicle]","[Significant other]","[Commuting; traveling]","[Significant other]"
"34","6ib3ltyw",2018-10-28 23:04:00,0,1,1,0,3,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"35","6ib3ltyw",2018-10-29 09:18:48,0,2,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone]"
"36","6ib3ltyw",2018-10-30 12:03:54,0,1,2,0,3,"[Vehicle]","[Friends;Significant other]","[Commuting; traveling]","[Friends;Significant other]"
