"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","7qfhmzsl",2018-10-10 11:54:00,1,2,2,2,3,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"2","7qfhmzsl",2018-10-10 15:18:08,0,3,3,0,4,"Campus","Classmates; students","Studying; reading; preparing for an exam","Classmates; students"
"3","7qfhmzsl",2018-10-10 20:28:52,1,1,2,1,3,"[None of the above; other]","[Strangers]","[Watching TV; movies]","[Strangers]"
"4","7qfhmzsl",2018-10-11 11:37:43,1,1,3,1,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"5","7qfhmzsl",2018-10-11 12:00:37,1,1,3,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"6","7qfhmzsl",2018-10-11 15:01:09,2,2,2,2,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"7","7qfhmzsl",2018-10-11 18:28:22,3,3,0,3,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"8","7qfhmzsl",2018-10-12 09:01:10,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"9","7qfhmzsl",2018-10-12 12:00:36,2,2,1,2,3,"[Campus]","[Strangers]","[Commuting; traveling]","[Strangers]"
"10","7qfhmzsl",2018-10-12 15:10:32,1,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"11","7qfhmzsl",2018-10-12 19:05:33,1,1,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"12","7qfhmzsl",2018-10-13 10:45:06,0,2,3,0,4,"[Friend's house;Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Talking in person]"
"13","7qfhmzsl",2018-10-13 12:00:56,1,1,2,1,3,"[None of the above; other]","[Strangers]","[None of the above; Other]","[Strangers]"
"14","7qfhmzsl",2018-10-13 16:17:08,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"15","7qfhmzsl",2018-10-13 20:59:45,1,1,3,1,3,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"16","7qfhmzsl",2018-10-14 10:15:22,1,1,3,1,4,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"17","7qfhmzsl",2018-10-14 13:01:57,1,1,3,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"18","7qfhmzsl",2018-10-14 18:53:40,0,1,2,0,3,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"19","7qfhmzsl",2018-10-15 09:01:09,1,1,3,1,4,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"20","7qfhmzsl",2018-10-15 12:28:57,1,1,3,1,4,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"21","7qfhmzsl",2018-10-15 15:06:33,1,1,3,1,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"22","7qfhmzsl",2018-10-16 10:02:01,0,0,2,1,4,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"23","7qfhmzsl",2018-10-16 12:01:59,1,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"24","7qfhmzsl",2018-10-16 17:14:46,1,2,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"25","7qfhmzsl",2018-10-16 19:46:10,0,1,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"26","7qfhmzsl",2018-10-17 09:01:09,3,3,1,3,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"27","7qfhmzsl",2018-10-17 12:23:17,0,1,3,0,3,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Family]"
"28","7qfhmzsl",2018-10-17 16:51:49,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"29","7qfhmzsl",2018-10-17 19:32:10,1,1,2,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"30","7qfhmzsl",2018-10-18 10:21:11,0,0,3,0,4,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"31","7qfhmzsl",2018-10-18 13:49:05,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"32","7qfhmzsl",2018-10-18 18:11:49,1,1,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"33","7qfhmzsl",2018-10-19 09:42:58,0,1,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"34","7qfhmzsl",2018-10-19 16:26:29,1,1,2,1,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"35","7qfhmzsl",2018-10-19 19:59:36,0,0,2,0,3,"[Friend’s house]","[Family]","[Resting; napping; doing nothing]","[Family]"
"36","7qfhmzsl",2018-10-20 19:01:06,0,0,3,0,4,"[Friend’s house]","[Family]","[Talking; texting; socializing]","[Family]"
"37","7qfhmzsl",2018-10-21 09:30:59,0,1,2,0,4,"[Friend's house]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"38","7qfhmzsl",2018-10-21 19:49:20,2,2,0,2,2,"[Vehicle]","[Family]","[None of the above; Other]","[Family]"
"39","7qfhmzsl",2018-10-22 09:00:41,2,2,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"40","7qfhmzsl",2018-10-22 12:00:40,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"41","7qfhmzsl",2018-10-22 15:00:41,1,1,3,1,3,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"42","7qfhmzsl",2018-10-23 10:32:25,1,1,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"43","7qfhmzsl",2018-10-23 15:57:10,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"44","7qfhmzsl",2018-10-24 15:29:36,2,2,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"45","7qfhmzsl",2018-10-24 18:04:37,3,2,1,2,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"46","7qfhmzsl",2018-10-25 11:07:37,1,1,3,0,4,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"47","7qfhmzsl",2018-10-25 12:10:13,1,2,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"48","7qfhmzsl",2018-10-25 17:11:37,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"49","7qfhmzsl",2018-10-26 09:00:46,1,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"50","7qfhmzsl",2018-10-26 16:24:39,1,1,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"51","7qfhmzsl",2018-10-27 10:45:35,1,1,3,0,4,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Talking in person]"
"52","7qfhmzsl",2018-10-27 18:24:23,1,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"53","7qfhmzsl",2018-10-28 18:00:56,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"54","7qfhmzsl",2018-10-29 09:40:10,2,2,2,1,3,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"55","7qfhmzsl",2018-10-29 15:06:19,0,2,2,0,3,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"56","7qfhmzsl",2018-10-30 18:56:01,1,2,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"57","7qfhmzsl",2018-10-31 15:01:45,1,1,2,1,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"58","7qfhmzsl",2018-10-31 19:33:06,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"59","7qfhmzsl",2018-11-01 11:17:42,1,1,2,1,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"60","7qfhmzsl",2018-11-02 10:24:58,1,1,2,1,3,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
