"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","819jxotk",2018-10-12 10:44:25,0,2,3,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person]"
"2","819jxotk",2018-10-12 12:02:54,0,2,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"3","819jxotk",2018-10-12 16:14:04,0,1,3,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"4","819jxotk",2018-10-13 01:39:57,0,0,3,0,0,"[Bar; Party]","[Friends]","[None of the above; Other]","[Friends]"
"5","819jxotk",2018-10-13 10:17:48,0,1,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media]","[Talking in person;Talking on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"6","819jxotk",2018-10-13 12:03:19,0,1,3,0,4,"[Cafe; Restaurant]","[Friends]","[Commuting; traveling]","[Friends]"
"7","819jxotk",2018-10-13 15:01:12,0,1,3,0,3,"[None of the above; other]","[Friends;Strangers]","[Exercising; physical activity; sports]","[Friends;Strangers]"
"8","819jxotk",2018-10-13 18:40:27,0,1,3,0,0,"[Gym]","[Strangers]","[Commuting; traveling]","[Strangers]"
"9","819jxotk",2018-10-14 15:07:39,0,1,3,0,3,"[Vehicle]","[Friends;Strangers]","[Commuting; traveling]","[Friends;Strangers]"
"10","819jxotk",2018-10-15 11:46:44,0,0,3,0,4,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"11","819jxotk",2018-10-15 13:46:01,0,1,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Doing household chores; running errands]","[Friends]"
"12","819jxotk",2018-10-15 17:56:44,0,0,3,0,4,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"13","819jxotk",2018-10-15 19:23:46,0,0,3,0,4,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"14","819jxotk",2018-10-17 15:37:29,1,1,2,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"15","819jxotk",2018-10-17 18:43:23,0,1,3,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"16","819jxotk",2018-10-19 15:36:23,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Watching TV; movies]","[No one; alone]"
"17","819jxotk",2018-10-19 18:34:59,0,0,3,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"18","819jxotk",2018-10-20 12:57:39,0,1,3,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"19","819jxotk",2018-10-20 15:43:52,0,2,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
