"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","83su1upb",2018-10-11 13:55:33,1,3,2,3,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Classmates; students]"
"2","83su1upb",2018-10-13 12:01:08,2,2,1,3,0,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Friends]"
"3","83su1upb",2018-10-14 15:40:58,3,3,1,3,2,"[Cafe; Restaurant;Work]","[Co-workers]","[Browsing the Internet; using social media;Working at job]","[Co-workers]"
"4","83su1upb",2018-10-15 11:23:07,2,3,1,2,2,"[Vehicle]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person]"
"5","83su1upb",2018-10-16 12:28:02,3,3,1,3,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"6","83su1upb",2018-10-17 12:02:23,3,3,2,3,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone]"
"7","83su1upb",2018-10-18 15:04:27,2,2,1,3,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Talking; texting; socializing]","[Classmates; students]"
"8","83su1upb",2018-10-18 18:00:49,3,3,1,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[No one; alone]"
"9","83su1upb",2018-10-19 12:00:48,2,3,2,1,3,"[Home (dorm; apartment);Friend’s house]","[Family;Friends]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Family;Friends]"
"10","83su1upb",2018-10-21 18:01:21,2,3,1,3,2,"[Work]","[Co-workers;Friends]","[Browsing the Internet; using social media;Working at job]","[Co-workers;Friends]"
"11","83su1upb",2018-10-22 09:02:02,3,3,0,3,0,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"12","83su1upb",2018-10-22 20:01:13,3,3,1,3,1,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"13","83su1upb",2018-10-23 12:25:41,2,2,1,3,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"14","83su1upb",2018-10-23 15:57:20,2,2,1,3,3,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media]","[Classmates; students;No one; alone]"
"15","83su1upb",2018-10-24 16:20:45,2,3,2,3,3,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Classmates; students;No one; alone]"
"16","83su1upb",2018-10-25 09:28:55,2,3,2,2,3,"[Campus;Home (dorm; apartment)]","[Friends;No one; alone;Roommates]","[Browsing the Internet; using social media]","[Talking in person]"
"17","83su1upb",2018-10-25 13:24:48,2,3,2,3,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[No one; alone]"
"18","83su1upb",2018-10-25 16:37:17,2,3,2,3,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"19","83su1upb",2018-10-26 14:55:33,3,3,2,3,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"20","83su1upb",2018-10-27 15:57:41,1,2,3,2,4,"[Home (dorm; apartment);Vehicle]","[Family;Friends]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing]","[Family;Friends]"
"21","83su1upb",2018-10-30 13:52:56,2,3,1,3,4,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings]","[Classmates; students;No one; alone]"
"22","83su1upb",2018-10-30 15:03:47,1,3,2,3,4,"[Campus]","[Classmates; students;Family]","[Attending classes; meetings;Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Classmates; students;Family]"
"23","83su1upb",2018-10-30 18:01:02,2,3,1,2,3,"[Friend’s house]","[Family]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Family]"
