"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","8l4kiyve",2018-10-10 15:05:14,0,2,2,1,1,"None of the above; other","Other","None of the above; Other","Other"
"2","8l4kiyve",2018-10-10 18:07:49,0,1,2,0,2,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Strangers]"
"3","8l4kiyve",2018-10-11 11:19:55,0,2,2,1,1,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"4","8l4kiyve",2018-10-11 12:01:08,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone;Other]","[Studying; reading; preparing for an exam]","[No one; alone;Other]"
"5","8l4kiyve",2018-10-11 15:08:40,1,2,1,1,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"6","8l4kiyve",2018-10-11 18:00:43,2,2,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"7","8l4kiyve",2018-10-12 09:31:58,1,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"8","8l4kiyve",2018-10-12 12:01:35,0,1,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"9","8l4kiyve",2018-10-12 15:00:40,0,1,3,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"10","8l4kiyve",2018-10-12 18:02:03,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"11","8l4kiyve",2018-10-14 12:23:47,0,2,2,1,3,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Text messaging on the phone]"
"12","8l4kiyve",2018-10-14 15:00:39,1,2,1,1,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Family]"
"13","8l4kiyve",2018-10-15 09:00:49,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
"14","8l4kiyve",2018-10-15 12:05:11,1,2,1,1,2,"[Home (dorm; apartment)]","[Classmates; students]","[Talking; texting; socializing]","[Classmates; students]"
"15","8l4kiyve",2018-10-15 15:01:00,1,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"16","8l4kiyve",2018-10-15 18:09:52,2,2,1,1,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Family]"
"17","8l4kiyve",2018-10-16 15:50:29,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"18","8l4kiyve",2018-10-16 18:00:44,1,3,1,1,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"19","8l4kiyve",2018-10-18 12:00:46,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"20","8l4kiyve",2018-10-18 15:00:38,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"21","8l4kiyve",2018-10-21 11:01:34,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"22","8l4kiyve",2018-10-21 13:17:20,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"23","8l4kiyve",2018-10-21 18:45:22,1,2,1,2,2,"[Home (dorm; apartment);None of the above; other]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"24","8l4kiyve",2018-10-22 18:00:34,3,2,0,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"25","8l4kiyve",2018-10-23 15:00:38,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"26","8l4kiyve",2018-10-24 12:58:48,1,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"27","8l4kiyve",2018-10-25 12:00:37,1,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"28","8l4kiyve",2018-10-25 16:06:07,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"29","8l4kiyve",2018-10-26 11:32:35,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"30","8l4kiyve",2018-10-26 13:05:33,0,1,2,0,2,"[Vehicle]","[Classmates; students;No one; alone]","[Attending classes; meetings]","[Classmates; students;No one; alone]"
"31","8l4kiyve",2018-10-27 14:03:33,1,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"32","8l4kiyve",2018-10-28 12:41:43,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"33","8l4kiyve",2018-10-28 19:44:28,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"34","8l4kiyve",2018-10-29 20:13:33,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
