"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","8nm7rprr",2018-10-10 09:07:50,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[None of the above; Other]","[Talking in person]"
"2","8nm7rprr",2018-10-10 12:04:00,0,0,3,0,2,"Home (dorm; apartment)","No one; alone","Doing household chores; running errands","No one; alone"
"3","8nm7rprr",2018-10-10 15:07:19,0,0,3,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"4","8nm7rprr",2018-10-10 18:50:51,0,1,1,1,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"5","8nm7rprr",2018-10-11 13:30:02,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[None of the above; Other]","[Talking in person]"
"6","8nm7rprr",2018-10-11 15:05:55,0,0,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"7","8nm7rprr",2018-10-11 18:01:40,0,0,1,0,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"8","8nm7rprr",2018-10-12 09:44:52,0,0,3,0,3,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"9","8nm7rprr",2018-10-12 12:55:44,0,0,3,0,4,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;No one; alone]"
"10","8nm7rprr",2018-10-12 16:07:55,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends;Roommates]","[None of the above; Other]","[Friends;Roommates]"
"11","8nm7rprr",2018-10-13 14:57:28,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends;Roommates]","[None of the above; Other]","[Friends;Roommates]"
"12","8nm7rprr",2018-10-13 20:18:58,0,0,3,0,2,"[None of the above; other]","[Friends]","[None of the above; Other]","[Friends]"
"13","8nm7rprr",2018-10-14 12:44:57,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends]","[None of the above; Other]","[Talking in person;Text messaging on the phone]"
"14","8nm7rprr",2018-10-15 09:42:59,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"15","8nm7rprr",2018-10-15 16:55:03,1,2,0,0,0,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"16","8nm7rprr",2018-10-15 18:42:24,1,1,0,1,0,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"17","8nm7rprr",2018-10-16 10:20:03,1,3,0,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","8nm7rprr",2018-10-16 13:22:04,1,3,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"19","8nm7rprr",2018-10-16 15:03:28,0,3,1,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"20","8nm7rprr",2018-10-16 18:33:21,0,0,3,0,4,"[Campus]","[Classmates; students;No one; alone]","[Studying; reading; preparing for an exam]","[Classmates; students;No one; alone]"
"21","8nm7rprr",2018-10-17 09:14:01,0,0,3,1,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person;Text messaging on the phone]"
"22","8nm7rprr",2018-10-17 12:20:00,0,0,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"23","8nm7rprr",2018-10-17 15:02:10,0,0,2,1,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"24","8nm7rprr",2018-10-17 18:03:54,0,0,3,1,2,"[Work]","[Co-workers;Friends]","[Eating; drinking;Talking; texting; socializing]","[Co-workers;Friends]"
"25","8nm7rprr",2018-10-18 10:19:29,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"26","8nm7rprr",2018-10-18 13:30:07,1,0,1,1,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"27","8nm7rprr",2018-10-18 15:02:45,0,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"28","8nm7rprr",2018-10-18 18:15:03,1,0,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"29","8nm7rprr",2018-10-19 09:01:26,0,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"30","8nm7rprr",2018-10-19 12:37:15,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"31","8nm7rprr",2018-10-19 15:03:13,0,1,1,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Doing household chores; running errands;Resting; napping; doing nothing]","[Friends;Roommates]"
"32","8nm7rprr",2018-10-19 18:07:22,1,1,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"33","8nm7rprr",2018-10-20 12:27:10,0,0,2,1,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"34","8nm7rprr",2018-10-20 17:18:58,0,0,3,0,3,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"35","8nm7rprr",2018-10-20 18:19:45,0,0,3,0,2,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"36","8nm7rprr",2018-10-21 11:58:13,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"37","8nm7rprr",2018-10-21 15:49:00,0,0,0,1,0,"[Campus]","[No one; alone]","[Commuting; traveling;Working at job]","[No one; alone]"
"38","8nm7rprr",2018-10-21 19:31:17,0,0,2,0,2,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"39","8nm7rprr",2018-10-22 09:01:36,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Doing household chores; running errands;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"40","8nm7rprr",2018-10-22 12:04:07,0,0,3,0,2,"[Campus]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"41","8nm7rprr",2018-10-22 16:32:09,0,0,2,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[No one; alone]"
"42","8nm7rprr",2018-10-22 18:24:47,0,0,2,0,2,"[Home (dorm; apartment);Vehicle]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
