"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","9ka8j9ou",2018-10-11 15:57:42,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone;Roommates]","[Attending classes; meetings]","[No one; alone;Roommates]"
"2","9ka8j9ou",2018-10-12 10:45:36,1,2,1,1,1,"[Campus;Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"3","9ka8j9ou",2018-10-12 12:26:02,0,2,2,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings]","[Classmates; students;Strangers]"
"4","9ka8j9ou",2018-10-13 11:26:18,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Roommates]"
"5","9ka8j9ou",2018-10-13 15:45:26,0,1,2,0,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"6","9ka8j9ou",2018-10-13 18:36:16,0,1,1,1,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[No one; alone]"
"7","9ka8j9ou",2018-10-14 12:45:55,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"8","9ka8j9ou",2018-10-14 16:25:42,0,1,2,0,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"9","9ka8j9ou",2018-10-14 23:53:57,0,2,2,0,2,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Strangers]"
"10","9ka8j9ou",2018-10-15 12:22:05,0,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"11","9ka8j9ou",2018-10-15 19:44:42,0,2,2,0,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"12","9ka8j9ou",2018-10-18 21:49:23,0,3,2,0,2,"[Campus]","[Friends]","[Watching TV; movies]","[Friends]"
"13","9ka8j9ou",2018-10-22 10:06:19,0,1,2,1,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Roommates]"
"14","9ka8j9ou",2018-10-22 12:41:09,0,0,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"15","9ka8j9ou",2018-10-23 15:59:17,0,0,2,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"16","9ka8j9ou",2018-10-23 19:52:59,0,1,2,0,2,"[Campus]","[Friends;Strangers]","[Talking; texting; socializing]","[Friends;Strangers]"
"17","9ka8j9ou",2018-10-26 03:07:54,0,1,2,0,2,"[Campus]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"18","9ka8j9ou",2018-10-26 10:22:10,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"19","9ka8j9ou",2018-10-27 10:28:02,0,2,2,1,2,"[Campus;Gym]","[Classmates; students;Strangers]","[Exercising; physical activity; sports]","[Classmates; students;Strangers]"
"20","9ka8j9ou",2018-10-27 12:03:04,0,2,2,1,1,"[Campus;Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"21","9ka8j9ou",2018-10-29 10:12:04,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"22","9ka8j9ou",2018-10-30 15:55:43,0,2,2,1,2,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings]","[Friends;Roommates]"
"23","9ka8j9ou",2018-10-31 00:57:11,0,2,2,1,3,"[Campus;Gym]","[Classmates; students;Strangers]","[Exercising; physical activity; sports]","[Classmates; students;Strangers]"
