"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","9qzn6tzu",2018-10-10 09:10:11,1,3,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"2","9qzn6tzu",2018-10-10 12:01:17,1,3,2,0,3,"Home (dorm; apartment)","No one; alone","Eating; drinking","No one; alone"
"3","9qzn6tzu",2018-10-10 16:15:26,2,3,2,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"4","9qzn6tzu",2018-10-10 20:12:32,2,3,1,0,2,"Home (dorm; apartment)","No one; alone","Watching TV; movies","No one; alone"
"5","9qzn6tzu",2018-10-11 10:59:29,1,3,0,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Text messaging on the phone;Interacting on Snapchat]"
"6","9qzn6tzu",2018-10-11 12:12:07,1,3,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","9qzn6tzu",2018-10-11 15:23:28,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"8","9qzn6tzu",2018-10-12 11:06:11,0,3,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"9","9qzn6tzu",2018-10-12 12:47:46,0,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"10","9qzn6tzu",2018-10-12 20:34:47,1,1,2,0,1,"[Cafe; Restaurant]","[Friends;Roommates]","[Eating; drinking]","[Friends;Roommates]"
"11","9qzn6tzu",2018-10-13 09:24:04,0,0,2,0,3,"[None of the above; other]","[Friends;Strangers]","[Eating; drinking;Working at job]","[Talking in person]"
"12","9qzn6tzu",2018-10-13 16:26:45,1,3,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Doing household chores; running errands]","[Friends;Roommates]"
"13","9qzn6tzu",2018-10-13 18:04:32,2,3,1,0,1,"[Campus]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"14","9qzn6tzu",2018-10-14 14:38:42,1,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"15","9qzn6tzu",2018-10-14 16:48:38,0,2,2,0,3,"[Library]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"16","9qzn6tzu",2018-10-14 18:42:56,1,2,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Watching TV; movies]","[Friends;Roommates]"
"17","9qzn6tzu",2018-10-15 09:02:06,1,3,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Interacting on Snapchat]"
"18","9qzn6tzu",2018-10-15 13:52:27,1,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"19","9qzn6tzu",2018-10-16 13:19:37,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[None of the above; Other]","[Roommates]"
"20","9qzn6tzu",2018-10-16 15:28:38,0,1,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"21","9qzn6tzu",2018-10-17 09:03:16,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Emailing]"
"22","9qzn6tzu",2018-10-17 12:49:46,0,2,2,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"23","9qzn6tzu",2018-10-17 15:02:27,0,1,2,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"24","9qzn6tzu",2018-10-17 20:06:50,0,1,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Roommates]"
"25","9qzn6tzu",2018-10-18 11:27:28,2,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"26","9qzn6tzu",2018-10-18 12:11:44,2,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"27","9qzn6tzu",2018-10-18 15:24:00,2,3,1,1,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Strangers]"
"28","9qzn6tzu",2018-10-18 19:09:05,2,2,1,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Friends;Roommates]"
"29","9qzn6tzu",2018-10-19 12:27:18,1,1,2,0,3,"[Campus]","[No one; alone]","[Commuting; traveling;Studying; reading; preparing for an exam]","[No one; alone]"
"30","9qzn6tzu",2018-10-22 09:10:20,1,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Chatting on Whatsapp or other chat app]"
"31","9qzn6tzu",2018-10-22 12:54:52,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"32","9qzn6tzu",2018-10-22 16:47:10,0,1,2,0,2,"[Campus]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"33","9qzn6tzu",2018-10-23 09:55:41,1,2,1,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"34","9qzn6tzu",2018-10-23 13:36:43,2,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"35","9qzn6tzu",2018-10-23 15:24:55,1,2,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media]","[Classmates; students]"
"36","9qzn6tzu",2018-10-24 11:35:02,1,1,3,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"37","9qzn6tzu",2018-10-24 15:01:07,0,0,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"38","9qzn6tzu",2018-10-24 18:26:17,0,2,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[None of the above; Other]","[Roommates]"
"39","9qzn6tzu",2018-10-25 11:06:05,1,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Snapchat]"
