"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ajasykky",2018-10-15 15:20:16,3,3,0,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"2","ajasykky",2018-10-16 09:03:46,0,3,0,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"3","ajasykky",2018-10-16 15:06:13,3,3,0,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"4","ajasykky",2018-10-16 18:01:01,2,3,1,2,1,"[Campus]","[Strangers]","[Browsing the Internet; using social media]","[Strangers]"
"5","ajasykky",2018-10-17 09:01:20,2,3,0,2,1,"[Campus]","[No one; alone;Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"6","ajasykky",2018-10-17 15:01:51,3,3,0,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"7","ajasykky",2018-10-17 18:04:45,1,3,0,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"8","ajasykky",2018-10-18 15:55:14,1,1,1,1,2,"[Home (dorm; apartment)]","[Friends;No one; alone;Roommates]","[Browsing the Internet; using social media;Doing household chores; running errands;Talking; texting; socializing]","[Talking in person;Talking on the phone;Interacting on Snapchat]"
"9","ajasykky",2018-10-18 16:49:18,1,1,0,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"10","ajasykky",2018-10-19 10:42:01,2,1,0,3,0,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"11","ajasykky",2018-10-19 13:19:48,1,1,0,2,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"12","ajasykky",2018-10-19 18:32:06,3,2,0,3,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"13","ajasykky",2018-10-20 11:30:46,3,3,0,3,0,"[Home (dorm; apartment)]","[Classmates; students]","[Resting; napping; doing nothing]","[Talking on the phone;Text messaging on the phone]"
"14","ajasykky",2018-10-20 15:00:43,3,3,0,2,0,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"15","ajasykky",2018-10-22 15:06:36,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"16","ajasykky",2018-10-23 22:30:04,3,2,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"17","ajasykky",2018-10-24 12:00:55,3,3,0,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","ajasykky",2018-10-29 10:02:03,1,1,1,1,2,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands;Studying; reading; preparing for an exam]","[Family]"
"19","ajasykky",2018-10-29 15:13:18,2,2,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"20","ajasykky",2018-10-30 00:07:58,1,3,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"21","ajasykky",2018-10-30 15:53:09,1,2,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
