"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","as8iqbkl",2018-10-13 15:03:26,0,0,2,0,3,"[None of the above; other]","[Friends]","[Commuting; traveling;Eating; drinking]","[Friends]"
"2","as8iqbkl",2018-10-13 18:03:14,0,0,2,0,3,"[Bar; Party;None of the above; other]","[Friends]","[Eating; drinking;Talking; texting; socializing;None of the above; Other]","[Friends]"
"3","as8iqbkl",2018-10-14 11:36:31,0,1,2,0,1,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person]"
"4","as8iqbkl",2018-10-14 12:04:05,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Significant other]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Friends;Significant other]"
"5","as8iqbkl",2018-10-14 15:19:36,0,0,3,0,4,"[None of the above; other]","[Significant other]","[Commuting; traveling;Talking; texting; socializing]","[Significant other]"
"6","as8iqbkl",2018-10-14 18:00:57,0,1,2,0,0,"[None of the above; other]","[Friends;Significant other]","[Eating; drinking;Talking; texting; socializing;None of the above; Other]","[Friends;Significant other]"
"7","as8iqbkl",2018-10-15 12:25:17,0,1,1,0,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"8","as8iqbkl",2018-10-15 15:01:14,0,1,2,0,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends;Roommates]","[Doing household chores; running errands]","[Friends;Roommates]"
"9","as8iqbkl",2018-10-15 18:03:30,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"10","as8iqbkl",2018-10-16 09:11:45,0,1,1,0,0,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"11","as8iqbkl",2018-10-16 13:47:17,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"12","as8iqbkl",2018-10-16 15:02:51,0,2,2,0,2,"[Library]","[Friends;No one; alone]","[Studying; reading; preparing for an exam]","[Friends;No one; alone]"
"13","as8iqbkl",2018-10-16 18:16:23,0,0,2,0,3,"[Cafe; Restaurant;Friend’s house]","[Friends;Significant other]","[Eating; drinking;Talking; texting; socializing]","[Friends;Significant other]"
"14","as8iqbkl",2018-10-17 12:27:16,0,1,2,0,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Classmates; students]"
"15","as8iqbkl",2018-10-17 15:30:32,1,1,1,0,1,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"16","as8iqbkl",2018-10-17 21:31:58,0,1,2,0,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"17","as8iqbkl",2018-10-18 10:29:11,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Commuting; traveling]","[Talking in person;Interacting on Snapchat]"
"18","as8iqbkl",2018-10-18 14:17:32,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"19","as8iqbkl",2018-10-18 15:49:22,0,1,2,0,2,"[Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends;Roommates]"
"20","as8iqbkl",2018-10-18 18:04:21,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Friends;Roommates]"
"21","as8iqbkl",2018-10-19 13:42:43,0,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"22","as8iqbkl",2018-10-19 15:05:27,0,1,2,0,3,"[Home (dorm; apartment);Vehicle]","[Friends;Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Friends;Roommates]"
"23","as8iqbkl",2018-10-19 18:41:58,0,1,2,0,2,"[Home (dorm; apartment)]","[Family;No one; alone]","[Resting; napping; doing nothing]","[Family;No one; alone]"
"24","as8iqbkl",2018-10-20 09:00:51,0,2,2,0,1,"[None of the above; other]","[Family;Friends;Strangers]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
"25","as8iqbkl",2018-10-20 12:00:55,0,1,2,0,2,"[Vehicle;None of the above; other]","[Family]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Family]"
"26","as8iqbkl",2018-10-20 15:00:39,0,1,3,0,3,"[Cafe; Restaurant;Vehicle;None of the above; other]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"27","as8iqbkl",2018-10-20 18:47:20,0,1,1,0,1,"[Campus;Vehicle]","[Friends]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Friends]"
"28","as8iqbkl",2018-10-21 09:11:12,1,2,1,0,1,"[Friend's house;Vehicle]","[Family;Friends]","[Commuting; traveling;None of the above; Other]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"29","as8iqbkl",2018-10-21 11:05:43,0,2,1,0,0,"[Friend's house]","[Family;Friends]","[Talking; texting; socializing;None of the above; Other]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"30","as8iqbkl",2018-10-21 14:00:54,0,1,1,0,2,"[None of the above; other]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"31","as8iqbkl",2018-10-21 17:00:56,0,2,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Doing household chores; running errands;Resting; napping; doing nothing;Talking; texting; socializing]","[Friends;Roommates]"
"32","as8iqbkl",2018-10-21 22:17:12,0,2,1,0,0,"[Campus;Home (dorm; apartment)]","[Friends;Strangers]","[Commuting; traveling;Eating; drinking;Studying; reading; preparing for an exam]","[Friends;Strangers]"
"33","as8iqbkl",2018-10-22 11:05:15,0,2,2,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"34","as8iqbkl",2018-10-22 19:14:10,0,2,1,0,2,"[Library]","[Friends;Strangers]","[Studying; reading; preparing for an exam]","[Friends;Strangers]"
"35","as8iqbkl",2018-10-23 10:54:33,0,2,2,0,3,"[Cafe; restaurant;Campus]","[Classmates; students;Friends;Strangers]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"36","as8iqbkl",2018-10-23 15:44:35,0,3,2,0,3,"[Library]","[Friends]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends]"
"37","as8iqbkl",2018-10-23 18:39:08,0,2,2,0,3,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Friends;Roommates]"
"38","as8iqbkl",2018-10-24 13:47:16,0,2,1,0,2,"[Cafe; restaurant;Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"39","as8iqbkl",2018-10-24 15:01:07,0,2,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"40","as8iqbkl",2018-10-24 18:12:29,0,2,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing;None of the above; Other]","[Friends;Roommates]"
"41","as8iqbkl",2018-10-25 10:49:31,0,2,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"42","as8iqbkl",2018-10-25 12:13:29,0,2,2,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"43","as8iqbkl",2018-10-25 15:46:19,0,2,1,0,2,"[Campus;Library]","[No one; alone]","[Commuting; traveling;Exercising; physical activity; sports;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"44","as8iqbkl",2018-10-25 18:01:48,0,2,3,0,3,"[Campus;Friend’s house]","[Friends;Strangers]","[Commuting; traveling;None of the above; Other]","[Friends;Strangers]"
"45","as8iqbkl",2018-10-26 12:13:31,0,2,3,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"46","as8iqbkl",2018-10-26 16:14:08,0,1,2,0,2,"[Campus]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"47","as8iqbkl",2018-10-26 18:00:34,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Talking; texting; socializing]","[Friends;Roommates]"
"48","as8iqbkl",2018-10-27 09:42:10,0,1,1,0,0,"[Vehicle;None of the above; other]","[No one; alone;Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"49","as8iqbkl",2018-10-27 13:48:39,0,1,2,0,0,"[None of the above; other]","[Family]","[Resting; napping; doing nothing]","[Family]"
"50","as8iqbkl",2018-10-28 01:33:46,0,0,3,0,3,"[None of the above; other]","[Family]","[None of the above; Other]","[Family]"
"51","as8iqbkl",2018-10-28 11:02:26,0,2,2,0,3,"[Vehicle;None of the above; other]","[Family]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"52","as8iqbkl",2018-10-28 15:11:03,0,2,2,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"53","as8iqbkl",2018-10-28 20:22:30,0,2,2,0,3,"[Campus]","[Friends;No one; alone]","[Commuting; traveling;Talking; texting; socializing;None of the above; Other]","[Friends;No one; alone]"
"54","as8iqbkl",2018-10-29 11:53:44,0,2,2,0,2,"[Campus;Library]","[Classmates; students;Family;Friends]","[Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"55","as8iqbkl",2018-10-29 14:23:52,0,1,3,0,4,"[Campus;Library]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Friends]"
"56","as8iqbkl",2018-10-29 15:14:21,0,1,2,0,3,"[Campus]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends]"
"57","as8iqbkl",2018-10-29 18:13:29,0,1,2,0,3,"[Campus;Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"58","as8iqbkl",2018-10-30 09:42:21,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Interacting on Snapchat]"
"59","as8iqbkl",2018-10-30 13:09:18,0,1,2,0,2,"[Campus;Vehicle]","[No one; alone;Strangers]","[Commuting; traveling;Eating; drinking]","[No one; alone;Strangers]"
"60","as8iqbkl",2018-10-30 15:13:43,1,2,2,0,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"61","as8iqbkl",2018-10-30 18:00:39,1,2,2,0,1,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Significant other]"
