"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","asy3rhi8",2018-10-10 12:02:27,1,2,2,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"2","asy3rhi8",2018-10-10 15:05:11,0,2,2,0,1,"Library","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"3","asy3rhi8",2018-10-10 19:42:33,1,2,2,0,1,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends]","[Commuting; traveling]","[Friends]"
"4","asy3rhi8",2018-10-11 12:14:46,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"5","asy3rhi8",2018-10-11 15:17:58,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"6","asy3rhi8",2018-10-11 18:01:00,0,1,2,0,2,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Exercising; physical activity; sports;Talking; texting; socializing]","[Friends]"
"7","asy3rhi8",2018-10-12 15:01:04,0,0,3,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"8","asy3rhi8",2018-10-12 18:38:35,0,0,3,0,2,"[Gym]","[Friends;Strangers]","[Exercising; physical activity; sports]","[Friends;Strangers]"
"9","asy3rhi8",2018-10-13 13:17:19,0,0,2,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"10","asy3rhi8",2018-10-13 15:01:06,1,0,2,1,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"11","asy3rhi8",2018-10-13 18:02:12,0,0,2,0,3,"[None of the above; other]","[Friends;Strangers]","[Commuting; traveling;Exercising; physical activity; sports;Talking; texting; socializing]","[Friends;Strangers]"
"12","asy3rhi8",2018-10-14 14:30:13,0,0,2,0,2,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;Roommates]","[None of the above; Other]","[Friends;Roommates]"
"13","asy3rhi8",2018-10-14 15:06:36,0,0,2,0,2,"[None of the above; other]","[Friends;Strangers]","[Eating; drinking]","[Friends;Strangers]"
"14","asy3rhi8",2018-10-15 11:55:58,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Interacting on Snapchat]"
"15","asy3rhi8",2018-10-15 13:16:49,0,1,2,0,1,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends]","[Eating; drinking]","[Friends]"
"16","asy3rhi8",2018-10-15 18:02:08,0,1,2,0,2,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Friends;Roommates]"
"17","asy3rhi8",2018-10-16 09:25:31,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone;Strangers]","[Commuting; traveling;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"18","asy3rhi8",2018-10-16 13:22:20,0,1,2,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"19","asy3rhi8",2018-10-16 15:02:34,0,0,2,0,1,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media]","[Friends]"
"20","asy3rhi8",2018-10-17 10:47:39,1,2,2,0,2,"[None of the above; other]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"21","asy3rhi8",2018-10-17 12:01:08,0,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media]","[Classmates; students]"
"22","asy3rhi8",2018-10-17 15:45:43,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
