"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","b2m133h8",2018-10-11 18:12:04,0,1,0,0,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;No one; alone;Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Classmates; students;Friends;No one; alone;Roommates]"
"2","b2m133h8",2018-10-12 10:13:01,0,0,0,0,4,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Emailing]"
"3","b2m133h8",2018-10-12 12:01:13,0,0,0,0,3,"[Vehicle]","[Friends]","[Commuting; traveling;Resting; napping; doing nothing]","[Friends]"
"4","b2m133h8",2018-10-12 15:01:38,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Family]"
"5","b2m133h8",2018-10-12 18:02:54,0,0,0,0,3,"[Home (dorm; apartment)]","[Significant other]","[Eating; drinking;Talking; texting; socializing]","[Significant other]"
"6","b2m133h8",2018-10-13 09:14:40,0,0,1,0,3,"[Home (dorm; apartment)]","[Family;Significant other]","[Doing household chores; running errands;Talking; texting; socializing]","[Talking in person]"
"7","b2m133h8",2018-10-13 12:18:28,0,0,0,0,3,"[None of the above; other]","[Friends;Significant other]","[Exercising; physical activity; sports;Talking; texting; socializing]","[Friends;Significant other]"
"8","b2m133h8",2018-10-13 15:16:58,0,0,0,0,3,"[Store / Mall]","[Friends]","[Eating; drinking;Exercising; physical activity; sports]","[Friends]"
"9","b2m133h8",2018-10-13 18:08:41,0,0,0,0,1,"[Cafe; Restaurant;None of the above; other]","[Friends;Significant other]","[Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[Friends;Significant other]"
"10","b2m133h8",2018-10-14 09:47:42,0,0,0,0,2,"[Home (dorm; apartment)]","[Family;Significant other]","[Eating; drinking;Talking; texting; socializing]","[Talking in person;Emailing]"
"11","b2m133h8",2018-10-14 15:12:43,0,1,0,0,2,"[Cafe; Restaurant]","[Friends;Significant other]","[Eating; drinking;Exercising; physical activity; sports;Talking; texting; socializing]","[Friends;Significant other]"
"12","b2m133h8",2018-10-14 18:04:59,0,0,0,0,2,"[Bar; Party;Store / Mall]","[Friends;Significant other]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Friends;Significant other]"
"13","b2m133h8",2018-10-15 10:02:02,0,1,0,0,4,"[Campus;Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Exercising; physical activity; sports;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"14","b2m133h8",2018-10-15 12:51:52,1,2,0,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings;Eating; drinking]","[No one; alone]"
"15","b2m133h8",2018-10-15 15:52:02,1,2,0,0,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Commuting; traveling;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[Roommates]"
"16","b2m133h8",2018-10-16 10:56:56,0,1,0,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Eating; drinking;Exercising; physical activity; sports;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"17","b2m133h8",2018-10-16 13:42:18,0,0,0,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Roommates]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Classmates; students;Roommates]"
"18","b2m133h8",2018-10-17 11:35:01,0,1,0,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[Text messaging on the phone]"
