"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","b6461xty",2018-10-10 12:05:40,1,2,2,0,0,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"2","b6461xty",2018-10-10 17:20:00,1,1,1,0,1,"Work","Co-workers","Studying; reading; preparing for an exam","Co-workers"
"3","b6461xty",2018-10-10 18:08:39,1,1,2,0,1,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"4","b6461xty",2018-10-11 12:10:54,1,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"5","b6461xty",2018-10-12 09:06:27,1,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","b6461xty",2018-10-12 12:54:04,0,1,2,0,3,"[Campus]","[Friends]","[None of the above; Other]","[Friends]"
"7","b6461xty",2018-10-12 15:05:17,0,1,2,0,2,"[Home (dorm; apartment)]","[Family;Roommates]","[Watching TV; movies]","[Family;Roommates]"
"8","b6461xty",2018-10-13 15:01:30,0,1,2,1,3,"[Store / Mall]","[Family]","[Browsing the Internet; using social media]","[Family]"
"9","b6461xty",2018-10-13 18:00:51,0,2,2,1,3,"[Home (dorm; apartment)]","[Family;Friends]","[Browsing the Internet; using social media;Watching TV; movies]","[Family;Friends]"
"10","b6461xty",2018-10-16 09:03:26,2,2,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"11","b6461xty",2018-10-16 12:14:26,0,2,2,1,2,"[Home (dorm; apartment)]","[Family;Roommates]","[None of the above; Other]","[Family;Roommates]"
"12","b6461xty",2018-10-16 15:50:08,1,1,2,0,3,"[Campus]","[Significant other]","[Attending classes; meetings;Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[Significant other]"
"13","b6461xty",2018-10-16 18:14:48,1,1,2,1,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"14","b6461xty",2018-10-17 09:31:22,1,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"15","b6461xty",2018-10-17 12:00:49,0,2,2,1,1,"[Campus]","[Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[Friends]"
"16","b6461xty",2018-10-17 16:45:30,0,2,2,1,3,"[Work]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[No one; alone]"
"17","b6461xty",2018-10-17 18:56:25,0,1,2,0,2,"[Work]","[Co-workers]","[Studying; reading; preparing for an exam;Working at job]","[Co-workers]"
"18","b6461xty",2018-10-18 15:04:17,1,1,2,0,3,"[Campus]","[Significant other]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Significant other]"
"19","b6461xty",2018-10-18 18:07:42,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"20","b6461xty",2018-10-19 12:00:54,2,3,1,1,0,"[Campus]","[Family;Friends;Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Family;Friends;Roommates]"
"21","b6461xty",2018-10-20 09:32:15,0,1,2,0,0,"[Home (dorm; apartment)]","[Family;Friends]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"22","b6461xty",2018-10-20 12:22:07,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"23","b6461xty",2018-10-20 15:02:16,1,2,1,0,0,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Family]"
"24","b6461xty",2018-10-21 09:20:13,1,1,2,1,0,"[Home (dorm; apartment)]","[Family;Roommates]","[Resting; napping; doing nothing]","[Other form of social interaction (please describe in the text box below)]"
"25","b6461xty",2018-10-21 12:06:34,0,2,0,0,3,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Significant other]"
"26","b6461xty",2018-10-22 12:05:17,0,2,1,0,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"27","b6461xty",2018-10-22 18:05:02,0,1,2,0,3,"[Vehicle]","[Family]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Family]"
"28","b6461xty",2018-10-23 09:02:23,0,3,1,1,0,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"29","b6461xty",2018-10-23 12:00:45,1,2,2,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"30","b6461xty",2018-10-23 15:17:19,0,3,2,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"31","b6461xty",2018-10-24 09:02:15,2,1,1,0,1,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Text messaging on the phone]"
"32","b6461xty",2018-10-24 12:21:10,0,1,2,0,3,"[Campus]","[Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends]"
"33","b6461xty",2018-10-24 15:01:15,0,1,2,1,3,"[Friend’s house]","[Friends]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Friends]"
"34","b6461xty",2018-10-25 12:01:09,0,2,2,1,2,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"35","b6461xty",2018-10-25 15:22:43,0,2,2,1,2,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Significant other]"
"36","b6461xty",2018-10-25 18:01:09,1,2,2,0,2,"[Campus;Vehicle]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"37","b6461xty",2018-10-27 12:16:16,0,1,2,1,1,"[Friend’s house]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Friends]"
