"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","bo6i2udg",2018-10-10 09:04:14,1,2,0,1,1,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Interacting on Instagram]"
"2","bo6i2udg",2018-10-10 12:42:39,1,1,1,1,0,"Cafe; Restaurant","Strangers","Studying; reading; preparing for an exam","Strangers"
"3","bo6i2udg",2018-10-10 15:21:37,1,1,2,1,2,"Home (dorm; apartment)","No one; alone","Resting; napping; doing nothing","No one; alone"
"4","bo6i2udg",2018-10-10 18:20:39,1,1,2,1,3,"Vehicle","No one; alone","Commuting; traveling","No one; alone"
"5","bo6i2udg",2018-10-11 11:31:51,1,1,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"6","bo6i2udg",2018-10-11 15:11:08,1,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"7","bo6i2udg",2018-10-11 18:02:37,1,1,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"8","bo6i2udg",2018-10-12 10:06:33,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"9","bo6i2udg",2018-10-12 13:48:33,0,1,2,0,1,"[Vehicle]","[Significant other]","[Commuting; traveling]","[Significant other]"
"10","bo6i2udg",2018-10-12 15:11:03,1,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"11","bo6i2udg",2018-10-12 18:27:11,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"12","bo6i2udg",2018-10-13 12:47:58,0,0,2,0,3,"[Cafe; Restaurant]","[Significant other]","[Eating; drinking]","[Significant other]"
"13","bo6i2udg",2018-10-13 18:36:57,0,1,1,1,1,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"14","bo6i2udg",2018-10-15 09:10:06,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Interacting on Instagram;Interacting on Snapchat]"
"15","bo6i2udg",2018-10-15 15:04:47,0,0,0,0,3,"[None of the above; other]","[Friends]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Friends]"
"16","bo6i2udg",2018-10-15 18:32:03,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Significant other]"
"17","bo6i2udg",2018-10-16 12:07:44,1,1,2,0,3,"[Home (dorm; apartment)]","[Strangers]","[Eating; drinking]","[Strangers]"
"18","bo6i2udg",2018-10-16 15:48:56,0,1,2,0,3,"[Cafe; Restaurant]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"19","bo6i2udg",2018-10-16 19:14:59,0,1,2,0,3,"[Cafe; Restaurant;Vehicle]","[No one; alone;Strangers;Other]","[Commuting; traveling]","[No one; alone;Strangers;Other]"
"20","bo6i2udg",2018-10-17 09:02:02,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Text messaging on the phone]"
"21","bo6i2udg",2018-10-17 12:27:11,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"22","bo6i2udg",2018-10-17 15:25:10,0,1,2,0,2,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"23","bo6i2udg",2018-10-17 19:19:58,0,1,2,0,3,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"24","bo6i2udg",2018-10-18 11:06:30,0,1,1,0,1,"[Campus;None of the above; other]","[Classmates; students;Strangers]","[Attending classes; meetings;Commuting; traveling]","[Interacting on Instagram]"
"25","bo6i2udg",2018-10-18 18:10:56,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"26","bo6i2udg",2018-10-19 12:01:26,1,2,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Roommates]"
"27","bo6i2udg",2018-10-19 20:30:59,3,3,0,2,3,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"28","bo6i2udg",2018-10-20 09:07:59,1,2,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"29","bo6i2udg",2018-10-20 12:32:44,1,1,1,1,2,"[Home (dorm; apartment)]","[Strangers]","[Resting; napping; doing nothing]","[Strangers]"
"30","bo6i2udg",2018-10-20 17:47:28,1,1,2,1,2,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"31","bo6i2udg",2018-10-21 09:46:03,2,1,0,0,0,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"32","bo6i2udg",2018-10-21 16:55:04,0,1,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[None of the above; Other]","[Roommates]"
"33","bo6i2udg",2018-10-21 18:01:22,1,1,1,1,3,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Strangers]"
"34","bo6i2udg",2018-10-22 13:39:28,1,1,2,0,3,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"35","bo6i2udg",2018-10-22 15:01:42,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone;Other]","[Browsing the Internet; using social media]","[No one; alone;Other]"
"36","bo6i2udg",2018-10-22 18:00:41,0,2,1,1,3,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"37","bo6i2udg",2018-10-23 11:31:34,1,1,3,1,3,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Text messaging on the phone]"
"38","bo6i2udg",2018-10-23 12:03:43,1,1,2,1,3,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"39","bo6i2udg",2018-10-23 15:57:09,1,1,2,1,3,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"40","bo6i2udg",2018-10-24 11:07:55,1,1,2,1,2,"[Campus]","[Roommates]","[Commuting; traveling]","[Text messaging on the phone]"
"41","bo6i2udg",2018-10-24 15:06:06,1,1,1,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"42","bo6i2udg",2018-10-24 20:34:50,1,1,1,1,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"43","bo6i2udg",2018-10-25 12:55:32,1,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"44","bo6i2udg",2018-10-25 15:22:56,1,1,2,1,2,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"45","bo6i2udg",2018-10-26 09:03:39,2,1,1,0,2,"[Campus]","[Strangers]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"46","bo6i2udg",2018-10-26 12:47:09,1,1,2,1,3,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"47","bo6i2udg",2018-10-26 15:02:44,1,1,2,1,3,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"48","bo6i2udg",2018-10-27 17:50:40,0,0,2,0,4,"[None of the above; other]","[Strangers]","[None of the above; Other]","[Strangers]"
"49","bo6i2udg",2018-10-28 14:28:55,0,1,2,0,0,"[Home (dorm; apartment)]","[Family]","[Commuting; traveling]","[Family]"
"50","bo6i2udg",2018-10-28 18:16:01,0,1,2,1,1,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Family]"
"51","bo6i2udg",2018-10-29 12:40:13,1,1,2,1,3,"[None of the above; other]","[Family]","[Resting; napping; doing nothing]","[Family]"
"52","bo6i2udg",2018-10-29 15:06:12,0,1,2,1,2,"[Vehicle]","[Other]","[Commuting; traveling]","[Other]"
"53","bo6i2udg",2018-10-29 18:59:54,1,1,2,1,2,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Roommates]"
"54","bo6i2udg",2018-10-30 09:02:45,1,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"55","bo6i2udg",2018-10-30 13:47:28,0,1,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Commuting; traveling]","[Roommates]"
"56","bo6i2udg",2018-10-30 15:16:56,0,1,2,0,3,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"57","bo6i2udg",2018-10-30 18:53:53,1,1,2,1,2,"[Cafe; Restaurant]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
