"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","bu2f5wys",2018-10-14 14:29:15,1,1,1,1,2,"[Campus]","[No one; alone; Roommates]","[Commuting; traveling]","[No one; alone; Roommates]"
"2","bu2f5wys",2018-10-14 16:46:54,1,1,1,1,2,"[Library]","[Classmates; students; Friends]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Classmates; students; Friends]"
"3","bu2f5wys",2018-10-14 18:11:27,2,2,1,2,1,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"4","bu2f5wys",2018-10-15 09:54:07,1,1,1,1,2,"[None of the above; other]","[None of the above; Other]","[None of the above; Other]","[Skip question]"
"5","bu2f5wys",2018-10-15 13:56:47,1,1,1,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"6","bu2f5wys",2018-10-15 19:25:47,2,3,0,2,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[No one; alone]"
"7","bu2f5wys",2018-10-16 12:29:06,1,1,1,1,2,"[None of the above; other]","[None of the above; Other]","[None of the above; Other]","[Skip question]"
"8","bu2f5wys",2018-10-17 00:15:35,1,1,1,1,2,"[Home (dorm; apartment); None of the above; other]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"9","bu2f5wys",2018-10-17 14:46:17,2,2,2,2,2,"[None of the above; other]","[None of the above; Other]","[None of the above; Other]","[Skip question]"
"10","bu2f5wys",2018-10-17 23:56:53,2,3,2,3,2,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"11","bu2f5wys",2018-10-18 15:28:59,2,3,0,2,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Interacting on Snapchat]"
"12","bu2f5wys",2018-10-19 20:55:22,3,3,0,3,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"13","bu2f5wys",2018-10-21 02:56:45,1,3,2,3,2,"[Fraternity; Sorority House]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"14","bu2f5wys",2018-10-21 21:59:22,1,1,2,1,2,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Skip question]"
"15","bu2f5wys",2018-10-22 22:04:48,2,2,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam; None of the above; Other]","[No one; alone]"
"16","bu2f5wys",2018-10-24 01:08:02,2,2,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"17","bu2f5wys",2018-10-25 00:22:24,2,2,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"18","bu2f5wys",2018-10-25 09:36:36,3,3,1,3,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Skip question]"
"19","bu2f5wys",2018-10-25 23:32:34,3,3,1,3,1,"[Home (dorm; apartment)]","[Other]","[None of the above; Other]","[Other]"
"20","bu2f5wys",2018-10-26 13:33:49,3,3,1,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"21","bu2f5wys",2018-10-26 23:40:02,3,3,1,3,4,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"22","bu2f5wys",2018-10-28 00:20:34,3,3,1,3,2,"[Home (dorm; apartment)]","[Other]","[None of the above; Other]","[Other]"
"23","bu2f5wys",2018-10-28 23:29:42,3,3,1,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"24","bu2f5wys",2018-10-30 00:29:38,3,3,0,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"25","bu2f5wys",2018-10-31 00:56:23,3,3,1,3,1,"[Home (dorm; apartment)]","[Other]","[None of the above; Other]","[Other]"
"26","bu2f5wys",2018-10-31 09:12:25,3,3,1,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking; Exercising; physical activity; sports; Studying; reading; preparing for an exam]","[Skip question]"
"27","bu2f5wys",2018-10-31 23:52:22,3,3,0,3,2,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Roommates]"
