"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","byv5ba3z",2018-10-11 01:37:02,0,0,3,0,3,"[Bar; Party]","[Friends]","[Eating; drinking]","[Friends]"
"2","byv5ba3z",2018-10-11 14:14:23,0,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"3","byv5ba3z",2018-10-11 18:34:51,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Watching TV; movies]","[Friends]"
"4","byv5ba3z",2018-10-12 12:00:49,0,0,2,0,2,"[Fraternity; Sorority House]","[Friends]","[Eating; drinking]","[Friends]"
"5","byv5ba3z",2018-10-15 20:18:56,0,0,2,0,2,"[Fraternity; Sorority House]","[Friends]","[Attending classes; meetings]","[Friends]"
"6","byv5ba3z",2018-10-16 22:23:24,0,0,2,0,0,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Talking in person;Interacting on Snapchat]"
"7","byv5ba3z",2018-10-18 13:45:40,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[No one; alone]"
"8","byv5ba3z",2018-10-21 18:00:51,0,0,2,0,1,"[Fraternity; Sorority House]","[Friends]","[Attending classes; meetings]","[Friends]"
"9","byv5ba3z",2018-10-22 16:30:30,0,0,2,0,3,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"10","byv5ba3z",2018-10-23 15:08:07,1,1,0,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"11","byv5ba3z",2018-10-24 11:51:01,1,3,1,0,3,"[Cafe; restaurant]","[Friends]","[Browsing the Internet; using social media]","[Talking in person]"
"12","byv5ba3z",2018-10-25 10:31:07,0,1,3,0,3,"[Friend's house]","[Friends]","[Resting; napping; doing nothing]","[Talking in person;Interacting on Snapchat]"
"13","byv5ba3z",2018-10-25 15:01:21,0,0,2,0,3,"[Campus]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"14","byv5ba3z",2018-10-28 12:20:27,2,0,2,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing]","[Friends;Roommates]"
"15","byv5ba3z",2018-10-30 15:02:15,1,1,1,0,2,"[Gym]","[Friends;Strangers]","[Exercising; physical activity; sports]","[Friends;Strangers]"
"16","byv5ba3z",2018-10-31 12:02:18,1,1,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
