"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","bzl6mzfs",2018-10-10 09:01:25,1,3,3,1,2,"[Campus]","[Strangers]","[Browsing the Internet; using social media; Eating; drinking; Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"2","bzl6mzfs",2018-10-10 12:14:05,1,3,2,1,2,"2","7","4","7"
"3","bzl6mzfs",2018-10-10 15:01:41,1,1,3,0,3,"2","7","2","7"
"4","bzl6mzfs",2018-10-10 18:53:59,1,2,3,1,3,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"5","bzl6mzfs",2018-10-11 12:06:39,1,2,2,0,2,"[Campus]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"6","bzl6mzfs",2018-10-11 15:19:33,1,3,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"7","bzl6mzfs",2018-10-12 09:53:36,1,3,1,1,1,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Talking in person]"
"8","bzl6mzfs",2018-10-12 12:13:22,1,3,1,1,2,"[Campus]","[Classmates; students; Strangers]","[Eating; drinking; Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[Classmates; students; Strangers]"
"9","bzl6mzfs",2018-10-12 16:09:32,1,3,2,1,2,"[Cafe; Restaurant; Campus]","[Strangers]","[Commuting; traveling; Studying; reading; preparing for an exam]","[Strangers]"
"10","bzl6mzfs",2018-10-13 08:41:04,1,3,2,1,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"11","bzl6mzfs",2018-10-13 20:24:15,1,3,2,1,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Doing household chores; running errands; Eating; drinking; Studying; reading; preparing for an exam; Talking; texting; socializing]","[Talking in person; Emailing]"
"12","bzl6mzfs",2018-10-15 09:47:51,1,3,3,1,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Talking in person; Text messaging on the phone]"
"13","bzl6mzfs",2018-10-15 12:31:05,1,3,3,1,2,"[Campus]","[Friends]","[Attending classes; meetings; Commuting; traveling]","[Friends]"
"14","bzl6mzfs",2018-10-15 17:05:19,1,1,3,1,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media; Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[Classmates; students]"
"15","bzl6mzfs",2018-10-16 09:46:34,1,3,3,1,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings; Commuting; traveling; Talking; texting; socializing]","[Talking in person; Text messaging on the phone]"
"16","bzl6mzfs",2018-10-16 12:18:57,1,3,2,1,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media; Eating; drinking; Studying; reading; preparing for an exam]","[Classmates; students]"
"17","bzl6mzfs",2018-10-16 15:05:20,1,3,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Classmates; students]"
"18","bzl6mzfs",2018-10-16 22:22:31,1,3,3,1,2,"[Campus]","[Classmates; students; Friends]","[Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[Classmates; students; Friends]"
"19","bzl6mzfs",2018-10-17 10:31:36,1,3,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings; Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"20","bzl6mzfs",2018-10-17 13:27:16,1,3,3,1,0,"NO_ANSWER_SELECTED","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"21","bzl6mzfs",2018-10-18 10:43:25,2,3,2,1,0,"[Campus]","[Classmates; students]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"22","bzl6mzfs",2018-10-18 15:18:14,3,3,0,3,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"23","bzl6mzfs",2018-10-18 18:00:33,3,3,0,3,0,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Strangers]"
"24","bzl6mzfs",2018-10-19 11:33:20,3,3,1,2,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"25","bzl6mzfs",2018-10-19 13:49:04,2,3,1,2,2,"[Campus]","[Classmates; students; Strangers]","[Browsing the Internet; using social media; Resting; napping; doing nothing; Talking; texting; socializing]","[Classmates; students; Strangers]"
"26","bzl6mzfs",2018-10-19 16:37:57,3,3,1,2,0,"[Campus]","[Classmates; students; Strangers]","[Resting; napping; doing nothing]","[Classmates; students; Strangers]"
"27","bzl6mzfs",2018-10-20 10:48:18,0,3,2,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Family]"
"28","bzl6mzfs",2018-10-21 10:47:57,0,1,3,0,3,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Doing household chores; running errands; Eating; drinking; Resting; napping; doing nothing; Studying; reading; preparing for an exam; Talking; texting; socializing; Watching TV; movies]","[Family]"
"29","bzl6mzfs",2018-10-21 21:43:02,1,3,3,0,4,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Doing household chores; running errands; Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[Family]"
"30","bzl6mzfs",2018-10-22 15:07:59,1,3,2,1,1,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"31","bzl6mzfs",2018-10-23 09:59:28,0,3,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"32","bzl6mzfs",2018-10-23 13:43:28,0,2,2,1,2,"[Campus]","[Classmates; students; Strangers]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Classmates; students; Strangers]"
"33","bzl6mzfs",2018-10-23 15:16:54,2,3,1,1,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"34","bzl6mzfs",2018-10-23 21:52:36,0,2,3,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Eating; drinking; Studying; reading; preparing for an exam; Watching TV; movies]","[Family]"
"35","bzl6mzfs",2018-10-24 09:55:11,0,1,3,0,0,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Talking in person]"
"36","bzl6mzfs",2018-10-24 15:38:42,1,2,2,1,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Classmates; students; Friends]"
"37","bzl6mzfs",2018-10-24 21:31:42,0,1,3,0,2,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"38","bzl6mzfs",2018-10-25 10:36:10,1,2,2,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking on the phone]"
"39","bzl6mzfs",2018-10-25 12:38:08,0,3,2,1,2,"[Campus]","[Classmates; students; Strangers]","[Studying; reading; preparing for an exam]","[Classmates; students; Strangers]"
"40","bzl6mzfs",2018-10-25 18:07:43,1,2,2,1,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing; Talking; texting; socializing]","[Family]"
"41","bzl6mzfs",2018-10-26 10:39:53,0,1,3,0,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"42","bzl6mzfs",2018-10-26 12:42:17,0,1,3,0,2,"[Campus]","[Classmates; students; Strangers]","[Browsing the Internet; using social media; Resting; napping; doing nothing]","[Classmates; students; Strangers]"
"43","bzl6mzfs",2018-10-26 15:03:36,0,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"44","bzl6mzfs",2018-10-27 18:49:21,0,1,3,0,4,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Eating; drinking; Talking; texting; socializing]","[Talking in person]"
"45","bzl6mzfs",2018-10-29 10:09:23,0,1,3,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"46","bzl6mzfs",2018-10-29 15:15:17,1,3,2,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"47","bzl6mzfs",2018-10-29 22:41:25,2,3,2,2,1,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Doing household chores; running errands; Eating; drinking; Resting; napping; doing nothing; Studying; reading; preparing for an exam; Talking; texting; socializing]","[Family]"
"48","bzl6mzfs",2018-10-30 09:51:58,2,3,1,2,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"49","bzl6mzfs",2018-10-30 12:25:24,1,3,2,1,2,"[Campus]","[Classmates; students; Strangers]","[Commuting; traveling; Studying; reading; preparing for an exam]","[Classmates; students; Strangers]"
"50","bzl6mzfs",2018-10-30 16:43:59,1,3,2,1,0,"[Campus]","[Classmates; students; Strangers]","[Attending classes; meetings]","[Classmates; students; Strangers]"
"51","bzl6mzfs",2018-10-30 18:03:56,2,3,2,1,1,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Strangers]"
