"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","c26m8841",2018-10-10 10:20:56,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","c26m8841",2018-10-10 12:00:49,1,1,1,1,2,"2","0","0","0"
"3","c26m8841",2018-10-10 15:05:02,1,1,1,1,1,"5","4","1","4"
"4","c26m8841",2018-10-10 18:04:46,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"5","c26m8841",2018-10-11 11:18:31,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","c26m8841",2018-10-11 12:13:30,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"7","c26m8841",2018-10-11 15:04:17,2,1,1,2,1,"[Campus]","[Classmates; students]","[None of the above; Other]","[Classmates; students]"
"8","c26m8841",2018-10-11 18:19:16,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"9","c26m8841",2018-10-12 10:25:24,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","c26m8841",2018-10-12 12:09:15,1,1,1,1,2,"[Home (dorm; apartment)]","[Strangers]","[Commuting; traveling]","[Strangers]"
"11","c26m8841",2018-10-12 15:01:45,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"12","c26m8841",2018-10-12 18:14:37,1,2,1,1,1,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Family]"
"13","c26m8841",2018-10-13 12:24:44,2,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"14","c26m8841",2018-10-13 15:00:24,1,1,1,1,2,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Family]"
"15","c26m8841",2018-10-13 19:04:23,1,1,2,1,3,"[None of the above; other]","[Family; Strangers]","[None of the above; Other]","[Family; Strangers]"
"16","c26m8841",2018-10-14 12:19:10,1,1,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"17","c26m8841",2018-10-14 15:42:46,1,1,1,1,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Family]"
"18","c26m8841",2018-10-14 18:09:30,1,1,2,1,3,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Family]"
"19","c26m8841",2018-10-15 09:31:43,1,2,1,1,0,"[Home (dorm; apartment); Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"20","c26m8841",2018-10-15 12:46:09,1,2,1,1,3,"[Campus; Home (dorm; apartment)]","[Strangers]","[Attending classes; meetings; Browsing the Internet; using social media]","[Strangers]"
"21","c26m8841",2018-10-15 15:03:07,1,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"22","c26m8841",2018-10-15 18:11:03,1,1,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"23","c26m8841",2018-10-16 11:10:12,1,1,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"24","c26m8841",2018-10-16 12:21:54,1,2,1,1,3,"[Campus; Home (dorm; apartment)]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"25","c26m8841",2018-10-16 15:56:54,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings; Eating; drinking]","[No one; alone]"
