"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ckjki8wz",2018-10-10 10:55:27,0,2,2,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"2","ckjki8wz",2018-10-10 12:02:34,0,3,2,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","ckjki8wz",2018-10-10 18:04:09,0,1,2,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"4","ckjki8wz",2018-10-11 11:30:55,0,0,1,0,2,"[Campus;Home (dorm; apartment)]","[Friends]","[Doing household chores; running errands]","[Talking in person;Text messaging on the phone]"
"5","ckjki8wz",2018-10-11 12:01:11,0,1,2,0,2,"Home (dorm; apartment)","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"6","ckjki8wz",2018-10-11 15:00:59,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"7","ckjki8wz",2018-10-11 18:38:40,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"8","ckjki8wz",2018-10-12 09:02:03,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"9","ckjki8wz",2018-10-12 12:01:37,0,1,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"10","ckjki8wz",2018-10-12 15:00:45,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"11","ckjki8wz",2018-10-13 09:13:12,0,1,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"12","ckjki8wz",2018-10-13 15:10:02,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"13","ckjki8wz",2018-10-13 18:07:17,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"14","ckjki8wz",2018-10-15 09:01:56,0,1,2,0,2,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"15","ckjki8wz",2018-10-15 12:22:17,0,0,1,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Strangers]"
"16","ckjki8wz",2018-10-15 15:01:06,0,0,2,0,2,"[Campus]","[Classmates; students]","[Eating; drinking;Studying; reading; preparing for an exam]","[Classmates; students]"
"17","ckjki8wz",2018-10-17 09:01:32,0,1,2,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"18","ckjki8wz",2018-10-17 12:01:49,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"19","ckjki8wz",2018-10-18 09:04:10,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"20","ckjki8wz",2018-10-18 12:19:13,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"21","ckjki8wz",2018-10-20 09:57:14,0,1,1,0,2,"[Friend's house]","[Friends]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"22","ckjki8wz",2018-10-20 12:01:56,0,1,1,0,2,"[Friend’s house]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Friends]"
"23","ckjki8wz",2018-10-20 15:01:59,0,1,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"24","ckjki8wz",2018-10-20 18:03:08,0,1,1,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"25","ckjki8wz",2018-10-21 11:54:10,0,2,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"26","ckjki8wz",2018-10-23 12:02:13,0,2,1,0,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"27","ckjki8wz",2018-10-26 12:00:59,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"28","ckjki8wz",2018-10-27 11:03:26,0,2,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"29","ckjki8wz",2018-10-28 09:17:41,0,2,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Text messaging on the phone]"
"30","ckjki8wz",2018-10-28 15:02:16,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"31","ckjki8wz",2018-10-28 18:06:09,0,2,1,0,2,"[Religious facility]","[Strangers]","[None of the above; Other]","[Strangers]"
"32","ckjki8wz",2018-10-30 12:00:49,2,2,1,0,2,"[Campus]","[Classmates; students;Strangers]","[Studying; reading; preparing for an exam]","[Classmates; students;Strangers]"
"33","ckjki8wz",2018-10-30 18:01:50,1,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"34","ckjki8wz",2018-10-31 19:42:19,1,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"35","ckjki8wz",2018-11-01 12:35:41,0,1,1,0,2,"[Campus]","[No one; alone;Strangers]","[Commuting; traveling]","[No one; alone;Strangers]"
"36","ckjki8wz",2018-11-01 18:48:25,0,1,1,0,2,"[Campus]","[Roommates]","[None of the above; Other]","[Roommates]"
