"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","cvpiq47q",2018-10-10 09:03:09,0,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","cvpiq47q",2018-10-10 12:01:19,0,2,2,0,2,"Campus","Classmates; students","Commuting; traveling","Classmates; students"
"3","cvpiq47q",2018-10-10 18:50:00,0,2,1,1,1,"Home (dorm; apartment)","No one; alone","Watching TV; movies","No one; alone"
"4","cvpiq47q",2018-10-11 09:08:36,0,2,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Commuting; traveling]","[Talking in person]"
"5","cvpiq47q",2018-10-11 12:01:00,0,3,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"6","cvpiq47q",2018-10-11 17:54:20,0,3,1,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"7","cvpiq47q",2018-10-11 21:12:35,0,2,2,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Family]"
"8","cvpiq47q",2018-10-12 09:03:41,0,2,2,0,2,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Talking in person]"
"9","cvpiq47q",2018-10-12 12:01:11,1,2,1,0,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media]","[Classmates; students]"
"10","cvpiq47q",2018-10-12 17:13:59,2,3,0,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"11","cvpiq47q",2018-10-12 19:52:55,0,2,2,1,3,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Roommates]"
"12","cvpiq47q",2018-10-13 14:26:13,0,2,2,0,3,"[Bar; Party]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"13","cvpiq47q",2018-10-13 23:44:40,1,3,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"14","cvpiq47q",2018-10-14 09:18:38,0,2,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"15","cvpiq47q",2018-10-14 12:56:32,0,2,2,1,3,"[Religious facility]","[Strangers]","[None of the above; Other]","[Strangers]"
"16","cvpiq47q",2018-10-14 17:40:20,0,2,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"17","cvpiq47q",2018-10-14 21:00:58,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"18","cvpiq47q",2018-10-15 11:41:15,0,2,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"19","cvpiq47q",2018-10-15 14:42:24,0,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"20","cvpiq47q",2018-10-15 17:50:11,0,2,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"21","cvpiq47q",2018-10-15 20:01:26,0,3,2,0,1,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Classmates; students]"
"22","cvpiq47q",2018-10-16 13:45:05,0,3,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Talking in person]"
"23","cvpiq47q",2018-10-16 22:57:45,0,1,2,0,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"24","cvpiq47q",2018-10-17 11:48:44,0,1,3,0,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[Chatting on Whatsapp or other chat app]"
"25","cvpiq47q",2018-10-17 16:24:16,3,3,0,1,0,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"26","cvpiq47q",2018-10-17 20:41:37,3,3,0,1,0,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Roommates]"
"27","cvpiq47q",2018-10-18 12:27:20,2,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"28","cvpiq47q",2018-10-18 17:35:25,0,2,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Watching TV; movies]","[Roommates]"
"29","cvpiq47q",2018-10-18 18:02:06,0,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Browsing the Internet; using social media;Eating; drinking;Watching TV; movies]","[No one; alone;Roommates]"
"30","cvpiq47q",2018-10-19 11:42:13,0,1,1,0,3,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Chatting on Whatsapp or other chat app]"
"31","cvpiq47q",2018-10-19 15:44:58,0,1,1,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands;Watching TV; movies]","[No one; alone]"
"32","cvpiq47q",2018-10-19 23:04:29,0,1,2,0,3,"[Store / Mall]","[Roommates]","[Eating; drinking]","[Roommates]"
"33","cvpiq47q",2018-10-20 10:37:48,0,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Eating; drinking;Resting; napping; doing nothing;Watching TV; movies]","[Talking in person]"
"34","cvpiq47q",2018-10-20 12:08:39,0,2,1,0,3,"[Store / Mall]","[Roommates]","[None of the above; Other]","[Roommates]"
"35","cvpiq47q",2018-10-20 15:11:53,0,2,1,0,3,"[Cafe; Restaurant;Home (dorm; apartment);Vehicle]","[Family;Roommates]","[Commuting; traveling;Eating; drinking]","[Family;Roommates]"
"36","cvpiq47q",2018-10-20 23:31:16,1,2,1,2,2,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands]","[Roommates]"
"37","cvpiq47q",2018-10-21 13:20:00,0,2,1,0,3,"[Home (dorm; apartment)]","[Friends]","[Doing household chores; running errands;Talking; texting; socializing]","[Talking in person;Chatting on Whatsapp or other chat app]"
