"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","czij6l35",2018-10-15 12:23:07,0,2,2,0,2,"[Friend’s house]","[Significant other]","[Watching TV; movies]","[Significant other]"
"2","czij6l35",2018-10-16 14:46:27,0,2,2,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Eating; drinking;Exercising; physical activity; sports]","[Classmates; students;Friends]"
"3","czij6l35",2018-10-16 18:05:58,1,1,2,1,2,"[Home (dorm; apartment)]","[Friends;No one; alone]","[Watching TV; movies]","[Friends;No one; alone]"
"4","czij6l35",2018-10-17 15:01:14,0,0,2,0,3,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"5","czij6l35",2018-10-17 18:00:35,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant other]","[Studying; reading; preparing for an exam]","[Significant other]"
"6","czij6l35",2018-10-18 12:06:22,0,1,2,0,2,"[Home (dorm; apartment)]","[Classmates; students;Roommates;Significant other]","[Doing household chores; running errands]","[Classmates; students;Roommates;Significant other]"
"7","czij6l35",2018-10-18 15:32:14,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"8","czij6l35",2018-10-18 18:11:59,0,3,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates;Significant other]","[Studying; reading; preparing for an exam]","[Friends;Roommates;Significant other]"
"9","czij6l35",2018-10-19 12:59:35,0,2,2,0,1,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Friends]"
"10","czij6l35",2018-10-19 18:14:16,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone;Significant other]","[Exercising; physical activity; sports]","[No one; alone;Significant other]"
"11","czij6l35",2018-10-21 18:00:37,1,1,2,0,2,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing;Watching TV; movies]","[Family]"
"12","czij6l35",2018-10-22 12:02:49,1,0,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"13","czij6l35",2018-10-22 15:04:35,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"14","czij6l35",2018-10-23 13:57:00,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
