"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ddlhgghh",2018-10-10 09:02:07,0,1,2,0,2,"[Campus; Home (dorm; apartment)]","[Classmates; students; Roommates]","[Attending classes; meetings; Browsing the Internet; using social media; Commuting; traveling; Eating; drinking; Talking; texting; socializing]","[Talking in person; Text messaging on the phone; Interacting on Snapchat]"
"2","ddlhgghh",2018-10-10 12:00:59,0,0,2,0,3,"2","0","2","0"
"3","ddlhgghh",2018-10-10 15:49:03,0,0,3,0,4,"2","3","8","3"
"4","ddlhgghh",2018-10-10 18:02:40,0,1,3,0,2,"5","2","7","2"
"5","ddlhgghh",2018-10-11 09:01:26,0,1,1,0,2,"[Campus; Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Doing household chores; running errands; Eating; drinking]","[Not applicable; was not interacting with anyone]"
"6","ddlhgghh",2018-10-11 12:01:12,0,1,3,0,2,"[Cafe; Restaurant; Campus; Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling; Eating; drinking; Watching TV; movies]","[No one; alone]"
"7","ddlhgghh",2018-10-11 15:01:49,0,2,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Classmates; students]"
"8","ddlhgghh",2018-10-11 18:01:05,0,1,3,0,3,"[Cafe; Restaurant; Campus; Home (dorm; apartment)]","[Classmates; students; Friends; No one; alone]","[Browsing the Internet; using social media; Commuting; traveling; Eating; drinking; Talking; texting; socializing; Watching TV; movies]","[Classmates; students; Friends; No one; alone]"
"9","ddlhgghh",2018-10-12 09:01:14,0,0,2,1,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings; Browsing the Internet; using social media; None of the above; Other]","[Talking in person; Interacting on Snapchat]"
"10","ddlhgghh",2018-10-12 12:09:47,0,1,3,1,3,"[Campus; Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Doing household chores; running errands; Studying; reading; preparing for an exam]","[No one; alone]"
"11","ddlhgghh",2018-10-12 15:01:03,0,1,3,1,3,"[Vehicle]","[No one; alone]","[Commuting; traveling; Eating; drinking; Watching TV; movies]","[No one; alone]"
"12","ddlhgghh",2018-10-12 18:01:51,0,0,3,0,3,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"13","ddlhgghh",2018-10-13 09:10:28,0,2,2,0,3,"[None of the above; other]","[Family]","[Doing household chores; running errands; Talking; texting; socializing]","[Talking in person]"
"14","ddlhgghh",2018-10-13 12:03:41,0,0,3,0,4,"[None of the above; other]","[Family]","[Talking; texting; socializing]","[Family]"
"15","ddlhgghh",2018-10-13 15:02:47,0,0,3,0,4,"[None of the above; other]","[Family]","[Talking; texting; socializing]","[Family]"
"16","ddlhgghh",2018-10-13 18:01:33,0,0,3,0,4,"[Cafe; Restaurant]","[Family]","[Eating; drinking; Talking; texting; socializing]","[Family]"
"17","ddlhgghh",2018-10-14 09:08:25,0,1,3,0,3,"[None of the above; other]","[Family]","[Talking; texting; socializing; Watching TV; movies]","[Talking in person]"
