"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","djkp7eo1",2018-10-10 09:09:22,1,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","djkp7eo1",2018-10-10 12:03:54,1,2,1,0,2,"Store / Mall","No one; alone","Doing household chores; running errands","No one; alone"
"3","djkp7eo1",2018-10-10 15:01:03,1,2,2,0,2,"Campus","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"4","djkp7eo1",2018-10-10 18:03:05,0,2,1,0,1,"[Campus]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"5","djkp7eo1",2018-10-11 12:01:23,0,2,1,0,2,"[Campus]","[Classmates; students;Other]","[Attending classes; meetings;None of the above; Other]","[Classmates; students;Other]"
"6","djkp7eo1",2018-10-11 15:00:49,0,1,1,0,2,"[Campus]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"7","djkp7eo1",2018-10-12 09:43:20,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"8","djkp7eo1",2018-10-12 13:26:48,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"9","djkp7eo1",2018-10-12 15:04:29,0,1,1,0,2,"[Cafe; Restaurant]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"10","djkp7eo1",2018-10-12 18:01:47,0,1,1,0,2,"[Cafe; Restaurant]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"11","djkp7eo1",2018-10-13 09:18:23,0,0,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"12","djkp7eo1",2018-10-13 12:26:47,0,1,2,0,2,"[Religious facility;None of the above; other]","[Classmates; students;Strangers]","[Working at job;None of the above; Other]","[Classmates; students;Strangers]"
"13","djkp7eo1",2018-10-13 15:01:20,0,0,1,0,1,"[Store / Mall]","[Friends]","[Doing household chores; running errands;None of the above; Other]","[Friends]"
"14","djkp7eo1",2018-10-13 20:31:54,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"15","djkp7eo1",2018-10-14 09:04:41,0,0,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"16","djkp7eo1",2018-10-14 12:10:37,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"17","djkp7eo1",2018-10-14 15:02:25,0,0,1,0,2,"[Cafe; Restaurant]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"18","djkp7eo1",2018-10-14 18:05:06,0,0,1,0,2,"[Cafe; Restaurant]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"19","djkp7eo1",2018-10-15 16:59:10,0,3,0,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"20","djkp7eo1",2018-10-15 19:05:54,0,3,0,0,2,"[Campus]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"21","djkp7eo1",2018-10-16 13:35:15,0,1,1,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
