"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","e5ffqx5h",2018-10-11 09:01:47,2,3,1,2,0,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Interacting on Twitter]"
"2","e5ffqx5h",2018-10-11 12:08:48,0,2,2,1,2,"[Gym]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"3","e5ffqx5h",2018-10-12 10:12:57,1,1,2,0,3,"[Friend's house]","[Friends]","[Talking; texting; socializing]","[Talking in person;Chatting on Whatsapp or other chat app;Interacting on Twitter]"
"4","e5ffqx5h",2018-10-12 12:02:31,1,0,3,1,3,"[Bar; Party]","[Friends]","[Eating; drinking]","[Friends]"
"5","e5ffqx5h",2018-10-12 15:02:37,1,0,2,1,3,"[Bar; Party]","[Friends]","[None of the above; Other]","[Friends]"
"6","e5ffqx5h",2018-10-16 15:51:11,2,3,1,2,1,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam;Watching TV; movies]","[Classmates; students;Friends]"
"7","e5ffqx5h",2018-10-17 12:00:55,2,3,1,2,1,"[Campus]","[Friends]","[Attending classes; meetings;Browsing the Internet; using social media]","[Friends]"
"8","e5ffqx5h",2018-10-19 19:07:26,1,3,2,2,3,"[Campus;Work]","[Classmates; students;Co-workers]","[Working at job]","[Classmates; students;Co-workers]"
"9","e5ffqx5h",2018-10-21 18:01:22,3,3,1,2,1,"[Campus;Work]","[Classmates; students;Co-workers]","[Working at job]","[Classmates; students;Co-workers]"
"10","e5ffqx5h",2018-10-22 10:11:51,2,3,2,2,1,"[Home (dorm; apartment);Vehicle]","[Classmates; students;Friends]","[Commuting; traveling]","[Text messaging on the phone;Chatting on Whatsapp or other chat app;Interacting on Instagram;Interacting on Twitter]"
"11","e5ffqx5h",2018-10-22 12:01:13,3,3,1,2,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"12","e5ffqx5h",2018-10-22 16:36:50,3,3,1,2,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Classmates; students;Friends]"
"13","e5ffqx5h",2018-10-23 09:01:32,2,3,1,3,3,"[Campus;Vehicle]","[Friends;No one; alone]","[Browsing the Internet; using social media;Commuting; traveling]","[Chatting on Whatsapp or other chat app;Interacting on Instagram;Interacting on Twitter]"
"14","e5ffqx5h",2018-10-23 13:17:10,1,3,2,3,3,"[Campus;Gym]","[Classmates; students;Friends]","[Commuting; traveling;Exercising; physical activity; sports]","[Classmates; students;Friends]"
"15","e5ffqx5h",2018-10-23 15:15:37,1,3,2,3,1,"[Cafe; Restaurant;Campus]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends]"
"16","e5ffqx5h",2018-10-23 19:36:47,0,3,3,3,3,"[Campus;Vehicle]","[Classmates; students;Family;Friends]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Classmates; students;Family;Friends]"
"17","e5ffqx5h",2018-10-24 10:22:54,1,3,2,3,2,"[Home (dorm; apartment);Vehicle]","[Friends]","[Browsing the Internet; using social media;Commuting; traveling]","[Interacting on Instagram;Interacting on Twitter]"
"18","e5ffqx5h",2018-10-25 09:01:55,1,3,2,3,1,"[Campus;Vehicle]","[Friends]","[Browsing the Internet; using social media;Commuting; traveling;Studying; reading; preparing for an exam]","[Text messaging on the phone;Chatting on Whatsapp or other chat app;Interacting on Instagram;Interacting on Twitter]"
