"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ee3k5425",2018-10-10 11:05:58,1,3,0,1,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"2","ee3k5425",2018-10-10 12:04:04,1,3,0,1,0,"Campus","Classmates; students","Commuting; traveling","Classmates; students"
"3","ee3k5425",2018-10-10 15:22:27,1,3,0,1,1,"Library","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"4","ee3k5425",2018-10-10 18:24:15,1,2,2,1,2,"Cafe; Restaurant","Friends","Talking; texting; socializing","Friends"
"5","ee3k5425",2018-10-11 09:25:05,0,1,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
"6","ee3k5425",2018-10-11 12:13:47,0,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","ee3k5425",2018-10-11 15:07:50,0,2,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"8","ee3k5425",2018-10-14 19:59:37,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"9","ee3k5425",2018-10-15 12:10:05,0,2,1,0,4,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"10","ee3k5425",2018-10-15 17:20:39,0,3,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"11","ee3k5425",2018-10-15 23:10:16,0,3,1,0,3,"[Home (dorm; apartment)]","[Strangers]","[Doing household chores; running errands]","[Strangers]"
"12","ee3k5425",2018-10-16 13:48:27,0,3,1,0,2,"[Gym]","[Strangers]","[None of the above; Other]","[Strangers]"
"13","ee3k5425",2018-10-16 16:54:45,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"14","ee3k5425",2018-10-20 16:16:56,0,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"15","ee3k5425",2018-10-22 18:03:44,0,1,3,0,4,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Classmates; students;Friends]"
"16","ee3k5425",2018-10-23 13:17:06,0,1,1,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"17","ee3k5425",2018-10-23 18:27:24,0,1,2,0,3,"[Library]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"18","ee3k5425",2018-10-24 14:51:58,0,2,2,0,3,"[Library]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[No one; alone]"
"19","ee3k5425",2018-10-25 11:34:25,0,1,3,0,3,"[Campus]","[Classmates; students;No one; alone]","[Commuting; traveling]","[Talking in person;Chatting on Whatsapp or other chat app]"
"20","ee3k5425",2018-10-26 16:32:11,0,1,3,0,4,"[Library]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"21","ee3k5425",2018-10-28 19:16:35,0,2,1,0,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends]"
"22","ee3k5425",2018-10-29 00:30:59,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Not applicable; was not interacting with anyone]"
"23","ee3k5425",2018-10-29 11:03:01,1,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"24","ee3k5425",2018-10-30 09:31:43,0,3,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person;Chatting on Whatsapp or other chat app]"
"25","ee3k5425",2018-10-30 17:11:51,0,2,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"26","ee3k5425",2018-10-30 20:41:53,0,3,1,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Friends;Roommates]"
"27","ee3k5425",2018-10-31 17:40:37,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[No one; alone]"
