"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","eg5rfq53",2018-10-10 21:02:41,0,1,2,0,1,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"2","eg5rfq53",2018-10-11 13:00:15,0,2,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"3","eg5rfq53",2018-10-12 10:56:05,0,0,1,0,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"4","eg5rfq53",2018-10-14 00:38:45,0,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"5","eg5rfq53",2018-10-14 09:57:47,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"6","eg5rfq53",2018-10-15 22:47:01,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"7","eg5rfq53",2018-10-17 13:36:47,0,0,1,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"8","eg5rfq53",2018-10-17 21:01:11,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"9","eg5rfq53",2018-10-19 01:10:02,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"10","eg5rfq53",2018-10-19 19:23:30,0,0,3,0,3,"[Friend’s house]","[Friends]","[Watching TV; movies]","[Friends]"
"11","eg5rfq53",2018-10-21 14:13:24,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"12","eg5rfq53",2018-10-21 18:49:15,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"13","eg5rfq53",2018-10-21 20:46:54,0,0,1,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"14","eg5rfq53",2018-10-22 14:44:58,0,0,1,0,2,"[Campus]","[No one; alone]","[Exercising; physical activity; sports]","[Talking on the phone]"
"15","eg5rfq53",2018-10-22 16:24:59,0,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"16","eg5rfq53",2018-10-23 11:46:58,0,0,1,0,2,"[Library]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"17","eg5rfq53",2018-10-23 14:07:56,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Skip question]"
"18","eg5rfq53",2018-10-23 14:56:51,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"19","eg5rfq53",2018-10-23 22:40:37,0,0,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"20","eg5rfq53",2018-10-24 20:40:57,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"21","eg5rfq53",2018-10-25 00:08:12,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"22","eg5rfq53",2018-10-25 15:45:03,0,2,1,0,2,"[None of the above; other]","[Strangers]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"23","eg5rfq53",2018-10-26 21:16:15,0,0,3,0,3,"[None of the above; other]","[Family]","[Watching TV; movies]","[Family]"
"24","eg5rfq53",2018-10-26 21:59:50,0,0,2,0,2,"[Cafe; restaurant]","[Family]","[Talking; texting; socializing]","[Talking in person]"
"25","eg5rfq53",2018-10-27 16:57:16,0,0,2,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"26","eg5rfq53",2018-10-27 20:16:04,0,0,2,0,1,"[None of the above; other]","[Family]","[Talking; texting; socializing]","[Family]"
"27","eg5rfq53",2018-10-28 16:34:51,0,0,2,0,2,"[None of the above; other]","[Family]","[Eating; drinking]","[Family]"
"28","eg5rfq53",2018-10-28 19:38:31,0,1,2,0,2,"[None of the above; other]","[Family]","[Doing household chores; running errands]","[Talking in person]"
"29","eg5rfq53",2018-10-29 00:03:23,0,1,2,0,1,"[None of the above; other]","[Family]","[Doing household chores; running errands]","[Family]"
"30","eg5rfq53",2018-10-29 17:33:43,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students]"
"31","eg5rfq53",2018-10-29 22:59:25,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"32","eg5rfq53",2018-10-30 13:48:37,0,0,2,0,2,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Talking in person]"
"33","eg5rfq53",2018-10-30 15:52:50,0,0,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings]","[Roommates]"
"34","eg5rfq53",2018-10-30 19:08:09,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
