"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","gf5ygknv",2018-10-10 18:11:24,1,2,0,1,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"2","gf5ygknv",2018-10-11 09:01:22,0,0,0,0,2,"[Cafe; restaurant]","[No one; alone]","[Eating; drinking]","[Interacting on Instagram]"
"3","gf5ygknv",2018-10-11 12:00:58,0,0,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Watching TV; movies]","[Roommates]"
"4","gf5ygknv",2018-10-11 15:05:19,1,1,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"5","gf5ygknv",2018-10-11 18:02:01,0,0,0,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"6","gf5ygknv",2018-10-12 12:13:05,0,0,0,0,1,"[Friend’s house]","[Friends]","[Resting; napping; doing nothing]","[Friends]"
"7","gf5ygknv",2018-10-12 15:01:28,0,0,0,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"8","gf5ygknv",2018-10-12 18:00:31,0,0,0,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"9","gf5ygknv",2018-10-13 09:19:52,0,0,0,0,1,"[Friend's house]","[Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"10","gf5ygknv",2018-10-13 12:03:32,0,0,0,0,1,"[Fraternity; Sorority House]","[Friends]","[Eating; drinking]","[Friends]"
"11","gf5ygknv",2018-10-13 15:16:36,0,0,0,0,3,"[Campus]","[Classmates; students;Family;Friends]","[Eating; drinking;Talking; texting; socializing;None of the above; Other]","[Classmates; students;Family;Friends]"
"12","gf5ygknv",2018-10-13 18:00:46,0,0,0,0,1,"[Campus]","[Family;Friends]","[Eating; drinking;None of the above; Other]","[Family;Friends]"
"13","gf5ygknv",2018-10-14 12:00:50,0,0,0,0,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"14","gf5ygknv",2018-10-14 15:08:04,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"15","gf5ygknv",2018-10-14 18:16:28,0,0,0,0,3,"[None of the above; other]","[Friends]","[Exercising; physical activity; sports;None of the above; Other]","[Friends]"
"16","gf5ygknv",2018-10-15 11:46:39,1,1,1,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Attending classes; meetings;Browsing the Internet; using social media]","[Interacting on Instagram;Interacting on Snapchat]"
"17","gf5ygknv",2018-10-15 12:06:03,0,0,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media]","[No one; alone]"
"18","gf5ygknv",2018-10-15 15:00:51,1,2,0,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"19","gf5ygknv",2018-10-15 18:20:18,0,0,0,0,2,"[Fraternity; Sorority House]","[Friends]","[Talking; texting; socializing]","[Friends]"
"20","gf5ygknv",2018-10-16 11:17:37,0,0,0,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking]","[Talking in person]"
"21","gf5ygknv",2018-10-16 15:45:49,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"22","gf5ygknv",2018-10-17 13:06:18,0,0,0,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"23","gf5ygknv",2018-10-17 18:02:06,0,1,0,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"24","gf5ygknv",2018-10-18 09:58:59,0,0,0,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"25","gf5ygknv",2018-10-18 12:01:56,0,0,0,0,2,"[Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Browsing the Internet; using social media]","[Classmates; students;Friends;Roommates]"
"26","gf5ygknv",2018-10-18 15:05:07,0,1,0,0,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"27","gf5ygknv",2018-10-18 18:03:26,0,0,0,0,2,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"28","gf5ygknv",2018-10-19 12:58:36,0,1,0,0,1,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"29","gf5ygknv",2018-10-19 13:57:16,0,0,0,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"30","gf5ygknv",2018-10-19 16:24:28,0,0,0,0,1,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"31","gf5ygknv",2018-10-19 18:00:46,0,0,0,0,1,"[Fraternity; Sorority House]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings]","[Classmates; students;Friends;Roommates]"
"32","gf5ygknv",2018-10-20 10:42:44,0,0,1,0,2,"[Vehicle]","[None of the above; Other]","[Browsing the Internet; using social media;Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"33","gf5ygknv",2018-10-20 12:31:17,0,0,1,0,3,"[None of the above; other]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[No one; alone]"
"34","gf5ygknv",2018-10-20 15:54:29,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"35","gf5ygknv",2018-10-20 18:01:24,1,1,2,1,2,"[None of the above; other]","[Family]","[Talking; texting; socializing]","[Family]"
