"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","gfx2srif",2018-10-10 09:31:10,0,2,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","gfx2srif",2018-10-10 12:00:42,1,3,0,1,0,"Home (dorm; apartment)","No one; alone","Resting; napping; doing nothing","No one; alone"
"3","gfx2srif",2018-10-10 15:14:50,1,2,0,0,1,"Home (dorm; apartment)","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"4","gfx2srif",2018-10-10 18:00:52,2,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"5","gfx2srif",2018-10-11 10:08:41,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Chatting on Whatsapp or other chat app]"
"6","gfx2srif",2018-10-11 12:00:39,0,3,1,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"7","gfx2srif",2018-10-11 15:01:18,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"8","gfx2srif",2018-10-11 18:55:53,1,3,0,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"9","gfx2srif",2018-10-12 09:11:18,0,2,0,0,0,"[Campus;Home (dorm; apartment)]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Interacting on Snapchat]"
"10","gfx2srif",2018-10-12 18:19:48,1,1,0,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"11","gfx2srif",2018-10-13 09:13:03,0,0,1,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"12","gfx2srif",2018-10-13 12:06:52,0,1,1,1,2,"[Store / Mall]","[Strangers]","[None of the above; Other]","[Strangers]"
"13","gfx2srif",2018-10-13 16:40:28,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"14","gfx2srif",2018-10-13 21:44:10,1,1,0,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"15","gfx2srif",2018-10-14 12:41:14,1,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"16","gfx2srif",2018-10-14 15:32:32,3,3,0,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
