"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ghpe7o8u",2018-10-11 09:19:51,1,2,1,0,0,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"2","ghpe7o8u",2018-10-11 12:04:36,1,2,1,0,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends]"
"3","ghpe7o8u",2018-10-12 16:35:35,1,0,1,0,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"4","ghpe7o8u",2018-10-13 10:17:21,0,1,2,0,2,"[Campus;Library]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat]"
"5","ghpe7o8u",2018-10-14 18:00:40,0,1,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"6","ghpe7o8u",2018-10-15 10:26:31,0,1,0,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"7","ghpe7o8u",2018-10-15 13:56:35,1,1,1,0,0,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"8","ghpe7o8u",2018-10-15 16:05:54,0,1,2,0,0,"[Cafe; Restaurant;Campus]","[Friends]","[Eating; drinking]","[Friends]"
"9","ghpe7o8u",2018-10-15 21:24:21,0,3,0,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"10","ghpe7o8u",2018-10-16 11:45:23,0,0,1,0,0,"[Campus]","[No one; alone]","[Commuting; traveling]","[Interacting on Snapchat]"
"11","ghpe7o8u",2018-10-16 15:51:03,1,3,0,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"12","ghpe7o8u",2018-10-16 18:04:44,0,1,3,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"13","ghpe7o8u",2018-10-17 10:52:20,0,1,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Interacting on Snapchat]"
"14","ghpe7o8u",2018-10-17 13:17:09,0,1,1,0,1,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"15","ghpe7o8u",2018-10-17 20:28:50,0,1,3,0,2,"[Campus;Library]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"16","ghpe7o8u",2018-10-18 09:23:18,0,0,1,0,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"17","ghpe7o8u",2018-10-18 15:34:43,0,1,1,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"18","ghpe7o8u",2018-10-18 18:09:50,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"19","ghpe7o8u",2018-10-19 15:03:55,3,3,0,0,0,"[None of the above; other]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"20","ghpe7o8u",2018-10-19 18:00:49,2,2,1,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam]","[Friends;Roommates]"
"21","ghpe7o8u",2018-10-20 11:36:40,2,0,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Interacting on Snapchat]"
"22","ghpe7o8u",2018-10-20 13:19:17,2,1,2,0,2,"[None of the above; other]","[Friends;Roommates]","[None of the above; Other]","[Friends;Roommates]"
"23","ghpe7o8u",2018-10-20 15:09:11,1,1,1,0,2,"[None of the above; other]","[Friends]","[None of the above; Other]","[Friends]"
"24","ghpe7o8u",2018-10-20 18:01:04,1,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Friends;Roommates]"
"25","ghpe7o8u",2018-10-21 11:07:04,0,1,2,0,0,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Text messaging on the phone;Chatting on Whatsapp or other chat app;Interacting on Snapchat]"
"26","ghpe7o8u",2018-10-21 12:41:26,0,1,2,0,2,"[Religious facility]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"27","ghpe7o8u",2018-10-21 15:01:52,0,1,2,0,2,"[Cafe; Restaurant;Campus]","[Friends]","[Eating; drinking]","[Friends]"
"28","ghpe7o8u",2018-10-21 23:44:54,1,1,1,0,1,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"29","ghpe7o8u",2018-10-22 12:01:23,0,0,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Interacting on Snapchat]"
"30","ghpe7o8u",2018-10-22 15:15:02,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Classmates; students;Friends]"
"31","ghpe7o8u",2018-10-22 18:20:39,0,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Roommates]"
"32","ghpe7o8u",2018-10-23 10:05:52,0,2,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings;Resting; napping; doing nothing]","[Interacting on Snapchat]"
"33","ghpe7o8u",2018-10-23 15:26:35,0,1,1,0,1,"[Campus]","[Classmates; students]","[Talking; texting; socializing]","[Classmates; students]"
"34","ghpe7o8u",2018-10-23 18:00:54,0,2,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"35","ghpe7o8u",2018-10-24 10:00:59,0,1,1,0,1,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Talking in person;Interacting on Snapchat]"
"36","ghpe7o8u",2018-10-24 18:02:38,0,1,2,0,2,"[Vehicle]","[Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Roommates]"
"37","ghpe7o8u",2018-10-25 10:36:34,0,1,1,0,1,"[Campus]","[Friends]","[Commuting; traveling]","[Talking in person;Interacting on Snapchat]"
"38","ghpe7o8u",2018-10-25 15:42:29,0,2,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"39","ghpe7o8u",2018-10-25 21:02:24,0,1,1,0,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"40","ghpe7o8u",2018-10-26 18:09:57,0,2,1,0,3,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Interacting on Snapchat]"
"41","ghpe7o8u",2018-10-27 12:06:38,0,0,2,0,1,"[None of the above; other]","[Family]","[Resting; napping; doing nothing]","[Talking in person;Interacting on Snapchat]"
