"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","gq5g6mey",2018-10-11 09:17:30,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Interacting on Snapchat]"
"2","gq5g6mey",2018-10-11 12:50:04,1,2,1,1,1,"[Campus]","[Other]","[Attending classes; meetings;Talking; texting; socializing]","[Other]"
"3","gq5g6mey",2018-10-11 15:28:04,0,2,1,1,3,"[Campus]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"4","gq5g6mey",2018-10-11 18:04:34,0,1,2,0,3,"[Work]","[Other]","[Commuting; traveling]","[Other]"
"5","gq5g6mey",2018-10-12 17:30:36,0,0,3,0,4,"[Vehicle]","[Friends]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Friends]"
"6","gq5g6mey",2018-10-13 09:37:06,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"7","gq5g6mey",2018-10-13 13:13:43,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"8","gq5g6mey",2018-10-13 15:06:35,0,1,2,1,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing;Watching TV; movies]","[Roommates]"
"9","gq5g6mey",2018-10-13 18:06:31,0,0,3,0,4,"[None of the above; other]","[Friends]","[Talking; texting; socializing]","[Friends]"
"10","gq5g6mey",2018-10-14 09:18:20,0,1,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"11","gq5g6mey",2018-10-14 12:01:40,0,2,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"12","gq5g6mey",2018-10-14 18:01:58,1,2,1,1,2,"[Work]","[Other]","[Commuting; traveling]","[Other]"
"13","gq5g6mey",2018-10-15 09:01:46,0,3,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"14","gq5g6mey",2018-10-15 15:15:42,0,3,0,1,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"15","gq5g6mey",2018-10-15 18:01:11,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
