"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","h5hscztb",2018-10-10 14:28:53,0,2,2,1,1,"Home (dorm; apartment)","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"2","h5hscztb",2018-10-11 09:04:55,1,2,2,1,1,"[Campus;Home (dorm; apartment)]","[No one; alone;Significant other]","[Commuting; traveling;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"3","h5hscztb",2018-10-11 12:01:01,1,2,3,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates;Significant other]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone;Roommates;Significant other]"
"4","h5hscztb",2018-10-11 15:09:15,1,2,3,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"5","h5hscztb",2018-10-12 10:46:28,1,2,3,1,1,"[Campus;Home (dorm; apartment)]","[Roommates;Significant other]","[Commuting; traveling;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"6","h5hscztb",2018-10-12 15:00:54,1,2,3,1,1,"[Home (dorm; apartment)]","[Significant other]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Significant other]"
"7","h5hscztb",2018-10-13 11:40:06,1,3,3,1,1,"[Cafe; restaurant;Campus;Home (dorm; apartment)]","[Classmates; students;Significant other]","[Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Twitter]"
"8","h5hscztb",2018-10-13 19:47:23,1,2,3,1,1,"[Home (dorm; apartment)]","[Friends;Significant other]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Significant other]"
"9","h5hscztb",2018-10-15 11:58:38,1,3,3,1,1,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"10","h5hscztb",2018-10-15 15:23:25,1,2,3,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"11","h5hscztb",2018-10-16 09:04:23,0,3,3,1,1,"[Campus]","[None of the above; Other]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"12","h5hscztb",2018-10-16 12:01:12,0,3,3,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"13","h5hscztb",2018-10-17 15:01:00,2,3,3,1,1,"[Home (dorm; apartment)]","[Significant other]","[Studying; reading; preparing for an exam]","[Significant other]"
"14","h5hscztb",2018-10-18 12:00:45,0,2,3,1,1,"[Home (dorm; apartment)]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students]"
"15","h5hscztb",2018-10-19 20:00:44,0,0,3,0,1,"[None of the above; other]","[Significant other]","[Talking; texting; socializing]","[Significant other]"
"16","h5hscztb",2018-10-20 18:02:58,0,0,3,0,1,"[None of the above; other]","[Significant other]","[Talking; texting; socializing]","[Significant other]"
"17","h5hscztb",2018-10-22 13:39:01,2,1,3,1,1,"[Campus]","[Significant other]","[Attending classes; meetings;Talking; texting; socializing]","[Significant other]"
"18","h5hscztb",2018-10-22 15:00:50,1,2,3,1,1,"[Home (dorm; apartment)]","[Significant other]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Significant other]"
"19","h5hscztb",2018-10-25 15:13:17,2,1,3,1,1,"[Campus;Home (dorm; apartment)]","[Friends;Significant other]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"20","h5hscztb",2018-10-29 01:16:14,1,1,3,1,1,"[Home (dorm; apartment)]","[Friends;Significant other]","[Eating; drinking;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Significant other]"
"21","h5hscztb",2018-10-29 11:30:39,1,2,3,1,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Roommates;Significant other]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person;Talking on the phone;Interacting on Snapchat;Interacting on Twitter]"
"22","h5hscztb",2018-10-29 18:49:09,1,1,3,1,1,"[Home (dorm; apartment)]","[Significant other]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Significant other]"
