"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","h8k245qe",2018-10-10 09:01:51,1,3,1,0,2,"[Campus; Home (dorm; apartment)]","[Classmates; students; Friends; Roommates]","[Commuting; traveling]","[Talking in person]"
"2","h8k245qe",2018-10-10 12:49:48,0,2,1,0,2,"2","5","2","5"
"3","h8k245qe",2018-10-10 15:04:18,0,2,2,0,2,"10","3","2","3"
"4","h8k245qe",2018-10-10 19:22:59,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"5","h8k245qe",2018-10-11 09:18:22,0,2,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","h8k245qe",2018-10-11 12:02:12,0,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"7","h8k245qe",2018-10-11 18:09:15,3,3,0,0,1,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Strangers]"
"8","h8k245qe",2018-10-12 12:05:40,0,2,2,0,3,"[Campus]","[Friends]","[Working at job]","[Friends]"
"9","h8k245qe",2018-10-13 09:39:45,0,1,2,0,3,"[Friend's house]","[Roommates]","[None of the above; Other]","[Talking in person; Text messaging on the phone]"
"10","h8k245qe",2018-10-13 15:27:13,0,1,3,0,3,"[Cafe; Restaurant]","[Friends; Roommates]","[Eating; drinking]","[Friends; Roommates]"
"11","h8k245qe",2018-10-15 18:33:07,0,1,2,0,2,"[Vehicle]","[Friends; Roommates]","[Doing household chores; running errands]","[Friends; Roommates]"
"12","h8k245qe",2018-10-16 14:07:50,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings; Browsing the Internet; using social media]","[Classmates; students]"
"13","h8k245qe",2018-10-16 17:07:35,0,2,2,0,1,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam]","[Friends; Roommates]"
"14","h8k245qe",2018-10-17 14:27:55,0,1,2,0,2,"[Campus]","[Classmates; students; Friends; Roommates]","[Attending classes; meetings]","[Classmates; students; Friends; Roommates]"
"15","h8k245qe",2018-10-17 16:13:54,0,2,2,0,2,"[None of the above; other]","[Classmates; students]","[None of the above; Other]","[Classmates; students]"
"16","h8k245qe",2018-10-17 20:49:04,0,2,2,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Eating; drinking]","[Friends; Roommates]"
"17","h8k245qe",2018-10-18 14:26:18,0,2,1,0,2,"[Campus]","[Classmates; students; Co-workers]","[Attending classes; meetings; Working at job]","[Classmates; students; Co-workers]"
