"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","haannbkg",2018-10-10 15:09:23,0,2,2,0,3,"Campus","Friends","Eating; drinking","Friends"
"2","haannbkg",2018-10-10 18:20:22,1,2,1,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"3","haannbkg",2018-10-11 10:25:46,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"4","haannbkg",2018-10-11 14:57:52,0,1,1,0,1,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Friends]"
"5","haannbkg",2018-10-11 18:45:40,0,2,2,0,2,"[Cafe; Restaurant;Campus]","[Friends]","[Eating; drinking]","[Friends]"
"6","haannbkg",2018-10-12 10:35:10,0,2,2,0,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"7","haannbkg",2018-10-12 12:48:17,0,2,2,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"8","haannbkg",2018-10-12 15:49:06,1,1,2,0,1,"[Cafe; Restaurant;Campus]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"9","haannbkg",2018-10-12 18:33:26,0,1,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Roommates]"
"10","haannbkg",2018-10-13 13:47:05,1,1,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Roommates]"
"11","haannbkg",2018-10-13 15:05:39,1,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"12","haannbkg",2018-10-13 19:00:22,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"13","haannbkg",2018-10-14 17:59:51,2,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"14","haannbkg",2018-10-15 10:23:28,1,3,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"15","haannbkg",2018-10-15 12:31:47,0,2,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"16","haannbkg",2018-10-15 15:03:10,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"17","haannbkg",2018-10-17 11:05:50,1,2,0,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"18","haannbkg",2018-10-17 12:00:43,1,2,0,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"19","haannbkg",2018-10-18 15:19:20,1,2,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Roommates]"
"20","haannbkg",2018-10-18 21:48:31,2,3,0,0,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"21","haannbkg",2018-10-19 15:08:43,2,3,0,0,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"22","haannbkg",2018-10-19 16:21:28,0,2,1,0,2,"[Cafe; restaurant;Campus]","[Friends]","[Eating; drinking]","[Talking in person;Interacting on Facebook]"
"23","haannbkg",2018-10-20 16:10:42,0,1,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[No one; alone]"
"24","haannbkg",2018-10-20 18:12:36,0,0,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Roommates]"
"25","haannbkg",2018-10-21 15:03:30,1,2,0,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
