"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ho5aepxy",2018-10-10 12:15:40,1,3,1,1,3,"Fraternity; Sorority House","Friends","Attending classes; meetings","Friends"
"2","ho5aepxy",2018-10-10 15:01:47,1,3,1,0,1,"Cafe; Restaurant","Strangers","Studying; reading; preparing for an exam","Strangers"
"3","ho5aepxy",2018-10-10 20:30:48,2,3,0,1,1,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"4","ho5aepxy",2018-10-11 09:57:25,1,1,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"5","ho5aepxy",2018-10-11 12:11:19,0,2,1,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"6","ho5aepxy",2018-10-11 15:01:52,1,2,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"7","ho5aepxy",2018-10-11 18:04:50,0,1,2,0,3,"[Store / Mall]","[Strangers]","[Doing household chores; running errands]","[Strangers]"
"8","ho5aepxy",2018-10-12 09:06:23,0,1,2,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone;Emailing;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat]"
"9","ho5aepxy",2018-10-12 12:02:37,0,1,2,0,3,"[Cafe; Restaurant;Home (dorm; apartment);Vehicle]","[Classmates; students;Friends;Roommates;Strangers]","[Browsing the Internet; using social media;Commuting; traveling;Doing household chores; running errands;Eating; drinking;Talking; texting; socializing]","[Classmates; students;Friends;Roommates;Strangers]"
"10","ho5aepxy",2018-10-12 15:30:09,0,1,3,0,4,"[Bar; Party;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Doing household chores; running errands;Eating; drinking;Talking; texting; socializing]","[Classmates; students;Friends;Roommates]"
"11","ho5aepxy",2018-10-12 18:01:34,0,1,3,0,4,"[Bar; Party;Vehicle]","[Classmates; students;Friends;Strangers]","[Eating; drinking;Talking; texting; socializing;None of the above; Other]","[Classmates; students;Friends;Strangers]"
