"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","hra8dk15",2018-10-10 12:33:07,0,1,2,1,2,"Cafe; Restaurant","Classmates; students","Talking; texting; socializing","Classmates; students"
"2","hra8dk15",2018-10-10 20:29:00,1,1,2,1,3,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"3","hra8dk15",2018-10-11 09:02:12,0,1,2,1,1,"[Campus;Vehicle]","[Family]","[Commuting; traveling]","[Talking in person;Interacting on Twitter]"
"4","hra8dk15",2018-10-11 18:13:07,1,1,3,1,2,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"5","hra8dk15",2018-10-14 17:37:15,1,1,1,1,2,"[Vehicle]","[No one; alone;Strangers]","[Commuting; traveling]","[No one; alone;Strangers]"
"6","hra8dk15",2018-10-15 09:11:25,1,2,1,2,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"7","hra8dk15",2018-10-16 09:01:39,2,2,1,2,0,"[Vehicle]","[Family]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"8","hra8dk15",2018-10-17 09:01:41,1,1,2,1,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"9","hra8dk15",2018-10-18 19:28:35,1,1,1,1,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"10","hra8dk15",2018-10-19 11:51:34,1,2,1,1,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Facebook;Interacting on Snapchat]"
"11","hra8dk15",2018-10-20 12:05:55,1,1,2,1,2,"[Vehicle]","[Friends]","[Talking; texting; socializing]","[Friends]"
"12","hra8dk15",2018-10-21 18:06:15,1,1,3,1,1,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"13","hra8dk15",2018-10-22 09:36:31,1,1,1,1,1,"[Campus;Vehicle]","[Classmates; students;Family]","[Commuting; traveling]","[Talking in person]"
"14","hra8dk15",2018-10-22 15:04:13,0,1,2,1,1,"[Campus]","[Friends]","[Commuting; traveling;Eating; drinking]","[Friends]"
"15","hra8dk15",2018-10-23 17:52:35,1,1,1,2,1,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[No one; alone]"
"16","hra8dk15",2018-10-23 20:00:41,1,1,1,2,1,"[Cafe; Restaurant]","[Family;Strangers]","[Browsing the Internet; using social media]","[Family;Strangers]"
"17","hra8dk15",2018-10-24 09:02:45,1,2,1,1,0,"[Home (dorm; apartment);Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"18","hra8dk15",2018-10-24 13:01:26,1,2,1,1,0,"[Campus]","[Friends]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Friends]"
"19","hra8dk15",2018-10-27 11:43:42,1,2,1,1,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking;Resting; napping; doing nothing]","[Family]"
"20","hra8dk15",2018-10-29 09:01:12,1,2,1,1,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"21","hra8dk15",2018-10-30 09:01:09,1,1,1,1,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
