"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","igv82v6o",2018-10-10 10:14:37,3,2,0,2,1,"[Campus;Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"2","igv82v6o",2018-10-10 12:04:15,1,1,2,1,3,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","igv82v6o",2018-10-11 13:32:11,1,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"4","igv82v6o",2018-10-12 10:26:04,1,1,2,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat]"
"5","igv82v6o",2018-10-12 14:57:00,0,0,3,0,3,"[Cafe; Restaurant;Campus]","[Friends;Roommates]","[Eating; drinking]","[Friends;Roommates]"
"6","igv82v6o",2018-10-12 18:01:28,0,0,3,0,2,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Talking; texting; socializing]","[Friends;Roommates]"
"7","igv82v6o",2018-10-13 11:06:09,1,0,2,1,2,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"8","igv82v6o",2018-10-13 14:52:47,1,0,1,1,0,"[Campus;None of the above; other]","[Friends;Strangers]","[Browsing the Internet; using social media;Exercising; physical activity; sports;None of the above; Other]","[Friends;Strangers]"
"9","igv82v6o",2018-10-13 18:01:32,1,0,0,2,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[No one; alone]"
"10","igv82v6o",2018-10-14 18:15:28,1,1,2,1,1,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"11","igv82v6o",2018-10-15 15:03:57,2,2,0,2,1,"[Cafe; Restaurant;Campus]","[Friends;Roommates]","[Eating; drinking;Talking; texting; socializing]","[Friends;Roommates]"
"12","igv82v6o",2018-10-16 12:29:20,1,1,2,0,1,"[Campus]","[Classmates; students;Friends;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"13","igv82v6o",2018-10-16 15:17:55,1,1,1,1,1,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Friends;Roommates]"
"14","igv82v6o",2018-10-16 18:26:56,0,0,2,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
