"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","j5qfhj6p",2018-10-10 09:01:29,1,2,1,1,2,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"2","j5qfhj6p",2018-10-10 12:01:21,1,2,2,1,3,"Home (dorm; apartment)","No one; alone","Attending classes; meetings","No one; alone"
"3","j5qfhj6p",2018-10-10 15:18:02,0,1,2,0,3,"[Home (dorm; apartment)]","[Significant other]","[Talking; texting; socializing]","[Significant other]"
"4","j5qfhj6p",2018-10-10 18:01:45,1,1,2,1,2,"[Home (dorm; apartment)]","[Significant other]","[Talking; texting; socializing]","[Significant other]"
"5","j5qfhj6p",2018-10-11 09:01:09,0,1,2,0,2,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"6","j5qfhj6p",2018-10-11 12:05:01,0,0,3,1,2,"[Campus]","[Friends]","[None of the above; Other]","[Friends]"
"7","j5qfhj6p",2018-10-11 15:05:50,0,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"8","j5qfhj6p",2018-10-11 20:07:07,3,3,1,3,1,"[Home (dorm; apartment)]","[Significant other]","[Talking; texting; socializing]","[Significant other]"
"9","j5qfhj6p",2018-10-12 09:01:07,1,1,2,1,2,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media]","[Chatting on Whatsapp or other chat app;Interacting on Snapchat]"
"10","j5qfhj6p",2018-10-13 11:27:01,2,3,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"11","j5qfhj6p",2018-10-13 12:05:24,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"12","j5qfhj6p",2018-10-13 18:40:49,3,3,0,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"13","j5qfhj6p",2018-10-14 12:43:05,3,3,0,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"14","j5qfhj6p",2018-10-14 15:02:04,3,3,0,1,1,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media]","[Significant other]"
"15","j5qfhj6p",2018-10-15 11:14:22,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"16","j5qfhj6p",2018-10-15 12:02:44,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"17","j5qfhj6p",2018-10-15 16:04:23,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media]","[Significant other]"
"18","j5qfhj6p",2018-10-15 18:03:30,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"19","j5qfhj6p",2018-10-16 10:36:58,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"20","j5qfhj6p",2018-10-16 12:28:51,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"21","j5qfhj6p",2018-10-16 15:00:44,1,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"22","j5qfhj6p",2018-10-16 19:56:58,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"23","j5qfhj6p",2018-10-17 09:16:55,0,2,1,0,2,"[Campus]","[Strangers]","[Commuting; traveling]","[Text messaging on the phone]"
"24","j5qfhj6p",2018-10-17 14:07:01,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"25","j5qfhj6p",2018-10-17 15:11:12,1,1,2,1,3,"[Campus]","[Other]","[Attending classes; meetings]","[Other]"
"26","j5qfhj6p",2018-10-17 18:01:37,0,1,2,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"27","j5qfhj6p",2018-10-18 09:18:20,1,1,3,0,3,"[Store/Mall]","[Strangers]","[Doing household chores; running errands]","[Talking in person]"
"28","j5qfhj6p",2018-10-18 12:02:59,1,1,2,1,3,"[Store / Mall]","[Strangers]","[Commuting; traveling]","[Strangers]"
"29","j5qfhj6p",2018-10-18 16:00:30,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"30","j5qfhj6p",2018-10-18 18:50:28,0,1,2,0,2,"[Vehicle]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"31","j5qfhj6p",2018-10-19 09:49:28,0,0,3,0,4,"[None of the above; other]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"32","j5qfhj6p",2018-10-19 12:06:27,0,1,3,0,3,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"33","j5qfhj6p",2018-10-19 18:42:24,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"34","j5qfhj6p",2018-10-20 11:25:17,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"35","j5qfhj6p",2018-10-20 12:01:21,1,1,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"36","j5qfhj6p",2018-10-20 15:45:23,0,0,3,0,3,"[Store / Mall]","[Friends]","[Talking; texting; socializing]","[Friends]"
"37","j5qfhj6p",2018-10-20 18:00:56,0,1,3,0,1,"[Cafe; Restaurant]","[Friends]","[Talking; texting; socializing]","[Friends]"
"38","j5qfhj6p",2018-10-21 11:24:20,1,1,1,1,1,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"39","j5qfhj6p",2018-10-21 12:01:25,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"40","j5qfhj6p",2018-10-22 11:55:11,1,2,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"41","j5qfhj6p",2018-10-23 10:57:52,1,3,0,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[Talking on the phone]"
"42","j5qfhj6p",2018-10-23 12:00:56,2,3,1,1,2,"[Campus]","[Friends;Strangers]","[Attending classes; meetings]","[Friends;Strangers]"
"43","j5qfhj6p",2018-10-23 15:45:42,1,3,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"44","j5qfhj6p",2018-10-23 18:00:45,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
