"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","j7xi5dp9",2018-10-10 09:36:08,1,2,1,2,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media]","[Talking in person]"
"2","j7xi5dp9",2018-10-10 12:01:34,1,1,1,2,2,"Home (dorm; apartment)","No one; alone","Resting; napping; doing nothing","No one; alone"
"3","j7xi5dp9",2018-10-10 18:05:33,0,0,2,1,3,"[Campus]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"4","j7xi5dp9",2018-10-11 12:01:02,0,0,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"5","j7xi5dp9",2018-10-11 17:56:12,1,1,2,1,3,"[Campus]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"6","j7xi5dp9",2018-10-12 12:15:42,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[No one; alone]"
"7","j7xi5dp9",2018-10-12 16:43:11,0,0,2,0,3,"[Vehicle]","[Friends;Roommates]","[Commuting; traveling]","[Friends;Roommates]"
"8","j7xi5dp9",2018-10-12 21:07:30,0,0,3,0,4,"[Vehicle]","[Roommates]","[Commuting; traveling]","[Roommates]"
"9","j7xi5dp9",2018-10-13 14:11:27,1,1,2,1,2,"[Home (dorm; apartment)]","[Family;No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","j7xi5dp9",2018-10-13 23:51:00,0,0,1,1,2,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Watching TV; movies]","[Friends]"
"11","j7xi5dp9",2018-10-14 21:00:46,2,2,1,2,1,"[Friend's house]","[Friends]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"12","j7xi5dp9",2018-10-15 22:47:15,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"13","j7xi5dp9",2018-10-16 09:05:19,0,0,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"14","j7xi5dp9",2018-10-16 15:50:55,0,1,2,1,2,"[Campus]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Friends]"
"15","j7xi5dp9",2018-10-16 18:12:16,0,0,2,1,3,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"16","j7xi5dp9",2018-10-17 09:09:54,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"17","j7xi5dp9",2018-10-17 14:22:05,1,2,1,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"18","j7xi5dp9",2018-10-17 19:13:38,0,1,3,0,3,"[Campus;Friend’s house]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"19","j7xi5dp9",2018-10-18 12:31:44,1,2,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"20","j7xi5dp9",2018-10-18 18:38:06,1,1,1,1,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"21","j7xi5dp9",2018-10-19 16:18:00,1,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"22","j7xi5dp9",2018-10-21 14:14:14,1,0,1,1,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Resting; napping; doing nothing;Watching TV; movies]","[No one; alone;Roommates]"
"23","j7xi5dp9",2018-10-22 16:22:14,1,1,1,1,2,"[Library]","[Classmates; students;No one; alone]","[Browsing the Internet; using social media;Commuting; traveling;Studying; reading; preparing for an exam]","[Classmates; students;No one; alone]"
"24","j7xi5dp9",2018-10-23 00:12:29,1,2,1,1,2,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"25","j7xi5dp9",2018-10-23 12:11:06,0,1,1,1,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"26","j7xi5dp9",2018-10-23 21:03:08,0,0,3,1,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"27","j7xi5dp9",2018-10-24 17:04:45,1,2,1,1,2,"[Campus]","[No one; alone;Roommates]","[Commuting; traveling]","[No one; alone;Roommates]"
"28","j7xi5dp9",2018-10-28 15:50:27,0,0,2,0,3,"[Campus]","[Classmates; students;Co-workers]","[Working at job]","[Classmates; students;Co-workers]"
"29","j7xi5dp9",2018-10-30 09:15:25,1,1,2,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Roommates]"
"30","j7xi5dp9",2018-10-30 18:47:14,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
