"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","jhgwqsg4",2018-10-10 12:04:31,1,2,2,0,2,"[Campus]","[Classmates; students;Friends;Strangers]","[Attending classes; meetings]","[Text messaging on the phone;Interacting on Snapchat]"
"2","jhgwqsg4",2018-10-10 13:11:43,1,2,1,0,2,"Campus","Roommates","Commuting; traveling","Roommates"
"3","jhgwqsg4",2018-10-10 23:05:18,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"4","jhgwqsg4",2018-10-11 09:34:45,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Text messaging on the phone]"
"5","jhgwqsg4",2018-10-11 12:02:58,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"6","jhgwqsg4",2018-10-11 15:03:18,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"7","jhgwqsg4",2018-10-11 19:41:49,0,0,2,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Talking; texting; socializing]","[Friends;Roommates]"
"8","jhgwqsg4",2018-10-12 12:15:57,0,1,2,0,1,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Roommates]"
"9","jhgwqsg4",2018-10-12 15:02:18,1,1,2,0,2,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"10","jhgwqsg4",2018-10-12 17:47:27,0,1,2,0,1,"[Work]","[Strangers]","[Working at job]","[Strangers]"
"11","jhgwqsg4",2018-10-12 21:04:06,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"12","jhgwqsg4",2018-10-13 14:08:40,0,1,1,0,1,"[None of the above; other]","[Strangers]","[None of the above; Other]","[Talking in person;Interacting on Snapchat]"
"13","jhgwqsg4",2018-10-13 15:30:21,0,1,2,0,1,"[Work]","[No one; alone;Strangers]","[Working at job]","[No one; alone;Strangers]"
"14","jhgwqsg4",2018-10-13 19:56:53,0,1,1,0,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"15","jhgwqsg4",2018-10-14 10:51:32,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[None of the above; Other]","[Talking in person]"
"16","jhgwqsg4",2018-10-14 15:37:46,0,1,2,0,2,"[Cafe; Restaurant]","[No one; alone;Strangers]","[Studying; reading; preparing for an exam]","[No one; alone;Strangers]"
"17","jhgwqsg4",2018-10-14 19:48:01,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"18","jhgwqsg4",2018-10-15 11:55:35,0,2,1,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Text messaging on the phone]"
"19","jhgwqsg4",2018-10-15 14:05:32,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Studying; reading; preparing for an exam]","[Roommates]"
"20","jhgwqsg4",2018-10-15 20:35:25,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"21","jhgwqsg4",2018-10-16 09:47:55,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"22","jhgwqsg4",2018-10-16 13:14:30,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
