"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","jrni8nve",2018-10-10 09:47:26,0,2,1,1,2,"[Campus;Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"2","jrni8nve",2018-10-10 12:51:31,0,1,1,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","jrni8nve",2018-10-10 15:47:40,0,2,1,0,2,"Library","Classmates; students","Studying; reading; preparing for an exam","Classmates; students"
"4","jrni8nve",2018-10-11 09:48:26,0,3,1,0,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"5","jrni8nve",2018-10-11 12:13:48,0,3,1,0,1,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"6","jrni8nve",2018-10-11 16:19:34,0,1,1,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","jrni8nve",2018-10-11 18:57:18,0,0,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"8","jrni8nve",2018-10-12 11:53:37,1,0,1,0,0,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"9","jrni8nve",2018-10-12 13:34:22,1,0,1,0,0,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"10","jrni8nve",2018-10-12 15:59:00,0,0,1,0,0,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"11","jrni8nve",2018-10-12 19:35:14,0,0,1,0,0,"[Cafe; Restaurant]","[Friends]","[Talking; texting; socializing]","[Friends]"
"12","jrni8nve",2018-10-13 13:12:09,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Family]"
"13","jrni8nve",2018-10-13 16:47:37,0,0,1,0,2,"[Vehicle]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"14","jrni8nve",2018-10-13 20:09:08,0,0,1,0,1,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"15","jrni8nve",2018-10-14 13:12:29,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing]","[Family]"
"16","jrni8nve",2018-10-14 19:28:56,0,0,1,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Family]"
"17","jrni8nve",2018-10-15 12:59:28,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"18","jrni8nve",2018-10-15 15:58:13,0,0,1,0,2,"[Campus]","[Classmates; students]","[Resting; napping; doing nothing]","[Classmates; students]"
"19","jrni8nve",2018-10-16 11:29:38,0,1,1,0,2,"[Campus]","[No one; alone]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"20","jrni8nve",2018-10-16 14:37:34,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"21","jrni8nve",2018-10-16 16:08:10,0,1,1,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"22","jrni8nve",2018-10-16 19:46:26,0,0,1,0,2,"[Campus]","[Friends]","[Eating; drinking]","[Friends]"
"23","jrni8nve",2018-10-17 11:14:48,0,1,1,0,2,"[Campus]","[Friends]","[Eating; drinking]","[Talking in person]"
"24","jrni8nve",2018-10-17 13:07:44,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"25","jrni8nve",2018-10-17 17:24:06,0,0,1,0,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"26","jrni8nve",2018-10-18 10:43:25,0,3,1,0,1,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"27","jrni8nve",2018-10-18 13:18:20,0,3,1,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
