"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","kf4wmmhv",2018-10-10 09:01:22,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[Interacting on Snapchat]"
"2","kf4wmmhv",2018-10-10 12:32:12,1,1,2,1,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","kf4wmmhv",2018-10-10 15:15:31,1,1,1,1,2,"Campus","Classmates; students","Studying; reading; preparing for an exam","Classmates; students"
"4","kf4wmmhv",2018-10-10 18:00:47,1,1,1,1,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students]"
"5","kf4wmmhv",2018-10-11 11:08:20,1,1,1,1,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Strangers]","[Commuting; traveling]","[Text messaging on the phone;Interacting on Snapchat]"
"6","kf4wmmhv",2018-10-11 12:02:19,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"7","kf4wmmhv",2018-10-11 15:11:41,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"8","kf4wmmhv",2018-10-11 18:01:32,1,1,2,1,2,"[Home (dorm; apartment)]","[Other]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Other]"
"9","kf4wmmhv",2018-10-12 09:49:21,1,3,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Interacting on Snapchat]"
"10","kf4wmmhv",2018-10-12 12:05:56,1,1,2,1,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Roommates]","[Commuting; traveling;Eating; drinking;Studying; reading; preparing for an exam]","[Classmates; students;Roommates]"
"11","kf4wmmhv",2018-10-12 15:30:21,1,1,1,1,2,"[Campus;Vehicle]","[Strangers]","[Commuting; traveling]","[Strangers]"
"12","kf4wmmhv",2018-10-12 19:26:51,1,1,1,1,2,"[Bar; Party]","[Classmates; students;Friends;Strangers]","[None of the above; Other]","[Classmates; students;Friends;Strangers]"
"13","kf4wmmhv",2018-10-13 10:58:58,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Snapchat]"
"14","kf4wmmhv",2018-10-13 12:37:27,1,1,2,1,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"15","kf4wmmhv",2018-10-13 15:31:15,1,1,2,1,3,"[Bar; Party]","[Friends]","[Talking; texting; socializing]","[Friends]"
"16","kf4wmmhv",2018-10-13 19:45:39,1,1,2,1,2,"[Bar; Party]","[Friends;Strangers]","[Talking; texting; socializing]","[Friends;Strangers]"
"17","kf4wmmhv",2018-10-14 10:22:00,1,1,2,1,2,"[Home (dorm; apartment);Vehicle]","[Friends;Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"18","kf4wmmhv",2018-10-14 12:13:23,1,1,1,1,2,"[Bar; Party]","[Friends;Roommates;Strangers]","[None of the above; Other]","[Friends;Roommates;Strangers]"
"19","kf4wmmhv",2018-10-14 15:32:40,1,1,2,1,2,"[Bar; Party]","[Friends;Roommates;Strangers]","[Talking; texting; socializing]","[Friends;Roommates;Strangers]"
"20","kf4wmmhv",2018-10-14 20:21:19,1,1,2,1,3,"[Bar; Party]","[Friends;Roommates;Strangers]","[Eating; drinking;Talking; texting; socializing]","[Friends;Roommates;Strangers]"
"21","kf4wmmhv",2018-10-15 10:47:23,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"22","kf4wmmhv",2018-10-15 12:49:41,1,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"23","kf4wmmhv",2018-10-15 19:53:07,1,1,2,1,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Commuting; traveling;Eating; drinking]","[Classmates; students;Friends]"
"24","kf4wmmhv",2018-10-16 11:39:45,1,1,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"25","kf4wmmhv",2018-10-16 12:25:55,1,1,2,1,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking]","[No one; alone]"
"26","kf4wmmhv",2018-10-17 09:52:29,1,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Interacting on Snapchat]"
"27","kf4wmmhv",2018-10-17 12:29:36,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"28","kf4wmmhv",2018-10-17 16:19:27,1,1,1,1,2,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends]"
"29","kf4wmmhv",2018-10-17 20:42:16,1,1,2,1,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"30","kf4wmmhv",2018-10-18 12:00:47,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"31","kf4wmmhv",2018-10-19 13:49:30,1,1,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"32","kf4wmmhv",2018-10-19 17:28:47,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"33","kf4wmmhv",2018-10-20 12:52:29,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Talking in person]"
"34","kf4wmmhv",2018-10-20 18:05:57,0,1,3,0,3,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Significant other]"
"35","kf4wmmhv",2018-10-21 11:42:22,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"36","kf4wmmhv",2018-10-21 20:55:54,1,1,1,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Roommates]"
"37","kf4wmmhv",2018-10-22 09:54:34,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"38","kf4wmmhv",2018-10-23 11:09:43,1,2,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"39","kf4wmmhv",2018-10-23 15:15:07,1,1,1,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"40","kf4wmmhv",2018-10-24 10:06:02,1,2,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"41","kf4wmmhv",2018-10-24 15:06:08,0,1,1,1,1,"[Campus]","[Other]","[Studying; reading; preparing for an exam]","[Other]"
"42","kf4wmmhv",2018-10-24 19:59:18,0,1,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Roommates]"
"43","kf4wmmhv",2018-10-25 12:01:56,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Interacting on Snapchat]"
