"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","kgrnuo4m",2018-10-10 09:00:46,0,0,1,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Text messaging on the phone]"
"2","kgrnuo4m",2018-10-10 12:01:15,0,0,2,0,3,"2","0","2","0"
"3","kgrnuo4m",2018-10-10 15:07:12,0,0,2,0,2,"2","4","2","4"
"4","kgrnuo4m",2018-10-10 18:08:50,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"5","kgrnuo4m",2018-10-11 09:29:58,0,0,1,0,1,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","kgrnuo4m",2018-10-11 12:02:53,0,1,2,0,1,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media]","[Classmates; students]"
"7","kgrnuo4m",2018-10-11 15:02:19,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"8","kgrnuo4m",2018-10-11 18:00:36,0,0,3,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"9","kgrnuo4m",2018-10-12 09:00:52,0,0,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Chatting on Whatsapp or other chat app]"
"10","kgrnuo4m",2018-10-12 12:01:37,1,1,3,0,4,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"11","kgrnuo4m",2018-10-12 15:00:48,0,0,3,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"12","kgrnuo4m",2018-10-12 18:01:53,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media; Resting; napping; doing nothing; Talking; texting; socializing]","[Friends]"
"13","kgrnuo4m",2018-10-13 09:07:02,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media; Resting; napping; doing nothing]","[Interacting on Instagram; Interacting on Snapchat; Other form of social interaction (please describe in the text box below)]"
"14","kgrnuo4m",2018-10-13 12:06:07,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"15","kgrnuo4m",2018-10-13 15:03:22,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"16","kgrnuo4m",2018-10-13 18:05:06,0,2,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"17","kgrnuo4m",2018-10-14 09:33:05,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone; Roommates]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"18","kgrnuo4m",2018-10-14 12:02:10,0,1,2,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Commuting; traveling]","[Friends; Roommates]"
"19","kgrnuo4m",2018-10-14 15:33:57,0,1,2,0,2,"[Campus]","[Friends; Roommates]","[None of the above; Other]","[Friends; Roommates]"
"20","kgrnuo4m",2018-10-14 18:11:13,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends; No one; alone; Roommates]","[Browsing the Internet; using social media]","[Friends; No one; alone; Roommates]"
"21","kgrnuo4m",2018-10-15 09:05:54,0,1,2,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"22","kgrnuo4m",2018-10-15 12:07:40,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"23","kgrnuo4m",2018-10-15 15:43:00,0,2,1,0,1,"[Campus]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"24","kgrnuo4m",2018-10-15 18:05:28,0,2,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"25","kgrnuo4m",2018-10-16 09:06:11,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing; Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"26","kgrnuo4m",2018-10-16 12:01:21,0,1,2,0,3,"[Campus]","[No one; alone]","[Browsing the Internet; using social media; Commuting; traveling]","[No one; alone]"
"27","kgrnuo4m",2018-10-16 15:03:30,0,1,3,0,4,"[Home (dorm; apartment)]","[Friends; No one; alone; Roommates]","[Studying; reading; preparing for an exam]","[Friends; No one; alone; Roommates]"
"28","kgrnuo4m",2018-10-16 18:13:31,0,2,2,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam]","[Friends; Roommates]"
"29","kgrnuo4m",2018-10-17 09:05:45,0,2,2,0,2,"[Campus]","[Friends]","[Attending classes; meetings; Commuting; traveling]","[Text messaging on the phone]"
"30","kgrnuo4m",2018-10-17 12:05:20,0,2,2,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings; Commuting; traveling]","[No one; alone]"
"31","kgrnuo4m",2018-10-17 15:03:15,0,2,2,0,2,"[Campus; Home (dorm; apartment)]","[Friends; No one; alone; Roommates]","[Commuting; traveling]","[Friends; No one; alone; Roommates]"
"32","kgrnuo4m",2018-10-17 18:37:00,0,2,3,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"33","kgrnuo4m",2018-10-18 09:07:03,0,0,2,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"34","kgrnuo4m",2018-10-18 12:08:39,0,0,3,0,4,"[Campus]","[No one; alone]","[Attending classes; meetings; Commuting; traveling]","[No one; alone]"
"35","kgrnuo4m",2018-10-18 15:28:15,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; No one; alone; Roommates]","[Attending classes; meetings]","[Friends; No one; alone; Roommates]"
"36","kgrnuo4m",2018-10-18 20:40:34,0,0,3,1,4,"[Home (dorm; apartment)]","[Friends]","[None of the above; Other]","[Friends]"
"37","kgrnuo4m",2018-10-19 09:43:03,0,0,2,0,2,"[Vehicle]","[Friends]","[Commuting; traveling]","[Talking in person]"
"38","kgrnuo4m",2018-10-19 12:02:07,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"39","kgrnuo4m",2018-10-19 15:02:50,0,0,3,0,3,"[Campus; Home (dorm; apartment)]","[Friends; Roommates]","[Attending classes; meetings; Commuting; traveling]","[Friends; Roommates]"
"40","kgrnuo4m",2018-10-19 18:01:11,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Eating; drinking]","[Friends; Roommates]"
"41","kgrnuo4m",2018-10-20 09:09:14,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Other form of social interaction (please describe in the text box below)]"
"42","kgrnuo4m",2018-10-20 12:05:23,0,0,3,0,3,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"43","kgrnuo4m",2018-10-20 15:24:09,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Commuting; traveling; Resting; napping; doing nothing]","[Friends; Roommates]"
"44","kgrnuo4m",2018-10-20 18:02:01,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Friends; Roommates]"
"45","kgrnuo4m",2018-10-21 09:11:16,0,0,3,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"46","kgrnuo4m",2018-10-21 12:01:53,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Friends; Roommates]"
"47","kgrnuo4m",2018-10-21 15:04:23,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Friends; Roommates]"
"48","kgrnuo4m",2018-10-21 18:04:27,0,1,3,0,2,"[Home (dorm; apartment)]","[Friends; No one; alone; Roommates]","[Studying; reading; preparing for an exam]","[Friends; No one; alone; Roommates]"
"49","kgrnuo4m",2018-10-22 09:16:47,0,0,3,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Text messaging on the phone; Chatting on Whatsapp or other chat app]"
"50","kgrnuo4m",2018-10-22 12:05:22,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"51","kgrnuo4m",2018-10-22 15:28:06,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends; Roommates]","[Talking; texting; socializing]","[Friends; Roommates]"
"52","kgrnuo4m",2018-10-22 18:06:30,0,0,3,0,4,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"53","kgrnuo4m",2018-10-23 10:18:38,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"54","kgrnuo4m",2018-10-23 12:02:48,0,0,3,0,2,"[Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"55","kgrnuo4m",2018-10-23 15:17:04,0,0,3,0,1,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Friends; Roommates]"
"56","kgrnuo4m",2018-10-23 18:02:58,0,0,3,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam]","[Friends; Roommates]"
"57","kgrnuo4m",2018-10-24 09:15:20,0,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"58","kgrnuo4m",2018-10-24 12:45:12,0,1,3,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"59","kgrnuo4m",2018-10-24 15:23:21,0,1,3,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Eating; drinking]","[Friends; Roommates]"
"60","kgrnuo4m",2018-10-24 18:08:52,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"61","kgrnuo4m",2018-10-25 09:49:57,0,0,3,0,2,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"62","kgrnuo4m",2018-10-25 12:11:16,0,1,3,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"63","kgrnuo4m",2018-10-25 15:15:24,0,1,3,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Eating; drinking]","[Friends; Roommates]"
"64","kgrnuo4m",2018-10-25 18:31:31,0,1,3,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam]","[Friends; Roommates]"
"65","kgrnuo4m",2018-10-26 10:49:11,0,0,3,0,2,"[Campus]","[Friends]","[Commuting; traveling]","[Talking in person]"
"66","kgrnuo4m",2018-10-26 12:04:04,0,0,3,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"67","kgrnuo4m",2018-10-26 15:17:07,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Talking; texting; socializing]","[Friends; Roommates]"
"68","kgrnuo4m",2018-10-26 18:03:08,0,0,0,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"69","kgrnuo4m",2018-10-27 10:45:04,0,1,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"70","kgrnuo4m",2018-10-27 12:10:11,0,0,3,0,3,"[Cafe; Restaurant]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"71","kgrnuo4m",2018-10-27 15:04:43,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam]","[Friends; Roommates]"
"72","kgrnuo4m",2018-10-27 18:04:20,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Friends; Roommates]"
"73","kgrnuo4m",2018-10-28 09:51:36,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"74","kgrnuo4m",2018-10-28 12:03:19,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Eating; drinking]","[Friends; Roommates]"
"75","kgrnuo4m",2018-10-28 15:01:49,0,1,3,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Talking; texting; socializing]","[Friends; Roommates]"
"76","kgrnuo4m",2018-10-28 18:33:47,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"77","kgrnuo4m",2018-10-29 09:26:29,0,0,3,0,2,"[Campus]","[No one; alone]","[Resting; napping; doing nothing; Talking; texting; socializing]","[Text messaging on the phone]"
"78","kgrnuo4m",2018-10-29 12:04:23,0,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"79","kgrnuo4m",2018-10-29 15:05:14,0,0,3,0,3,"[Campus; Home (dorm; apartment)]","[Friends; Roommates]","[Talking; texting; socializing]","[Friends; Roommates]"
"80","kgrnuo4m",2018-10-29 18:02:31,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Studying; reading; preparing for an exam]","[Friends; Roommates]"
"81","kgrnuo4m",2018-10-30 09:23:00,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"82","kgrnuo4m",2018-10-30 12:13:37,0,0,3,0,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"83","kgrnuo4m",2018-10-30 15:04:58,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Doing household chores; running errands]","[Friends; Roommates]"
"84","kgrnuo4m",2018-10-30 18:03:57,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends; Roommates]","[Browsing the Internet; using social media; Talking; texting; socializing]","[Friends; Roommates]"
"85","kgrnuo4m",2018-10-31 09:03:33,0,0,3,0,3,"[Campus]","[Strangers]","[Attending classes; meetings]","[Talking in person; Text messaging on the phone]"
"86","kgrnuo4m",2018-10-31 13:03:56,0,1,3,0,2,"[Home (dorm; apartment)]","[Friends; Roommates]","[Talking; texting; socializing]","[Friends; Roommates]"
"87","kgrnuo4m",2018-10-31 16:32:27,0,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"88","kgrnuo4m",2018-10-31 18:03:01,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
