"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ko6vef6g",2018-10-11 12:06:22,1,1,1,1,2,"[Campus]","[Classmates; students;Strangers]","[Commuting; traveling;Eating; drinking;Studying; reading; preparing for an exam]","[Classmates; students;Strangers]"
"2","ko6vef6g",2018-10-11 18:00:42,1,2,1,1,1,"[Campus;Gym;Library]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"3","ko6vef6g",2018-10-12 09:01:01,2,2,1,2,1,"[Campus;Home (dorm; apartment);Vehicle]","[None of the above; Other]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Text messaging on the phone]"
"4","ko6vef6g",2018-10-12 12:21:04,2,2,2,2,2,"[Work]","[Classmates; students;Co-workers;Strangers]","[Attending classes; meetings]","[Classmates; students;Co-workers;Strangers]"
"5","ko6vef6g",2018-10-12 16:13:29,2,3,1,2,0,"[Gym]","[Friends;Strangers]","[Commuting; traveling;Exercising; physical activity; sports]","[Friends;Strangers]"
"6","ko6vef6g",2018-10-12 18:07:16,2,2,2,2,1,"[Gym]","[Classmates; students;Friends]","[Eating; drinking;Exercising; physical activity; sports]","[Classmates; students;Friends]"
"7","ko6vef6g",2018-10-13 09:03:10,1,2,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"8","ko6vef6g",2018-10-13 12:40:10,2,2,1,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"9","ko6vef6g",2018-10-13 18:51:42,2,2,2,2,3,"[Campus]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"10","ko6vef6g",2018-10-14 10:07:18,1,2,2,2,3,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Chatting on Whatsapp or other chat app]"
"11","ko6vef6g",2018-10-14 13:42:17,2,1,1,2,3,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Watching TV; movies]","[No one; alone]"
"12","ko6vef6g",2018-10-14 15:00:41,2,1,1,2,3,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"13","ko6vef6g",2018-10-14 18:05:01,3,3,0,3,1,"[Campus]","[Strangers]","[Talking; texting; socializing]","[Strangers]"
"14","ko6vef6g",2018-10-15 12:07:35,2,2,1,3,1,"[Campus;Home (dorm; apartment)]","[Friends]","[Commuting; traveling]","[Talking in person]"
"15","ko6vef6g",2018-10-15 15:01:43,2,2,2,3,2,"[Campus]","[Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Friends]"
"16","ko6vef6g",2018-10-15 18:03:24,3,2,1,3,1,"[Cafe; Restaurant;Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"17","ko6vef6g",2018-10-16 09:33:12,1,2,1,2,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"18","ko6vef6g",2018-10-16 13:13:18,2,2,2,3,3,"[Cafe; Restaurant;Campus;Store / Mall]","[Strangers]","[Doing household chores; running errands;Eating; drinking]","[Strangers]"
"19","ko6vef6g",2018-10-16 17:09:22,2,2,2,2,3,"[Friend’s house]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"20","ko6vef6g",2018-10-16 19:08:30,2,1,1,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"21","ko6vef6g",2018-10-17 09:05:34,1,1,2,1,3,"[Campus;Vehicle]","[Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"22","ko6vef6g",2018-10-17 14:34:20,2,2,1,2,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"23","ko6vef6g",2018-10-17 16:01:35,2,2,1,1,1,"[Campus]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
