"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","kp28twfe",2018-10-10 10:17:01,1,0,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","kp28twfe",2018-10-10 12:06:14,2,0,0,1,2,"2","0","0","0"
"3","kp28twfe",2018-10-10 15:23:36,1,1,1,1,2,"2","0","0","0"
"4","kp28twfe",2018-10-10 19:13:08,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"5","kp28twfe",2018-10-11 09:04:59,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"6","kp28twfe",2018-10-11 12:14:00,1,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"7","kp28twfe",2018-10-11 15:14:52,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"8","kp28twfe",2018-10-11 20:01:33,1,1,2,1,1,"[Friend’s house; None of the above; other]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"9","kp28twfe",2018-10-12 09:21:36,1,1,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","kp28twfe",2018-10-12 12:02:56,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"11","kp28twfe",2018-10-12 15:03:02,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"12","kp28twfe",2018-10-12 18:02:29,1,1,1,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"13","kp28twfe",2018-10-13 12:33:01,1,1,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"14","kp28twfe",2018-10-13 16:22:03,1,1,1,1,3,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"15","kp28twfe",2018-10-13 18:16:14,1,1,1,1,2,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"16","kp28twfe",2018-10-14 11:35:02,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"17","kp28twfe",2018-10-14 14:54:19,1,1,1,1,2,"[None of the above; other]","[Family]","[Exercising; physical activity; sports]","[Family]"
