"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","kprnslcg",2018-10-11 11:02:41,2,1,1,1,2,"[None of the above; other]","[No one; alone]","[Commuting; traveling]","[Talking in person]"
"2","kprnslcg",2018-10-11 12:02:00,1,1,1,1,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Classmates; students]"
"3","kprnslcg",2018-10-11 15:02:18,2,0,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"4","kprnslcg",2018-10-11 20:16:08,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[No one; alone]"
"5","kprnslcg",2018-10-12 11:33:37,1,1,2,1,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"6","kprnslcg",2018-10-12 17:45:12,1,2,1,2,1,"[Vehicle]","[No one; alone]","[Commuting; traveling;Talking; texting; socializing]","[No one; alone]"
"7","kprnslcg",2018-10-12 18:01:34,2,2,1,2,2,"[Home (dorm; apartment);Vehicle]","[Friends;No one; alone;Roommates]","[Browsing the Internet; using social media;Commuting; traveling]","[Friends;No one; alone;Roommates]"
"8","kprnslcg",2018-10-13 11:32:10,1,2,1,1,2,"[Home (dorm; apartment)]","[Family;Roommates]","[None of the above; Other]","[Talking in person]"
"9","kprnslcg",2018-10-13 15:27:16,0,1,2,0,3,"[Work]","[Co-workers;Other]","[Working at job]","[Co-workers;Other]"
"10","kprnslcg",2018-10-13 18:02:07,1,2,1,0,2,"[Cafe; Restaurant]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends]"
"11","kprnslcg",2018-10-14 10:29:21,1,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone]"
"12","kprnslcg",2018-10-14 14:09:57,1,1,1,1,2,"[Home (dorm; apartment);Vehicle]","[Family;Friends;Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Family;Friends;Roommates]"
"13","kprnslcg",2018-10-14 15:08:20,1,1,2,1,2,"[None of the above; other]","[Family;Friends;Strangers]","[None of the above; Other]","[Family;Friends;Strangers]"
"14","kprnslcg",2018-10-14 22:18:05,2,1,1,1,1,"[None of the above; other]","[Family;Friends;Strangers]","[Exercising; physical activity; sports;Talking; texting; socializing]","[Family;Friends;Strangers]"
