"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","mdxb4dms",2018-10-10 12:23:07,2,3,1,3,1,"Home (dorm; apartment)","No one; alone","Eating; drinking","No one; alone"
"2","mdxb4dms",2018-10-10 15:01:49,2,2,1,2,1,"Campus","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"3","mdxb4dms",2018-10-10 18:04:51,2,3,2,0,3,"[Library]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"4","mdxb4dms",2018-10-11 15:47:44,2,3,1,1,0,"[Friend’s house]","[Friends]","[Attending classes; meetings]","[Friends]"
"5","mdxb4dms",2018-10-11 18:03:19,1,2,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"6","mdxb4dms",2018-10-12 10:17:17,1,2,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"7","mdxb4dms",2018-10-12 13:58:24,1,1,2,0,3,"[Vehicle]","[Roommates]","[Commuting; traveling]","[Roommates]"
"8","mdxb4dms",2018-10-12 15:01:10,1,1,2,0,3,"[Vehicle]","[Friends;Roommates]","[Commuting; traveling]","[Friends;Roommates]"
"9","mdxb4dms",2018-10-12 18:11:37,1,2,2,2,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"10","mdxb4dms",2018-10-13 11:20:52,1,2,2,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"11","mdxb4dms",2018-10-13 12:30:42,1,2,1,1,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Family]"
"12","mdxb4dms",2018-10-13 15:00:49,1,1,2,0,3,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"13","mdxb4dms",2018-10-13 20:03:17,1,2,2,0,2,"[None of the above; other]","[Friends]","[Eating; drinking;Watching TV; movies]","[Friends]"
"14","mdxb4dms",2018-10-14 09:07:26,3,3,0,2,0,"[Home (dorm; apartment);Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"15","mdxb4dms",2018-10-15 15:11:40,1,3,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"16","mdxb4dms",2018-10-15 20:19:48,1,3,1,0,1,"[Cafe; Restaurant;Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Significant other]","[Eating; drinking;Talking; texting; socializing]","[Classmates; students;Friends;Significant other]"
"17","mdxb4dms",2018-10-16 13:22:27,1,3,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"18","mdxb4dms",2018-10-16 15:50:43,1,2,1,0,1,"[Campus;Friend’s house]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends]"
"19","mdxb4dms",2018-10-18 09:14:23,2,3,2,1,2,"[Campus]","[Classmates; students;Friends;Significant other]","[Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"20","mdxb4dms",2018-10-19 12:29:23,2,2,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Instagram]"
"21","mdxb4dms",2018-10-19 15:00:46,1,1,2,0,2,"[Vehicle]","[Friends]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Friends]"
"22","mdxb4dms",2018-10-19 19:10:24,3,2,0,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"23","mdxb4dms",2018-10-20 12:08:51,1,2,2,1,1,"[Cafe; restaurant]","[None of the above; Other]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"24","mdxb4dms",2018-10-20 15:00:43,0,1,3,0,3,"[Vehicle]","[Other]","[Commuting; traveling]","[Other]"
"25","mdxb4dms",2018-10-20 18:04:10,0,1,3,0,3,"[Cafe; Restaurant;Store / Mall]","[Family;Friends;Significant other]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Family;Friends;Significant other]"
"26","mdxb4dms",2018-10-21 09:10:11,1,0,2,0,3,"[None of the above; other]","[Significant other;None of the above; Other]","[Talking; texting; socializing]","[Talking in person]"
"27","mdxb4dms",2018-10-21 13:17:22,0,1,3,0,4,"[None of the above; other]","[Family;Friends;Significant other;Strangers]","[Eating; drinking;None of the above; Other]","[Family;Friends;Significant other;Strangers]"
"28","mdxb4dms",2018-10-21 15:23:09,0,1,3,0,4,"[None of the above; other]","[Family;Friends;Significant other;Strangers]","[Commuting; traveling;None of the above; Other]","[Family;Friends;Significant other;Strangers]"
"29","mdxb4dms",2018-10-21 19:01:56,1,1,2,0,3,"[Vehicle;None of the above; other]","[Other]","[Commuting; traveling;Talking; texting; socializing]","[Other]"
"30","mdxb4dms",2018-10-22 10:27:59,2,2,2,1,1,"[Campus;Home (dorm; apartment)]","[None of the above; Other]","[Commuting; traveling;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"31","mdxb4dms",2018-10-22 12:06:52,3,3,0,1,0,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling;Talking; texting; socializing]","[No one; alone]"
"32","mdxb4dms",2018-10-22 18:01:26,2,3,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"33","mdxb4dms",2018-10-23 13:24:07,2,3,1,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"34","mdxb4dms",2018-10-23 15:00:33,2,3,1,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
