"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","mtrh4hhd",2018-10-15 19:57:06,3,2,1,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"2","mtrh4hhd",2018-10-16 10:39:19,3,3,0,3,2,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"3","mtrh4hhd",2018-10-16 14:22:44,3,3,0,3,0,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling;Doing household chores; running errands]","[Classmates; students]"
"4","mtrh4hhd",2018-10-17 13:58:25,1,2,1,3,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Classmates; students;Friends]"
"5","mtrh4hhd",2018-10-17 18:03:39,2,2,0,2,2,"[Home (dorm; apartment)]","[Friends;Significant other]","[Browsing the Internet; using social media;Watching TV; movies]","[Friends;Significant other]"
"6","mtrh4hhd",2018-10-18 12:03:11,1,1,1,1,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"7","mtrh4hhd",2018-10-18 15:26:40,1,1,1,1,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"8","mtrh4hhd",2018-10-18 18:22:24,1,1,2,1,2,"[Vehicle;None of the above; other]","[Strangers]","[Commuting; traveling]","[Strangers]"
"9","mtrh4hhd",2018-10-19 17:56:42,0,0,3,0,3,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing;Watching TV; movies]","[Family]"
"10","mtrh4hhd",2018-10-19 19:08:11,0,0,3,0,2,"[Friend’s house]","[Family]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Family]"
"11","mtrh4hhd",2018-10-20 11:03:52,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends;Significant other]","[None of the above; Other]","[Text messaging on the phone]"
"12","mtrh4hhd",2018-10-20 12:20:09,0,0,3,0,2,"[Home (dorm; apartment)]","[Family;Significant other]","[Talking; texting; socializing;Watching TV; movies]","[Family;Significant other]"
"13","mtrh4hhd",2018-10-20 15:47:27,0,0,3,0,4,"[Vehicle]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"14","mtrh4hhd",2018-10-20 18:24:53,0,0,3,0,3,"[Religious facility]","[Family;Friends;Significant other]","[Eating; drinking;Talking; texting; socializing]","[Family;Friends;Significant other]"
"15","mtrh4hhd",2018-10-21 16:06:19,3,3,0,3,0,"[Home (dorm; apartment);Vehicle;Friend’s house]","[Friends;Strangers]","[Commuting; traveling;Talking; texting; socializing]","[Friends;Strangers]"
"16","mtrh4hhd",2018-10-22 10:39:38,2,1,1,2,2,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media]","[Talking on the phone;Text messaging on the phone;Video-chatting]"
"17","mtrh4hhd",2018-10-22 12:11:38,3,1,1,3,2,"[Campus;Home (dorm; apartment)]","[Significant other]","[Commuting; traveling;Talking; texting; socializing]","[Significant other]"
"18","mtrh4hhd",2018-10-23 13:09:18,3,3,0,3,0,"[Campus]","[Classmates; students;Friends;Significant other]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Classmates; students;Friends;Significant other]"
"19","mtrh4hhd",2018-10-23 18:59:10,3,3,1,3,2,"[Campus;Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"20","mtrh4hhd",2018-10-24 12:54:18,3,1,1,3,2,"[Friend’s house]","[Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Friends]"
"21","mtrh4hhd",2018-10-24 15:01:49,2,2,1,2,1,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"22","mtrh4hhd",2018-10-25 10:44:53,3,3,0,3,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"23","mtrh4hhd",2018-10-25 19:10:00,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"24","mtrh4hhd",2018-10-26 17:44:28,2,2,1,1,2,"[Campus]","[Roommates]","[Eating; drinking]","[Roommates]"
"25","mtrh4hhd",2018-10-27 12:14:37,1,1,2,1,2,"[Cafe; Restaurant]","[Friends;Significant other]","[Eating; drinking;Studying; reading; preparing for an exam]","[Friends;Significant other]"
"26","mtrh4hhd",2018-10-27 15:05:57,1,1,2,1,2,"[Campus]","[Friends;Significant other]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam;Watching TV; movies]","[Friends;Significant other]"
"27","mtrh4hhd",2018-10-28 16:09:27,1,2,2,1,1,"[Campus]","[Friends;Significant other]","[Commuting; traveling]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"28","mtrh4hhd",2018-10-29 09:42:14,1,1,3,1,2,"[Home (dorm; apartment)]","[Significant other]","[Talking; texting; socializing]","[Video-chatting]"
"29","mtrh4hhd",2018-10-29 14:31:13,2,2,2,2,2,"[Cafe; Restaurant]","[Friends;Significant other]","[Commuting; traveling;Eating; drinking]","[Friends;Significant other]"
"30","mtrh4hhd",2018-10-30 10:41:45,1,1,1,1,3,"[Cafe; restaurant;Campus]","[Friends;Significant other]","[Commuting; traveling;Eating; drinking]","[Text messaging on the phone]"
"31","mtrh4hhd",2018-10-30 14:05:11,2,1,1,1,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
