"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","mv35uuku",2018-10-10 19:55:44,1,1,3,2,2,"[Campus]","[Strangers]","[None of the above; Other]","[Strangers]"
"2","mv35uuku",2018-10-11 11:07:22,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;None of the above; Other]","[Not applicable; was not interacting with anyone]"
"3","mv35uuku",2018-10-11 12:06:49,0,0,2,0,4,"[Cafe; Restaurant;Vehicle]","[No one; alone;Strangers]","[Commuting; traveling;Eating; drinking]","[No one; alone;Strangers]"
"4","mv35uuku",2018-10-11 15:14:44,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"5","mv35uuku",2018-10-11 18:05:26,1,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[No one; alone]"
"6","mv35uuku",2018-10-12 09:01:40,0,3,2,0,3,"[Campus;Library]","[No one; alone;Strangers]","[Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Not applicable; was not interacting with anyone]"
"7","mv35uuku",2018-10-12 12:02:09,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students]"
"8","mv35uuku",2018-10-13 09:04:53,0,1,2,0,4,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"9","mv35uuku",2018-10-13 15:03:00,0,2,2,0,4,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"10","mv35uuku",2018-10-14 18:34:08,2,3,1,1,0,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"11","mv35uuku",2018-10-15 21:03:02,0,1,3,0,2,"[Cafe; restaurant]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Talking on the phone]"
"12","mv35uuku",2018-10-16 09:17:48,0,0,3,0,4,"[Cafe; restaurant;Vehicle]","[No one; alone;Strangers]","[Commuting; traveling;Eating; drinking]","[Talking in person]"
"13","mv35uuku",2018-10-17 09:06:28,1,2,1,1,0,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"14","mv35uuku",2018-10-19 15:02:10,0,0,3,0,4,"[Campus;Vehicle]","[Classmates; students;Strangers]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Strangers]"
"15","mv35uuku",2018-10-22 09:01:23,1,2,1,1,1,"[Campus;Vehicle]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"16","mv35uuku",2018-10-24 09:18:40,1,2,1,1,2,"[Home (dorm; apartment);None of the above; other]","[Friends;Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person]"
"17","mv35uuku",2018-10-24 18:25:13,0,1,2,0,4,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Strangers]"
"18","mv35uuku",2018-10-25 10:20:33,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"19","mv35uuku",2018-10-25 18:05:12,0,1,2,0,2,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Strangers]"
"20","mv35uuku",2018-10-26 09:01:27,0,1,2,0,2,"[Campus;Vehicle]","[Classmates; students;Strangers]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person]"
"21","mv35uuku",2018-10-27 10:12:39,0,3,3,0,4,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"22","mv35uuku",2018-10-31 08:43:53,1,0,2,2,1,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"23","mv35uuku",2018-10-31 10:07:35,1,2,1,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings]","[Talking in person]"
"24","mv35uuku",2018-10-31 18:12:01,1,0,2,1,2,"[Campus;Vehicle]","[Classmates; students;Strangers]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Strangers]"
"25","mv35uuku",2018-11-01 18:52:07,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Doing household chores; running errands;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[No one; alone]"
"26","mv35uuku",2018-11-02 19:03:43,1,1,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students]"
"27","mv35uuku",2018-11-03 14:20:28,0,2,2,0,3,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
