"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ngsw8lv5",2018-10-10 09:03:27,1,2,1,2,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"2","ngsw8lv5",2018-10-10 13:05:59,1,1,1,1,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","ngsw8lv5",2018-10-10 17:19:17,1,2,1,1,1,"Home (dorm; apartment)","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"4","ngsw8lv5",2018-10-11 09:01:04,0,2,1,1,1,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"5","ngsw8lv5",2018-10-11 18:12:27,0,2,2,1,1,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"6","ngsw8lv5",2018-10-12 09:01:37,0,2,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"7","ngsw8lv5",2018-10-12 19:17:31,0,1,2,1,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"8","ngsw8lv5",2018-10-13 10:43:12,0,2,2,0,3,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Talking in person]"
"9","ngsw8lv5",2018-10-14 19:52:11,0,1,1,0,3,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Family]"
"10","ngsw8lv5",2018-10-15 09:01:17,0,3,1,1,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Snapchat]"
"11","ngsw8lv5",2018-10-16 10:51:04,0,2,2,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"12","ngsw8lv5",2018-10-16 11:12:02,0,2,1,0,3,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"13","ngsw8lv5",2018-10-16 12:00:39,1,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"14","ngsw8lv5",2018-10-16 15:26:37,0,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[No one; alone]"
"15","ngsw8lv5",2018-10-16 19:26:41,0,2,2,0,1,"[Vehicle]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"16","ngsw8lv5",2018-10-17 09:32:24,0,1,2,0,3,"[Vehicle]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"17","ngsw8lv5",2018-10-18 13:13:16,0,2,2,0,3,"[Library]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students]"
"18","ngsw8lv5",2018-10-18 15:01:58,0,2,2,0,3,"[Campus]","[Classmates; students;Other]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Other]"
"19","ngsw8lv5",2018-10-18 18:03:37,0,2,2,0,3,"[Campus]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[No one; alone]"
"20","ngsw8lv5",2018-10-19 19:15:31,0,1,3,0,3,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"21","ngsw8lv5",2018-10-20 23:09:40,0,2,2,0,3,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
