"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","nlg5se81",2018-10-11 12:25:56,2,2,1,2,1,"[Cafe; Restaurant;Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"2","nlg5se81",2018-10-11 17:00:59,1,1,1,2,2,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings]","[Roommates]"
"3","nlg5se81",2018-10-11 18:00:49,1,1,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"4","nlg5se81",2018-10-13 14:14:56,1,1,1,1,2,"[Home (dorm; apartment)]","[Classmates; students;Roommates]","[Resting; napping; doing nothing]","[Classmates; students;Roommates]"
"5","nlg5se81",2018-10-16 10:44:22,0,1,2,1,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","nlg5se81",2018-10-16 13:46:46,1,1,1,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"7","nlg5se81",2018-10-16 15:50:21,1,1,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"8","nlg5se81",2018-10-18 15:01:09,0,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"9","nlg5se81",2018-10-19 13:00:12,1,1,2,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"10","nlg5se81",2018-10-24 09:48:50,1,2,2,1,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"11","nlg5se81",2018-10-26 15:03:50,1,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends]"
"12","nlg5se81",2018-10-28 09:01:05,1,2,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"13","nlg5se81",2018-10-28 12:30:18,1,1,1,0,1,"[Cafe; Restaurant;Campus]","[Strangers]","[Browsing the Internet; using social media;Commuting; traveling]","[Strangers]"
"14","nlg5se81",2018-10-28 15:06:57,0,0,1,1,1,"[Campus]","[Classmates; students;Strangers]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Classmates; students;Strangers]"
"15","nlg5se81",2018-10-28 19:19:23,0,1,2,1,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing]","[Friends;Roommates]"
