"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","o9pd6el7",2018-10-10 18:01:43,1,1,2,0,0,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"2","o9pd6el7",2018-10-11 15:46:35,1,2,1,1,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"3","o9pd6el7",2018-10-11 18:00:56,0,0,2,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"4","o9pd6el7",2018-10-12 09:45:12,0,0,2,0,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"5","o9pd6el7",2018-10-12 13:58:53,1,1,1,1,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"6","o9pd6el7",2018-10-13 18:56:33,0,2,1,1,0,"[Home (dorm; apartment)]","[Family;Friends]","[Talking; texting; socializing]","[Not applicable; was not interacting with anyone]"
"7","o9pd6el7",2018-10-14 20:06:32,0,1,1,1,1,"[Home (dorm; apartment);None of the above; other]","[Family]","[Watching TV; movies]","[Family]"
"8","o9pd6el7",2018-10-15 12:44:48,1,1,2,0,0,"[Campus]","[Family]","[Browsing the Internet; using social media]","[Family]"
"9","o9pd6el7",2018-10-15 15:09:26,1,0,1,0,0,"[Home (dorm; apartment)]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"10","o9pd6el7",2018-10-15 18:11:38,0,0,1,0,1,"[Home (dorm; apartment)]","[Friends]","[Watching TV; movies]","[Friends]"
"11","o9pd6el7",2018-10-17 09:31:27,0,0,2,0,1,"[None of the above; other]","[None of the above; Other]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"12","o9pd6el7",2018-10-17 13:34:02,0,1,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"13","o9pd6el7",2018-10-20 12:03:07,1,1,1,1,0,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Roommates]"
"14","o9pd6el7",2018-10-22 18:59:08,1,1,1,1,2,"[Friend’s house]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"15","o9pd6el7",2018-10-23 14:40:33,1,1,1,1,1,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"16","o9pd6el7",2018-10-23 15:03:00,0,1,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"17","o9pd6el7",2018-10-23 18:42:45,0,1,2,1,1,"[Campus]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"18","o9pd6el7",2018-10-24 11:54:22,0,1,2,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"19","o9pd6el7",2018-10-24 19:07:26,1,0,2,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"20","o9pd6el7",2018-10-25 10:45:41,1,0,1,0,0,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Talking in person;Text messaging on the phone]"
"21","o9pd6el7",2018-10-25 17:27:49,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"22","o9pd6el7",2018-10-27 12:38:53,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"23","o9pd6el7",2018-10-28 10:53:24,1,1,1,1,1,"[Store/Mall]","[Roommates]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"24","o9pd6el7",2018-10-30 15:52:56,1,1,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Roommates]"
