"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","oaq43sk4",2018-10-10 09:39:39,2,2,1,0,1,"[Campus;Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Interacting on Facebook]"
"2","oaq43sk4",2018-10-10 12:01:22,2,2,1,3,1,"Campus","No one; alone","Attending classes; meetings","No one; alone"
"3","oaq43sk4",2018-10-10 15:11:15,2,2,1,2,1,"Home (dorm; apartment)","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"4","oaq43sk4",2018-10-10 18:00:48,2,2,1,0,1,"[Home (dorm; apartment)]","[Significant other]","[Studying; reading; preparing for an exam;Watching TV; movies]","[Significant other]"
"5","oaq43sk4",2018-10-11 09:01:18,1,1,1,3,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Text messaging on the phone]"
"6","oaq43sk4",2018-10-11 12:04:45,2,3,1,0,3,"[None of the above; other]","[Classmates; students]","[Commuting; traveling]","[Classmates; students]"
"7","oaq43sk4",2018-10-11 15:01:37,1,2,1,1,1,"[Campus]","[No one; alone]","[Commuting; traveling;Doing household chores; running errands]","[No one; alone]"
"8","oaq43sk4",2018-10-11 18:06:03,1,1,2,0,3,"[Home (dorm; apartment)]","[Significant other]","[Watching TV; movies]","[Significant other]"
"9","oaq43sk4",2018-10-12 18:19:55,0,1,2,0,3,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"10","oaq43sk4",2018-10-13 11:39:35,0,0,2,0,1,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person]"
"11","oaq43sk4",2018-10-13 12:01:29,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Friends]"
"12","oaq43sk4",2018-10-13 19:06:05,1,1,3,0,3,"[Home (dorm; apartment)]","[Friends;Significant other]","[Watching TV; movies]","[Friends;Significant other]"
"13","oaq43sk4",2018-10-14 13:35:12,0,2,3,0,1,"[Friend’s house]","[Friends;Significant other]","[Resting; napping; doing nothing]","[Friends;Significant other]"
"14","oaq43sk4",2018-10-14 15:11:47,1,1,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"15","oaq43sk4",2018-10-14 18:07:19,1,1,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"16","oaq43sk4",2018-10-15 18:00:39,1,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"17","oaq43sk4",2018-10-16 09:12:39,0,1,3,0,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","oaq43sk4",2018-10-16 15:00:39,1,0,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"19","oaq43sk4",2018-10-16 18:00:45,0,0,3,0,3,"[Friend’s house]","[Significant other]","[Watching TV; movies]","[Significant other]"
"20","oaq43sk4",2018-10-17 12:36:04,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"21","oaq43sk4",2018-10-17 15:00:45,0,1,3,0,3,"[Campus]","[Classmates; students;Other]","[Attending classes; meetings;Working at job]","[Classmates; students;Other]"
"22","oaq43sk4",2018-10-17 20:30:03,1,1,3,0,1,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands;Studying; reading; preparing for an exam]","[Roommates]"
"23","oaq43sk4",2018-10-18 09:08:12,1,1,2,1,0,"[Campus;Friend's house]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Text messaging on the phone;Emailing]"
"24","oaq43sk4",2018-10-18 12:02:47,0,1,3,0,1,"[Campus;Work]","[Classmates; students;Friends;Strangers]","[Attending classes; meetings;Commuting; traveling;None of the above; Other]","[Classmates; students;Friends;Strangers]"
"25","oaq43sk4",2018-10-18 15:09:09,1,1,2,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"26","oaq43sk4",2018-10-19 13:01:01,1,2,3,0,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"27","oaq43sk4",2018-10-19 16:23:28,1,2,3,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"28","oaq43sk4",2018-10-19 18:57:54,1,2,3,0,3,"[Cafe; Restaurant;Campus;Friend’s house]","[Family;Friends]","[Commuting; traveling;Eating; drinking]","[Family;Friends]"
