"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","oaywfkde",2018-10-10 15:01:51,2,3,1,2,1,"Work","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"2","oaywfkde",2018-10-10 19:22:23,2,2,1,2,1,"[None of the above; other]","[Strangers]","[Exercising; physical activity; sports]","[Strangers]"
"3","oaywfkde",2018-10-11 12:08:39,2,2,1,3,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"4","oaywfkde",2018-10-11 15:23:47,3,2,1,3,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"5","oaywfkde",2018-10-11 23:50:27,3,1,1,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"6","oaywfkde",2018-10-12 10:16:40,3,2,1,3,0,"[Campus]","[Classmates; students;Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"7","oaywfkde",2018-10-12 12:36:02,3,2,1,3,1,"[Campus]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"8","oaywfkde",2018-10-12 16:35:56,3,2,1,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"9","oaywfkde",2018-10-12 21:01:13,3,3,2,3,2,"[Cafe; Restaurant]","[Strangers]","[Doing household chores; running errands;Talking; texting; socializing;Watching TV; movies]","[Strangers]"
"10","oaywfkde",2018-10-13 14:15:26,2,2,1,3,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"11","oaywfkde",2018-10-13 16:56:25,3,1,1,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[No one; alone]"
"12","oaywfkde",2018-10-13 19:59:45,3,1,0,3,2,"[Cafe; Restaurant]","[Strangers]","[Eating; drinking]","[Strangers]"
