"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ogkfd9o1",2018-10-10 10:04:35,1,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;None of the above; Other]","[Not applicable; was not interacting with anyone]"
"2","ogkfd9o1",2018-10-10 15:04:50,0,2,1,1,2,"Home (dorm; apartment)","No one; alone","Resting; napping; doing nothing","No one; alone"
"3","ogkfd9o1",2018-10-10 23:01:10,1,2,2,1,2,"Campus","Friends","Browsing the Internet; using social media","Friends"
"4","ogkfd9o1",2018-10-11 13:46:45,0,2,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"5","ogkfd9o1",2018-10-12 11:55:18,1,2,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"6","ogkfd9o1",2018-10-12 13:15:24,1,2,2,1,3,"[Campus]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"7","ogkfd9o1",2018-10-12 16:30:05,1,2,2,1,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"8","ogkfd9o1",2018-10-12 18:01:00,0,2,2,1,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"9","ogkfd9o1",2018-10-13 13:57:17,1,3,2,1,3,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Roommates]"
"10","ogkfd9o1",2018-10-13 15:34:33,1,3,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"11","ogkfd9o1",2018-10-14 14:00:58,1,3,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"12","ogkfd9o1",2018-10-14 15:01:24,0,2,3,0,4,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"13","ogkfd9o1",2018-10-15 19:33:09,1,3,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"14","ogkfd9o1",2018-10-16 14:32:21,2,3,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"15","ogkfd9o1",2018-10-16 18:10:09,1,3,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"16","ogkfd9o1",2018-10-17 09:45:06,1,3,2,1,3,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"17","ogkfd9o1",2018-10-18 15:49:54,1,3,2,1,2,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"18","ogkfd9o1",2018-10-18 19:53:49,1,3,2,1,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"19","ogkfd9o1",2018-10-19 14:08:22,1,1,3,1,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"20","ogkfd9o1",2018-10-20 14:40:43,0,0,3,0,4,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"21","ogkfd9o1",2018-10-20 19:21:20,0,0,3,0,4,"[None of the above; other]","[Friends]","[Talking; texting; socializing]","[Friends]"
"22","ogkfd9o1",2018-10-21 16:13:05,1,1,3,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"23","ogkfd9o1",2018-10-21 17:51:43,1,1,3,1,2,"[Campus]","[None of the above; Other]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"24","ogkfd9o1",2018-10-22 23:38:21,0,1,3,0,2,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"25","ogkfd9o1",2018-10-23 12:29:01,2,2,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
